game,2017,2,20170917,201709170clt,crd,"Arizona Cardinals",16,clt,"Indianapolis Colts",13
team,201709170clt,crd,First Downs,17,,,,,,
team,201709170clt,clt,First Downs,18,,,,,,
team,201709170clt,crd,Rush-Yds-TDs,25-83-0,,,,,,
team,201709170clt,clt,Rush-Yds-TDs,29-76-1,,,,,,
team,201709170clt,crd,Cmp-Att-Yd-TD-INT,19-36-332-1-1,,,,,,
team,201709170clt,clt,Cmp-Att-Yd-TD-INT,20-37-216-0-1,,,,,,
team,201709170clt,crd,Sacked-Yards,4-26,,,,,,
team,201709170clt,clt,Sacked-Yards,4-26,,,,,,
team,201709170clt,crd,Net Pass Yards,306,,,,,,
team,201709170clt,clt,Net Pass Yards,190,,,,,,
team,201709170clt,crd,Total Yards,389,,,,,,
team,201709170clt,clt,Total Yards,266,,,,,,
team,201709170clt,crd,Fumbles-Lost,1-0,,,,,,
team,201709170clt,clt,Fumbles-Lost,3-0,,,,,,
team,201709170clt,crd,Turnovers,1,,,,,,
team,201709170clt,clt,Turnovers,1,,,,,,
team,201709170clt,crd,Penalties-Yards,6-41,,,,,,
team,201709170clt,clt,Penalties-Yards,8-70,,,,,,
team,201709170clt,crd,Third Down Conv.,6-15,,,,,,
team,201709170clt,clt,Third Down Conv.,8-18,,,,,,
team,201709170clt,crd,Fourth Down Conv.,0-1,,,,,,
team,201709170clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201709170clt,crd,Time of Possession,28:49,,,,,,
team,201709170clt,clt,Time of Possession,33:09,,,,,,
player,201709170clt,crd,PalmCa00,pass_cmp,19,,,,,
player,201709170clt,crd,PalmCa00,pass_att,36,,,,,
player,201709170clt,crd,PalmCa00,pass_yds,332,,,,,
player,201709170clt,crd,PalmCa00,pass_td,1,,,,,
player,201709170clt,crd,PalmCa00,pass_int,1,,,,,
player,201709170clt,crd,PalmCa00,pass_sacked,4,,,,,
player,201709170clt,crd,PalmCa00,pass_sacked_yds,26,,,,,
player,201709170clt,crd,PalmCa00,pass_long,46,,,,,
player,201709170clt,crd,PalmCa00,pass_rating,82.2,,,,,
player,201709170clt,crd,PalmCa00,rush_att,3,,,,,
player,201709170clt,crd,PalmCa00,rush_yds,6,,,,,
player,201709170clt,crd,PalmCa00,rush_td,0,,,,,
player,201709170clt,crd,PalmCa00,rush_long,4,,,,,
player,201709170clt,crd,PalmCa00,targets,0,,,,,
player,201709170clt,crd,PalmCa00,rec,0,,,,,
player,201709170clt,crd,PalmCa00,rec_yds,0,,,,,
player,201709170clt,crd,PalmCa00,rec_td,0,,,,,
player,201709170clt,crd,PalmCa00,rec_long,0,,,,,
player,201709170clt,crd,PalmCa00,fumbles,1,,,,,
player,201709170clt,crd,PalmCa00,fumbles_lost,0,,,,,
player,201709170clt,crd,JohnCh04,pass_cmp,0,,,,,
player,201709170clt,crd,JohnCh04,pass_att,0,,,,,
player,201709170clt,crd,JohnCh04,pass_yds,0,,,,,
player,201709170clt,crd,JohnCh04,pass_td,0,,,,,
player,201709170clt,crd,JohnCh04,pass_int,0,,,,,
player,201709170clt,crd,JohnCh04,pass_sacked,0,,,,,
player,201709170clt,crd,JohnCh04,pass_sacked_yds,0,,,,,
player,201709170clt,crd,JohnCh04,pass_long,0,,,,,
player,201709170clt,crd,JohnCh04,pass_rating,,,,,,
player,201709170clt,crd,JohnCh04,rush_att,11,,,,,
player,201709170clt,crd,JohnCh04,rush_yds,44,,,,,
player,201709170clt,crd,JohnCh04,rush_td,0,,,,,
player,201709170clt,crd,JohnCh04,rush_long,11,,,,,
player,201709170clt,crd,JohnCh04,targets,0,,,,,
player,201709170clt,crd,JohnCh04,rec,0,,,,,
player,201709170clt,crd,JohnCh04,rec_yds,0,,,,,
player,201709170clt,crd,JohnCh04,rec_td,0,,,,,
player,201709170clt,crd,JohnCh04,rec_long,0,,,,,
player,201709170clt,crd,JohnCh04,fumbles,0,,,,,
player,201709170clt,crd,JohnCh04,fumbles_lost,0,,,,,
player,201709170clt,crd,WillKe05,pass_cmp,0,,,,,
player,201709170clt,crd,WillKe05,pass_att,0,,,,,
player,201709170clt,crd,WillKe05,pass_yds,0,,,,,
player,201709170clt,crd,WillKe05,pass_td,0,,,,,
player,201709170clt,crd,WillKe05,pass_int,0,,,,,
player,201709170clt,crd,WillKe05,pass_sacked,0,,,,,
player,201709170clt,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201709170clt,crd,WillKe05,pass_long,0,,,,,
player,201709170clt,crd,WillKe05,pass_rating,,,,,,
player,201709170clt,crd,WillKe05,rush_att,9,,,,,
player,201709170clt,crd,WillKe05,rush_yds,22,,,,,
player,201709170clt,crd,WillKe05,rush_td,0,,,,,
player,201709170clt,crd,WillKe05,rush_long,5,,,,,
player,201709170clt,crd,WillKe05,targets,0,,,,,
player,201709170clt,crd,WillKe05,rec,0,,,,,
player,201709170clt,crd,WillKe05,rec_yds,0,,,,,
player,201709170clt,crd,WillKe05,rec_td,0,,,,,
