game,2017,10,20171112,201711120atl,dal,"Dallas Cowboys",7,atl,"Atlanta Falcons",27
team,201711120atl,dal,First Downs,18,,,,,,
team,201711120atl,atl,First Downs,22,,,,,,
team,201711120atl,dal,Rush-Yds-TDs,21-107-1,,,,,,
team,201711120atl,atl,Rush-Yds-TDs,34-132-1,,,,,,
team,201711120atl,dal,Cmp-Att-Yd-TD-INT,20-30-176-0-0,,,,,,
team,201711120atl,atl,Cmp-Att-Yd-TD-INT,22-29-215-2-1,,,,,,
team,201711120atl,dal,Sacked-Yards,8-50,,,,,,
team,201711120atl,atl,Sacked-Yards,1-11,,,,,,
team,201711120atl,dal,Net Pass Yards,126,,,,,,
team,201711120atl,atl,Net Pass Yards,204,,,,,,
team,201711120atl,dal,Total Yards,233,,,,,,
team,201711120atl,atl,Total Yards,336,,,,,,
team,201711120atl,dal,Fumbles-Lost,2-2,,,,,,
team,201711120atl,atl,Fumbles-Lost,0-0,,,,,,
team,201711120atl,dal,Turnovers,2,,,,,,
team,201711120atl,atl,Turnovers,1,,,,,,
team,201711120atl,dal,Penalties-Yards,5-54,,,,,,
team,201711120atl,atl,Penalties-Yards,5-35,,,,,,
team,201711120atl,dal,Third Down Conv.,5-11,,,,,,
team,201711120atl,atl,Third Down Conv.,7-13,,,,,,
team,201711120atl,dal,Fourth Down Conv.,0-1,,,,,,
team,201711120atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201711120atl,dal,Time of Possession,27:54,,,,,,
team,201711120atl,atl,Time of Possession,32:06,,,,,,
player,201711120atl,dal,PresDa01,pass_cmp,20,,,,,
player,201711120atl,dal,PresDa01,pass_att,30,,,,,
player,201711120atl,dal,PresDa01,pass_yds,176,,,,,
player,201711120atl,dal,PresDa01,pass_td,0,,,,,
player,201711120atl,dal,PresDa01,pass_int,0,,,,,
player,201711120atl,dal,PresDa01,pass_sacked,8,,,,,
player,201711120atl,dal,PresDa01,pass_sacked_yds,50,,,,,
player,201711120atl,dal,PresDa01,pass_long,30,,,,,
player,201711120atl,dal,PresDa01,pass_rating,82.1,,,,,
player,201711120atl,dal,PresDa01,rush_att,6,,,,,
player,201711120atl,dal,PresDa01,rush_yds,42,,,,,
player,201711120atl,dal,PresDa01,rush_td,1,,,,,
player,201711120atl,dal,PresDa01,rush_long,12,,,,,
player,201711120atl,dal,PresDa01,targets,0,,,,,
player,201711120atl,dal,PresDa01,rec,0,,,,,
player,201711120atl,dal,PresDa01,rec_yds,0,,,,,
player,201711120atl,dal,PresDa01,rec_td,0,,,,,
player,201711120atl,dal,PresDa01,rec_long,0,,,,,
player,201711120atl,dal,PresDa01,fumbles,2,,,,,
player,201711120atl,dal,PresDa01,fumbles_lost,2,,,,,
player,201711120atl,dal,MorrAl00,pass_cmp,0,,,,,
player,201711120atl,dal,MorrAl00,pass_att,0,,,,,
player,201711120atl,dal,MorrAl00,pass_yds,0,,,,,
player,201711120atl,dal,MorrAl00,pass_td,0,,,,,
player,201711120atl,dal,MorrAl00,pass_int,0,,,,,
player,201711120atl,dal,MorrAl00,pass_sacked,0,,,,,
player,201711120atl,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201711120atl,dal,MorrAl00,pass_long,0,,,,,
player,201711120atl,dal,MorrAl00,pass_rating,,,,,,
player,201711120atl,dal,MorrAl00,rush_att,11,,,,,
player,201711120atl,dal,MorrAl00,rush_yds,53,,,,,
player,201711120atl,dal,MorrAl00,rush_td,0,,,,,
player,201711120atl,dal,MorrAl00,rush_long,20,,,,,
player,201711120atl,dal,MorrAl00,targets,0,,,,,
player,201711120atl,dal,MorrAl00,rec,0,,,,,
player,201711120atl,dal,MorrAl00,rec_yds,0,,,,,
player,201711120atl,dal,MorrAl00,rec_td,0,,,,,
player,201711120atl,dal,MorrAl00,rec_long,0,,,,,
player,201711120atl,dal,MorrAl00,fumbles,0,,,,,
player,201711120atl,dal,MorrAl00,fumbles_lost,0,,,,,
player,201711120atl,dal,SmitRo06,pass_cmp,0,,,,,
player,201711120atl,dal,SmitRo06,pass_att,0,,,,,
player,201711120atl,dal,SmitRo06,pass_yds,0,,,,,
player,201711120atl,dal,SmitRo06,pass_td,0,,,,,
player,201711120atl,dal,SmitRo06,pass_int,0,,,,,
player,201711120atl,dal,SmitRo06,pass_sacked,0,,,,,
player,201711120atl,dal,SmitRo06,pass_sacked_yds,0,,,,,
player,201711120atl,dal,SmitRo06,pass_long,0,,,,,
player,201711120atl,dal,SmitRo06,pass_rating,,,,,,
player,201711120atl,dal,SmitRo06,rush_att,3,,,,,
player,201711120atl,dal,SmitRo06,rush_yds,14,,,,,
player,201711120atl,dal,SmitRo06,rush_td,0,,,,,
player,201711120atl,dal,SmitRo06,rush_long,8,,,,,
player,201711120atl,dal,SmitRo06,targets,6,,,,,
player,201711120atl,dal,SmitRo06,rec,4,,,,,
player,201711120atl,dal,SmitRo06,rec_yds,15,,,,,
player,201711120atl,dal,SmitRo06,rec_td,0,,,,,
player,201711120atl,dal,SmitRo06,rec_long,8,,,,,
player,201711120atl,dal,SmitRo06,fumbles,0,,,,,
player,201711120atl,dal,SmitRo06,fumbles_lost,0,,,,,
player,201711120atl,dal,WittJa00,pass_cmp,0,,,,,
