game,2017,12,20171127,201711270rav,htx,"Houston Texans",16,rav,"Baltimore Ravens",23
player,201711270rav,htx,MillBr03,pass_cmp,0,,,,,
player,201711270rav,htx,MillBr03,pass_att,0,,,,,
player,201711270rav,htx,MillBr03,pass_yds,0,,,,,
player,201711270rav,htx,MillBr03,pass_td,0,,,,,
player,201711270rav,htx,MillBr03,pass_int,0,,,,,
player,201711270rav,htx,MillBr03,pass_sacked,0,,,,,
player,201711270rav,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201711270rav,htx,MillBr03,pass_long,0,,,,,
player,201711270rav,htx,MillBr03,pass_rating,,,,,,
player,201711270rav,htx,MillBr03,rush_att,0,,,,,
player,201711270rav,htx,MillBr03,rush_yds,0,,,,,
player,201711270rav,htx,MillBr03,rush_td,0,,,,,
player,201711270rav,htx,MillBr03,rush_long,0,,,,,
player,201711270rav,htx,MillBr03,targets,6,,,,,
player,201711270rav,htx,MillBr03,rec,5,,,,,
player,201711270rav,htx,MillBr03,rec_yds,43,,,,,
player,201711270rav,htx,MillBr03,rec_td,0,,,,,
player,201711270rav,htx,MillBr03,rec_long,19,,,,,
player,201711270rav,htx,MillBr03,fumbles,0,,,,,
player,201711270rav,htx,MillBr03,fumbles_lost,0,,,,,
player,201711270rav,htx,FiedC.00,pass_cmp,0,,,,,
player,201711270rav,htx,FiedC.00,pass_att,0,,,,,
player,201711270rav,htx,FiedC.00,pass_yds,0,,,,,
player,201711270rav,htx,FiedC.00,pass_td,0,,,,,
player,201711270rav,htx,FiedC.00,pass_int,0,,,,,
player,201711270rav,htx,FiedC.00,pass_sacked,0,,,,,
player,201711270rav,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201711270rav,htx,FiedC.00,pass_long,0,,,,,
player,201711270rav,htx,FiedC.00,pass_rating,,,,,,
player,201711270rav,htx,FiedC.00,rush_att,0,,,,,
player,201711270rav,htx,FiedC.00,rush_yds,0,,,,,
player,201711270rav,htx,FiedC.00,rush_td,0,,,,,
player,201711270rav,htx,FiedC.00,rush_long,0,,,,,
player,201711270rav,htx,FiedC.00,targets,8,,,,,
player,201711270rav,htx,FiedC.00,rec,4,,,,,
player,201711270rav,htx,FiedC.00,rec_yds,37,,,,,
player,201711270rav,htx,FiedC.00,rec_td,0,,,,,
player,201711270rav,htx,FiedC.00,rec_long,10,,,,,
player,201711270rav,htx,FiedC.00,fumbles,0,,,,,
player,201711270rav,htx,FiedC.00,fumbles_lost,0,,,,,
player,201711270rav,htx,ElliBr00,pass_cmp,0,,,,,
player,201711270rav,htx,ElliBr00,pass_att,0,,,,,
player,201711270rav,htx,ElliBr00,pass_yds,0,,,,,
player,201711270rav,htx,ElliBr00,pass_td,0,,,,,
player,201711270rav,htx,ElliBr00,pass_int,0,,,,,
player,201711270rav,htx,ElliBr00,pass_sacked,0,,,,,
player,201711270rav,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201711270rav,htx,ElliBr00,pass_long,0,,,,,
player,201711270rav,htx,ElliBr00,pass_rating,,,,,,
player,201711270rav,htx,ElliBr00,rush_att,0,,,,,
player,201711270rav,htx,ElliBr00,rush_yds,0,,,,,
player,201711270rav,htx,ElliBr00,rush_td,0,,,,,
player,201711270rav,htx,ElliBr00,rush_long,0,,,,,
player,201711270rav,htx,ElliBr00,targets,8,,,,,
player,201711270rav,htx,ElliBr00,rec,3,,,,,
