game,2017,14,20171211,201712110mia,nwe,"New England Patriots",20,mia,"Miami Dolphins",27
team,201712110mia,nwe,First Downs,14,,,,,,
team,201712110mia,mia,First Downs,21,,,,,,
team,201712110mia,nwe,Rush-Yds-TDs,10-25-1,,,,,,
team,201712110mia,mia,Rush-Yds-TDs,30-120-0,,,,,,
team,201712110mia,nwe,Cmp-Att-Yd-TD-INT,24-43-233-1-2,,,,,,
team,201712110mia,mia,Cmp-Att-Yd-TD-INT,25-38-263-3-0,,,,,,
team,201712110mia,nwe,Sacked-Yards,2-10,,,,,,
team,201712110mia,mia,Sacked-Yards,2-21,,,,,,
team,201712110mia,nwe,Net Pass Yards,223,,,,,,
team,201712110mia,mia,Net Pass Yards,242,,,,,,
team,201712110mia,nwe,Total Yards,248,,,,,,
team,201712110mia,mia,Total Yards,362,,,,,,
team,201712110mia,nwe,Fumbles-Lost,0-0,,,,,,
team,201712110mia,mia,Fumbles-Lost,1-0,,,,,,
team,201712110mia,nwe,Turnovers,2,,,,,,
team,201712110mia,mia,Turnovers,0,,,,,,
team,201712110mia,nwe,Penalties-Yards,9-78,,,,,,
team,201712110mia,mia,Penalties-Yards,8-102,,,,,,
team,201712110mia,nwe,Third Down Conv.,0-11,,,,,,
team,201712110mia,mia,Third Down Conv.,4-14,,,,,,
team,201712110mia,nwe,Fourth Down Conv.,0-0,,,,,,
team,201712110mia,mia,Fourth Down Conv.,1-1,,,,,,
team,201712110mia,nwe,Time of Possession,23:51,,,,,,
team,201712110mia,mia,Time of Possession,36:09,,,,,,
player,201712110mia,nwe,BradTo00,pass_cmp,24,,,,,
player,201712110mia,nwe,BradTo00,pass_att,43,,,,,
player,201712110mia,nwe,BradTo00,pass_yds,233,,,,,
player,201712110mia,nwe,BradTo00,pass_td,1,,,,,
player,201712110mia,nwe,BradTo00,pass_int,2,,,,,
player,201712110mia,nwe,BradTo00,pass_sacked,2,,,,,
player,201712110mia,nwe,BradTo00,pass_sacked_yds,10,,,,,
player,201712110mia,nwe,BradTo00,pass_long,38,,,,,
player,201712110mia,nwe,BradTo00,pass_rating,59.5,,,,,
player,201712110mia,nwe,BradTo00,rush_att,0,,,,,
player,201712110mia,nwe,BradTo00,rush_yds,0,,,,,
player,201712110mia,nwe,BradTo00,rush_td,0,,,,,
player,201712110mia,nwe,BradTo00,rush_long,0,,,,,
player,201712110mia,nwe,BradTo00,targets,0,,,,,
player,201712110mia,nwe,BradTo00,rec,0,,,,,
player,201712110mia,nwe,BradTo00,rec_yds,0,,,,,
player,201712110mia,nwe,BradTo00,rec_td,0,,,,,
player,201712110mia,nwe,BradTo00,rec_long,0,,,,,
player,201712110mia,nwe,BradTo00,fumbles,0,,,,,
player,201712110mia,nwe,BradTo00,fumbles_lost,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_cmp,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_att,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_yds,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_td,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_int,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_sacked,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_long,0,,,,,
player,201712110mia,nwe,LewiDi00,pass_rating,,,,,,
player,201712110mia,nwe,LewiDi00,rush_att,5,,,,,
player,201712110mia,nwe,LewiDi00,rush_yds,17,,,,,
player,201712110mia,nwe,LewiDi00,rush_td,0,,,,,
player,201712110mia,nwe,LewiDi00,rush_long,11,,,,,
player,201712110mia,nwe,LewiDi00,targets,5,,,,,
player,201712110mia,nwe,LewiDi00,rec,5,,,,,
player,201712110mia,nwe,LewiDi00,rec_yds,50,,,,,
player,201712110mia,nwe,LewiDi00,rec_td,0,,,,,
player,201712110mia,nwe,LewiDi00,rec_long,20,,,,,
player,201712110mia,nwe,LewiDi00,fumbles,0,,,,,
player,201712110mia,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_cmp,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_att,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_yds,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_td,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_int,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_sacked,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_long,0,,,,,
player,201712110mia,nwe,BurkRe00,pass_rating,,,,,,
player,201712110mia,nwe,BurkRe00,rush_att,5,,,,,
player,201712110mia,nwe,BurkRe00,rush_yds,8,,,,,
player,201712110mia,nwe,BurkRe00,rush_td,1,,,,,
player,201712110mia,nwe,BurkRe00,rush_long,3,,,,,
player,201712110mia,nwe,BurkRe00,targets,5,,,,,
player,201712110mia,nwe,BurkRe00,rec,5,,,,,
player,201712110mia,nwe,BurkRe00,rec_yds,45,,,,,
player,201712110mia,nwe,BurkRe00,rec_td,0,,,,,
player,201712110mia,nwe,BurkRe00,rec_long,23,,,,,
player,201712110mia,nwe,BurkRe00,fumbles,0,,,,,
player,201712110mia,nwe,BurkRe00,fumbles_lost,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_cmp,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_att,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_yds,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_td,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_int,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_sacked,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_long,0,,,,,
player,201712110mia,nwe,AmenDa00,pass_rating,,,,,,
player,201712110mia,nwe,AmenDa00,rush_att,0,,,,,
player,201712110mia,nwe,AmenDa00,rush_yds,0,,,,,
player,201712110mia,nwe,AmenDa00,rush_td,0,,,,,
player,201712110mia,nwe,AmenDa00,rush_long,0,,,,,
player,201712110mia,nwe,AmenDa00,targets,9,,,,,
player,201712110mia,nwe,AmenDa00,rec,6,,,,,
player,201712110mia,nwe,AmenDa00,rec_yds,76,,,,,
player,201712110mia,nwe,AmenDa00,rec_td,0,,,,,
player,201712110mia,nwe,AmenDa00,rec_long,26,,,,,
player,201712110mia,nwe,AmenDa00,fumbles,0,,,,,
player,201712110mia,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201712110mia,nwe,CookBr00,pass_cmp,0,,,,,
player,201712110mia,nwe,CookBr00,pass_att,0,,,,,
player,201712110mia,nwe,CookBr00,pass_yds,0,,,,,
player,201712110mia,nwe,CookBr00,pass_td,0,,,,,
player,201712110mia,nwe,CookBr00,pass_int,0,,,,,
player,201712110mia,nwe,CookBr00,pass_sacked,0,,,,,
player,201712110mia,nwe,CookBr00,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,CookBr00,pass_long,0,,,,,
player,201712110mia,nwe,CookBr00,pass_rating,,,,,,
player,201712110mia,nwe,CookBr00,rush_att,0,,,,,
player,201712110mia,nwe,CookBr00,rush_yds,0,,,,,
player,201712110mia,nwe,CookBr00,rush_td,0,,,,,
player,201712110mia,nwe,CookBr00,rush_long,0,,,,,
player,201712110mia,nwe,CookBr00,targets,7,,,,,
player,201712110mia,nwe,CookBr00,rec,1,,,,,
player,201712110mia,nwe,CookBr00,rec_yds,38,,,,,
player,201712110mia,nwe,CookBr00,rec_td,0,,,,,
player,201712110mia,nwe,CookBr00,rec_long,38,,,,,
player,201712110mia,nwe,CookBr00,fumbles,0,,,,,
player,201712110mia,nwe,CookBr00,fumbles_lost,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_cmp,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_att,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_yds,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_td,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_int,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_sacked,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_long,0,,,,,
player,201712110mia,nwe,WhitJa02,pass_rating,,,,,,
player,201712110mia,nwe,WhitJa02,rush_att,0,,,,,
player,201712110mia,nwe,WhitJa02,rush_yds,0,,,,,
player,201712110mia,nwe,WhitJa02,rush_td,0,,,,,
player,201712110mia,nwe,WhitJa02,rush_long,0,,,,,
player,201712110mia,nwe,WhitJa02,targets,4,,,,,
player,201712110mia,nwe,WhitJa02,rec,3,,,,,
player,201712110mia,nwe,WhitJa02,rec_yds,11,,,,,
player,201712110mia,nwe,WhitJa02,rec_td,1,,,,,
player,201712110mia,nwe,WhitJa02,rec_long,7,,,,,
player,201712110mia,nwe,WhitJa02,fumbles,0,,,,,
player,201712110mia,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_cmp,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_att,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_yds,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_td,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_int,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_sacked,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_sacked_yds,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_long,0,,,,,
player,201712110mia,nwe,AlleDw00,pass_rating,,,,,,
player,201712110mia,nwe,AlleDw00,rush_att,0,,,,,
player,201712110mia,nwe,AlleDw00,rush_yds,0,,,,,
player,201712110mia,nwe,AlleDw00,rush_td,0,,,,,
player,201712110mia,nwe,AlleDw00,rush_long,0,,,,,
player,201712110mia,nwe,AlleDw00,targets,5,,,,,
player,201712110mia,nwe,AlleDw00,rec,2,,,,,
player,201712110mia,nwe,AlleDw00,rec_yds,10,,,,,
