game,2017,2,20170917,201709170nor,nwe,"New England Patriots",36,nor,"New Orleans Saints",20
team,201709170nor,nwe,First Downs,29,,,,,,
team,201709170nor,nor,First Downs,20,,,,,,
team,201709170nor,nwe,Rush-Yds-TDs,31-119-1,,,,,,
team,201709170nor,nor,Rush-Yds-TDs,17-81-0,,,,,,
team,201709170nor,nwe,Cmp-Att-Yd-TD-INT,30-39-447-3-0,,,,,,
team,201709170nor,nor,Cmp-Att-Yd-TD-INT,27-45-356-2-0,,,,,,
team,201709170nor,nwe,Sacked-Yards,2-11,,,,,,
team,201709170nor,nor,Sacked-Yards,1-8,,,,,,
team,201709170nor,nwe,Net Pass Yards,436,,,,,,
team,201709170nor,nor,Net Pass Yards,348,,,,,,
team,201709170nor,nwe,Total Yards,555,,,,,,
team,201709170nor,nor,Total Yards,429,,,,,,
team,201709170nor,nwe,Fumbles-Lost,0-0,,,,,,
team,201709170nor,nor,Fumbles-Lost,1-0,,,,,,
team,201709170nor,nwe,Turnovers,0,,,,,,
team,201709170nor,nor,Turnovers,0,,,,,,
team,201709170nor,nwe,Penalties-Yards,9-66,,,,,,
team,201709170nor,nor,Penalties-Yards,5-35,,,,,,
team,201709170nor,nwe,Third Down Conv.,6-12,,,,,,
team,201709170nor,nor,Third Down Conv.,4-12,,,,,,
team,201709170nor,nwe,Fourth Down Conv.,0-0,,,,,,
team,201709170nor,nor,Fourth Down Conv.,1-2,,,,,,
team,201709170nor,nwe,Time of Possession,35:06,,,,,,
team,201709170nor,nor,Time of Possession,24:54,,,,,,
player,201709170nor,nwe,BradTo00,pass_cmp,30,,,,,
player,201709170nor,nwe,BradTo00,pass_att,39,,,,,
player,201709170nor,nwe,BradTo00,pass_yds,447,,,,,
player,201709170nor,nwe,BradTo00,pass_td,3,,,,,
player,201709170nor,nwe,BradTo00,pass_int,0,,,,,
player,201709170nor,nwe,BradTo00,pass_sacked,2,,,,,
player,201709170nor,nwe,BradTo00,pass_sacked_yds,11,,,,,
player,201709170nor,nwe,BradTo00,pass_long,53,,,,,
player,201709170nor,nwe,BradTo00,pass_rating,139.6,,,,,
player,201709170nor,nwe,BradTo00,rush_att,2,,,,,
player,201709170nor,nwe,BradTo00,rush_yds,9,,,,,
player,201709170nor,nwe,BradTo00,rush_td,0,,,,,
player,201709170nor,nwe,BradTo00,rush_long,7,,,,,
player,201709170nor,nwe,BradTo00,targets,0,,,,,
player,201709170nor,nwe,BradTo00,rec,0,,,,,
player,201709170nor,nwe,BradTo00,rec_yds,0,,,,,
player,201709170nor,nwe,BradTo00,rec_td,0,,,,,
player,201709170nor,nwe,BradTo00,rec_long,0,,,,,
player,201709170nor,nwe,BradTo00,fumbles,0,,,,,
player,201709170nor,nwe,BradTo00,fumbles_lost,0,,,,,
player,201709170nor,nwe,GillMi00,pass_cmp,0,,,,,
player,201709170nor,nwe,GillMi00,pass_att,0,,,,,
player,201709170nor,nwe,GillMi00,pass_yds,0,,,,,
player,201709170nor,nwe,GillMi00,pass_td,0,,,,,
player,201709170nor,nwe,GillMi00,pass_int,0,,,,,
player,201709170nor,nwe,GillMi00,pass_sacked,0,,,,,
player,201709170nor,nwe,GillMi00,pass_sacked_yds,0,,,,,
player,201709170nor,nwe,GillMi00,pass_long,0,,,,,
player,201709170nor,nwe,GillMi00,pass_rating,,,,,,
player,201709170nor,nwe,GillMi00,rush_att,18,,,,,
player,201709170nor,nwe,GillMi00,rush_yds,69,,,,,
player,201709170nor,nwe,GillMi00,rush_td,1,,,,,
player,201709170nor,nwe,GillMi00,rush_long,13,,,,,
player,201709170nor,nwe,GillMi00,targets,0,,,,,
player,201709170nor,nwe,GillMi00,rec,0,,,,,
player,201709170nor,nwe,GillMi00,rec_yds,0,,,,,
player,201709170nor,nwe,GillMi00,rec_td,0,,,,,
player,201709170nor,nwe,GillMi00,rec_long,0,,,,,
player,201709170nor,nwe,GillMi00,fumbles,0,,,,,
player,201709170nor,nwe,GillMi00,fumbles_lost,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_cmp,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_att,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_yds,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_td,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_int,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_sacked,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_long,0,,,,,
player,201709170nor,nwe,LewiDi00,pass_rating,,,,,,
player,201709170nor,nwe,LewiDi00,rush_att,4,,,,,
player,201709170nor,nwe,LewiDi00,rush_yds,14,,,,,
player,201709170nor,nwe,LewiDi00,rush_td,0,,,,,
player,201709170nor,nwe,LewiDi00,rush_long,13,,,,,
player,201709170nor,nwe,LewiDi00,targets,1,,,,,
player,201709170nor,nwe,LewiDi00,rec,1,,,,,
player,201709170nor,nwe,LewiDi00,rec_yds,11,,,,,
player,201709170nor,nwe,LewiDi00,rec_td,0,,,,,
player,201709170nor,nwe,LewiDi00,rec_long,11,,,,,
player,201709170nor,nwe,LewiDi00,fumbles,0,,,,,
player,201709170nor,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_cmp,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_att,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_yds,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_td,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_int,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_sacked,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_long,0,,,,,
player,201709170nor,nwe,WhitJa02,pass_rating,,,,,,
player,201709170nor,nwe,WhitJa02,rush_att,2,,,,,
player,201709170nor,nwe,WhitJa02,rush_yds,11,,,,,
player,201709170nor,nwe,WhitJa02,rush_td,0,,,,,
