game,2017,16,20171223,201712230rav,clt,"Indianapolis Colts",16,rav,"Baltimore Ravens",23
team,201712230rav,clt,First Downs,17,,,,,,
team,201712230rav,rav,First Downs,23,,,,,,
team,201712230rav,clt,Rush-Yds-TDs,24-93-0,,,,,,
team,201712230rav,rav,Rush-Yds-TDs,32-103-0,,,,,,
team,201712230rav,clt,Cmp-Att-Yd-TD-INT,16-33-215-1-0,,,,,,
team,201712230rav,rav,Cmp-Att-Yd-TD-INT,29-38-237-2-0,,,,,,
team,201712230rav,clt,Sacked-Yards,2-12,,,,,,
team,201712230rav,rav,Sacked-Yards,1-17,,,,,,
team,201712230rav,clt,Net Pass Yards,203,,,,,,
team,201712230rav,rav,Net Pass Yards,220,,,,,,
team,201712230rav,clt,Total Yards,296,,,,,,
team,201712230rav,rav,Total Yards,323,,,,,,
team,201712230rav,clt,Fumbles-Lost,0-0,,,,,,
team,201712230rav,rav,Fumbles-Lost,2-0,,,,,,
team,201712230rav,clt,Turnovers,0,,,,,,
team,201712230rav,rav,Turnovers,0,,,,,,
team,201712230rav,clt,Penalties-Yards,2-19,,,,,,
team,201712230rav,rav,Penalties-Yards,5-25,,,,,,
team,201712230rav,clt,Third Down Conv.,5-13,,,,,,
team,201712230rav,rav,Third Down Conv.,6-14,,,,,,
team,201712230rav,clt,Fourth Down Conv.,1-2,,,,,,
team,201712230rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201712230rav,clt,Time of Possession,24:12,,,,,,
team,201712230rav,rav,Time of Possession,35:48,,,,,,
player,201712230rav,clt,BrisJa00,pass_cmp,16,,,,,
player,201712230rav,clt,BrisJa00,pass_att,33,,,,,
player,201712230rav,clt,BrisJa00,pass_yds,215,,,,,
player,201712230rav,clt,BrisJa00,pass_td,1,,,,,
player,201712230rav,clt,BrisJa00,pass_int,0,,,,,
player,201712230rav,clt,BrisJa00,pass_sacked,2,,,,,
player,201712230rav,clt,BrisJa00,pass_sacked_yds,12,,,,,
player,201712230rav,clt,BrisJa00,pass_long,29,,,,,
player,201712230rav,clt,BrisJa00,pass_rating,79.7,,,,,
player,201712230rav,clt,BrisJa00,rush_att,3,,,,,
player,201712230rav,clt,BrisJa00,rush_yds,8,,,,,
player,201712230rav,clt,BrisJa00,rush_td,0,,,,,
player,201712230rav,clt,BrisJa00,rush_long,7,,,,,
player,201712230rav,clt,BrisJa00,targets,0,,,,,
player,201712230rav,clt,BrisJa00,rec,0,,,,,
player,201712230rav,clt,BrisJa00,rec_yds,0,,,,,
player,201712230rav,clt,BrisJa00,rec_td,0,,,,,
