game,2017,1,20170911,201709110min,nor,"New Orleans Saints",19,min,"Minnesota Vikings",29
team,201709110min,nor,First Downs,19,,,,,,
team,201709110min,min,First Downs,23,,,,,,
team,201709110min,nor,Rush-Yds-TDs,21-60-0,,,,,,
team,201709110min,min,Rush-Yds-TDs,30-129-0,,,,,,
team,201709110min,nor,Cmp-Att-Yd-TD-INT,27-37-291-1-0,,,,,,
team,201709110min,min,Cmp-Att-Yd-TD-INT,27-32-346-3-0,,,,,,
team,201709110min,nor,Sacked-Yards,1-7,,,,,,
team,201709110min,min,Sacked-Yards,1-5,,,,,,
team,201709110min,nor,Net Pass Yards,284,,,,,,
team,201709110min,min,Net Pass Yards,341,,,,,,
team,201709110min,nor,Total Yards,344,,,,,,
team,201709110min,min,Total Yards,470,,,,,,
team,201709110min,nor,Fumbles-Lost,0-0,,,,,,
team,201709110min,min,Fumbles-Lost,1-0,,,,,,
team,201709110min,nor,Turnovers,0,,,,,,
team,201709110min,min,Turnovers,0,,,,,,
team,201709110min,nor,Penalties-Yards,6-52,,,,,,
team,201709110min,min,Penalties-Yards,5-50,,,,,,
team,201709110min,nor,Third Down Conv.,4-11,,,,,,
team,201709110min,min,Third Down Conv.,9-14,,,,,,
team,201709110min,nor,Fourth Down Conv.,0-0,,,,,,
team,201709110min,min,Fourth Down Conv.,0-0,,,,,,
team,201709110min,nor,Time of Possession,28:44,,,,,,
team,201709110min,min,Time of Possession,31:16,,,,,,
player,201709110min,nor,BreeDr00,pass_cmp,27,,,,,
player,201709110min,nor,BreeDr00,pass_att,37,,,,,
player,201709110min,nor,BreeDr00,pass_yds,291,,,,,
player,201709110min,nor,BreeDr00,pass_td,1,,,,,
player,201709110min,nor,BreeDr00,pass_int,0,,,,,
player,201709110min,nor,BreeDr00,pass_sacked,1,,,,,
player,201709110min,nor,BreeDr00,pass_sacked_yds,7,,,,,
player,201709110min,nor,BreeDr00,pass_long,52,,,,,
player,201709110min,nor,BreeDr00,pass_rating,104.7,,,,,
player,201709110min,nor,BreeDr00,rush_att,0,,,,,
player,201709110min,nor,BreeDr00,rush_yds,0,,,,,
player,201709110min,nor,BreeDr00,rush_td,0,,,,,
player,201709110min,nor,BreeDr00,rush_long,0,,,,,
player,201709110min,nor,BreeDr00,targets,0,,,,,
player,201709110min,nor,BreeDr00,rec,0,,,,,
player,201709110min,nor,BreeDr00,rec_yds,0,,,,,
player,201709110min,nor,BreeDr00,rec_td,0,,,,,
player,201709110min,nor,BreeDr00,rec_long,0,,,,,
player,201709110min,nor,BreeDr00,fumbles,0,,,,,
player,201709110min,nor,BreeDr00,fumbles_lost,0,,,,,
player,201709110min,nor,KamaAl00,pass_cmp,0,,,,,
player,201709110min,nor,KamaAl00,pass_att,0,,,,,
player,201709110min,nor,KamaAl00,pass_yds,0,,,,,
player,201709110min,nor,KamaAl00,pass_td,0,,,,,
player,201709110min,nor,KamaAl00,pass_int,0,,,,,
player,201709110min,nor,KamaAl00,pass_sacked,0,,,,,
player,201709110min,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201709110min,nor,KamaAl00,pass_long,0,,,,,
player,201709110min,nor,KamaAl00,pass_rating,,,,,,
player,201709110min,nor,KamaAl00,rush_att,7,,,,,
player,201709110min,nor,KamaAl00,rush_yds,18,,,,,
player,201709110min,nor,KamaAl00,rush_td,0,,,,,
player,201709110min,nor,KamaAl00,rush_long,5,,,,,
player,201709110min,nor,KamaAl00,targets,6,,,,,
player,201709110min,nor,KamaAl00,rec,4,,,,,
