game,2017,6,20171015,201710150den,nyg,"New York Giants",23,den,"Denver Broncos",10
team,201710150den,nyg,First Downs,12,,,,,,
team,201710150den,den,First Downs,20,,,,,,
team,201710150den,nyg,Rush-Yds-TDs,32-148-0,,,,,,
team,201710150den,den,Rush-Yds-TDs,17-46-0,,,,,,
team,201710150den,nyg,Cmp-Att-Yd-TD-INT,11-19-128-1-0,,,,,,
team,201710150den,den,Cmp-Att-Yd-TD-INT,31-54-394-1-2,,,,,,
team,201710150den,nyg,Sacked-Yards,3-10,,,,,,
team,201710150den,den,Sacked-Yards,4-28,,,,,,
team,201710150den,nyg,Net Pass Yards,118,,,,,,
team,201710150den,den,Net Pass Yards,366,,,,,,
team,201710150den,nyg,Total Yards,266,,,,,,
team,201710150den,den,Total Yards,412,,,,,,
team,201710150den,nyg,Fumbles-Lost,1-0,,,,,,
team,201710150den,den,Fumbles-Lost,3-1,,,,,,
team,201710150den,nyg,Turnovers,0,,,,,,
team,201710150den,den,Turnovers,3,,,,,,
team,201710150den,nyg,Penalties-Yards,5-77,,,,,,
team,201710150den,den,Penalties-Yards,5-46,,,,,,
team,201710150den,nyg,Third Down Conv.,4-14,,,,,,
team,201710150den,den,Third Down Conv.,5-17,,,,,,
team,201710150den,nyg,Fourth Down Conv.,0-0,,,,,,
team,201710150den,den,Fourth Down Conv.,0-2,,,,,,
team,201710150den,nyg,Time of Possession,30:36,,,,,,
team,201710150den,den,Time of Possession,29:24,,,,,,
player,201710150den,nyg,MannEl00,pass_cmp,11,,,,,
player,201710150den,nyg,MannEl00,pass_att,19,,,,,
player,201710150den,nyg,MannEl00,pass_yds,128,,,,,
player,201710150den,nyg,MannEl00,pass_td,1,,,,,
player,201710150den,nyg,MannEl00,pass_int,0,,,,,
player,201710150den,nyg,MannEl00,pass_sacked,3,,,,,
player,201710150den,nyg,MannEl00,pass_sacked_yds,10,,,,,
player,201710150den,nyg,MannEl00,pass_long,26,,,,,
player,201710150den,nyg,MannEl00,pass_rating,95.9,,,,,
player,201710150den,nyg,MannEl00,rush_att,1,,,,,
player,201710150den,nyg,MannEl00,rush_yds,0,,,,,
player,201710150den,nyg,MannEl00,rush_td,0,,,,,
player,201710150den,nyg,MannEl00,rush_long,0,,,,,
player,201710150den,nyg,MannEl00,targets,0,,,,,
player,201710150den,nyg,MannEl00,rec,0,,,,,
player,201710150den,nyg,MannEl00,rec_yds,0,,,,,
player,201710150den,nyg,MannEl00,rec_td,0,,,,,
player,201710150den,nyg,MannEl00,rec_long,0,,,,,
player,201710150den,nyg,MannEl00,fumbles,1,,,,,
player,201710150den,nyg,MannEl00,fumbles_lost,0,,,,,
player,201710150den,nyg,DarkOr00,pass_cmp,0,,,,,
player,201710150den,nyg,DarkOr00,pass_att,0,,,,,
player,201710150den,nyg,DarkOr00,pass_yds,0,,,,,
player,201710150den,nyg,DarkOr00,pass_td,0,,,,,
player,201710150den,nyg,DarkOr00,pass_int,0,,,,,
player,201710150den,nyg,DarkOr00,pass_sacked,0,,,,,
player,201710150den,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201710150den,nyg,DarkOr00,pass_long,0,,,,,
player,201710150den,nyg,DarkOr00,pass_rating,,,,,,
player,201710150den,nyg,DarkOr00,rush_att,21,,,,,
player,201710150den,nyg,DarkOr00,rush_yds,117,,,,,
player,201710150den,nyg,DarkOr00,rush_td,0,,,,,
player,201710150den,nyg,DarkOr00,rush_long,47,,,,,
player,201710150den,nyg,DarkOr00,targets,1,,,,,
player,201710150den,nyg,DarkOr00,rec,1,,,,,
player,201710150den,nyg,DarkOr00,rec_yds,13,,,,,
player,201710150den,nyg,DarkOr00,rec_td,0,,,,,
player,201710150den,nyg,DarkOr00,rec_long,13,,,,,
player,201710150den,nyg,DarkOr00,fumbles,0,,,,,
player,201710150den,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201710150den,nyg,GallWa00,pass_cmp,0,,,,,
player,201710150den,nyg,GallWa00,pass_att,0,,,,,
player,201710150den,nyg,GallWa00,pass_yds,0,,,,,
player,201710150den,nyg,GallWa00,pass_td,0,,,,,
player,201710150den,nyg,GallWa00,pass_int,0,,,,,
player,201710150den,nyg,GallWa00,pass_sacked,0,,,,,
player,201710150den,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201710150den,nyg,GallWa00,pass_long,0,,,,,
player,201710150den,nyg,GallWa00,pass_rating,,,,,,
player,201710150den,nyg,GallWa00,rush_att,9,,,,,
player,201710150den,nyg,GallWa00,rush_yds,27,,,,,
player,201710150den,nyg,GallWa00,rush_td,0,,,,,
player,201710150den,nyg,GallWa00,rush_long,8,,,,,
player,201710150den,nyg,GallWa00,targets,3,,,,,
player,201710150den,nyg,GallWa00,rec,2,,,,,
player,201710150den,nyg,GallWa00,rec_yds,5,,,,,
player,201710150den,nyg,GallWa00,rec_td,0,,,,,
player,201710150den,nyg,GallWa00,rec_long,7,,,,,
player,201710150den,nyg,GallWa00,fumbles,0,,,,,
player,201710150den,nyg,GallWa00,fumbles_lost,0,,,,,
player,201710150den,nyg,VereSh00,pass_cmp,0,,,,,
player,201710150den,nyg,VereSh00,pass_att,0,,,,,
player,201710150den,nyg,VereSh00,pass_yds,0,,,,,
player,201710150den,nyg,VereSh00,pass_td,0,,,,,
player,201710150den,nyg,VereSh00,pass_int,0,,,,,
player,201710150den,nyg,VereSh00,pass_sacked,0,,,,,
player,201710150den,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201710150den,nyg,VereSh00,pass_long,0,,,,,
player,201710150den,nyg,VereSh00,pass_rating,,,,,,
player,201710150den,nyg,VereSh00,rush_att,1,,,,,
player,201710150den,nyg,VereSh00,rush_yds,4,,,,,
player,201710150den,nyg,VereSh00,rush_td,0,,,,,
player,201710150den,nyg,VereSh00,rush_long,4,,,,,
player,201710150den,nyg,VereSh00,targets,0,,,,,
player,201710150den,nyg,VereSh00,rec,0,,,,,
player,201710150den,nyg,VereSh00,rec_yds,0,,,,,
player,201710150den,nyg,VereSh00,rec_td,0,,,,,
player,201710150den,nyg,VereSh00,rec_long,0,,,,,
player,201710150den,nyg,VereSh00,fumbles,0,,,,,
player,201710150den,nyg,VereSh00,fumbles_lost,0,,,,,
player,201710150den,nyg,EngrEv00,pass_cmp,0,,,,,
player,201710150den,nyg,EngrEv00,pass_att,0,,,,,
player,201710150den,nyg,EngrEv00,pass_yds,0,,,,,
player,201710150den,nyg,EngrEv00,pass_td,0,,,,,
player,201710150den,nyg,EngrEv00,pass_int,0,,,,,
player,201710150den,nyg,EngrEv00,pass_sacked,0,,,,,
player,201710150den,nyg,EngrEv00,pass_sacked_yds,0,,,,,
player,201710150den,nyg,EngrEv00,pass_long,0,,,,,
player,201710150den,nyg,EngrEv00,pass_rating,,,,,,
player,201710150den,nyg,EngrEv00,rush_att,0,,,,,
player,201710150den,nyg,EngrEv00,rush_yds,0,,,,,
