game,2011,12,20111127,201111270atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",24
team,201111270atl,min,First Downs,12,,,,,,
team,201111270atl,atl,First Downs,22,,,,,,
team,201111270atl,min,Rush-Yds-TDs,24-64-1,,,,,,
team,201111270atl,atl,Rush-Yds-TDs,29-89-0,,,,,,
team,201111270atl,min,Cmp-Att-Yd-TD-INT,17-25-186-1-0,,,,,,
team,201111270atl,atl,Cmp-Att-Yd-TD-INT,27-34-262-3-0,,,,,,
team,201111270atl,min,Sacked-Yards,4-24,,,,,,
team,201111270atl,atl,Sacked-Yards,2-16,,,,,,
team,201111270atl,min,Net Pass Yards,162,,,,,,
team,201111270atl,atl,Net Pass Yards,246,,,,,,
team,201111270atl,min,Total Yards,226,,,,,,
team,201111270atl,atl,Total Yards,335,,,,,,
team,201111270atl,min,Fumbles-Lost,0-0,,,,,,
team,201111270atl,atl,Fumbles-Lost,2-1,,,,,,
team,201111270atl,min,Turnovers,0,,,,,,
team,201111270atl,atl,Turnovers,1,,,,,,
team,201111270atl,min,Penalties-Yards,6-49,,,,,,
team,201111270atl,atl,Penalties-Yards,4-30,,,,,,
team,201111270atl,min,Third Down Conv.,4-13,,,,,,
team,201111270atl,atl,Third Down Conv.,7-14,,,,,,
team,201111270atl,min,Fourth Down Conv.,1-2,,,,,,
team,201111270atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201111270atl,min,Time of Possession,25:21,,,,,,
team,201111270atl,atl,Time of Possession,34:39,,,,,,
player,201111270atl,min,PondCh00,pass_cmp,17,,,,,
player,201111270atl,min,PondCh00,pass_att,25,,,,,
player,201111270atl,min,PondCh00,pass_yds,186,,,,,
player,201111270atl,min,PondCh00,pass_td,1,,,,,
player,201111270atl,min,PondCh00,pass_int,0,,,,,
player,201111270atl,min,PondCh00,pass_sacked,4,,,,,
player,201111270atl,min,PondCh00,pass_sacked_yds,24,,,,,
player,201111270atl,min,PondCh00,pass_long,39,,,,,
player,201111270atl,min,PondCh00,pass_rating,103.1,,,,,
player,201111270atl,min,PondCh00,rush_att,2,,,,,
player,201111270atl,min,PondCh00,rush_yds,9,,,,,
player,201111270atl,min,PondCh00,rush_td,0,,,,,
player,201111270atl,min,PondCh00,rush_long,5,,,,,
player,201111270atl,min,PondCh00,targets,0,,,,,
player,201111270atl,min,PondCh00,rec,0,,,,,
player,201111270atl,min,PondCh00,rec_yds,0,,,,,
player,201111270atl,min,PondCh00,rec_td,0,,,,,
player,201111270atl,min,PondCh00,rec_long,0,,,,,
player,201111270atl,min,PondCh00,fumbles,0,,,,,
player,201111270atl,min,PondCh00,fumbles_lost,,,,,,
player,201111270atl,min,GerhTo00,pass_cmp,0,,,,,
player,201111270atl,min,GerhTo00,pass_att,0,,,,,
player,201111270atl,min,GerhTo00,pass_yds,0,,,,,
player,201111270atl,min,GerhTo00,pass_td,0,,,,,
player,201111270atl,min,GerhTo00,pass_int,0,,,,,
player,201111270atl,min,GerhTo00,pass_sacked,0,,,,,
player,201111270atl,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201111270atl,min,GerhTo00,pass_long,0,,,,,
player,201111270atl,min,GerhTo00,pass_rating,,,,,,
player,201111270atl,min,GerhTo00,rush_att,17,,,,,
player,201111270atl,min,GerhTo00,rush_yds,44,,,,,
player,201111270atl,min,GerhTo00,rush_td,1,,,,,
player,201111270atl,min,GerhTo00,rush_long,12,,,,,
player,201111270atl,min,GerhTo00,targets,3,,,,,
player,201111270atl,min,GerhTo00,rec,2,,,,,
player,201111270atl,min,GerhTo00,rec_yds,19,,,,,
player,201111270atl,min,GerhTo00,rec_td,0,,,,,
player,201111270atl,min,GerhTo00,rec_long,11,,,,,
player,201111270atl,min,GerhTo00,fumbles,0,,,,,
