game,2011,2,20110918,201109180pit,sea,"Seattle Seahawks",0,pit,"Pittsburgh Steelers",24
team,201109180pit,sea,First Downs,8,,,,,,
team,201109180pit,pit,First Downs,23,,,,,,
team,201109180pit,sea,Rush-Yds-TDs,13-31-0,,,,,,
team,201109180pit,pit,Rush-Yds-TDs,35-124-2,,,,,,
team,201109180pit,sea,Cmp-Att-Yd-TD-INT,20-29-159-0-0,,,,,,
team,201109180pit,pit,Cmp-Att-Yd-TD-INT,23-31-313-1-0,,,,,,
team,201109180pit,sea,Sacked-Yards,5-26,,,,,,
team,201109180pit,pit,Sacked-Yards,2-16,,,,,,
team,201109180pit,sea,Net Pass Yards,133,,,,,,
team,201109180pit,pit,Net Pass Yards,297,,,,,,
team,201109180pit,sea,Total Yards,164,,,,,,
team,201109180pit,pit,Total Yards,421,,,,,,
team,201109180pit,sea,Fumbles-Lost,0-0,,,,,,
team,201109180pit,pit,Fumbles-Lost,0-0,,,,,,
team,201109180pit,sea,Turnovers,0,,,,,,
team,201109180pit,pit,Turnovers,0,,,,,,
team,201109180pit,sea,Penalties-Yards,6-66,,,,,,
team,201109180pit,pit,Penalties-Yards,4-48,,,,,,
team,201109180pit,sea,Third Down Conv.,2-12,,,,,,
team,201109180pit,pit,Third Down Conv.,8-15,,,,,,
team,201109180pit,sea,Fourth Down Conv.,1-2,,,,,,
team,201109180pit,pit,Fourth Down Conv.,0-1,,,,,,
team,201109180pit,sea,Time of Possession,21:16,,,,,,
team,201109180pit,pit,Time of Possession,38:44,,,,,,
player,201109180pit,sea,JackTa00,pass_cmp,20,,,,,
player,201109180pit,sea,JackTa00,pass_att,29,,,,,
player,201109180pit,sea,JackTa00,pass_yds,159,,,,,
player,201109180pit,sea,JackTa00,pass_td,0,,,,,
player,201109180pit,sea,JackTa00,pass_int,0,,,,,
player,201109180pit,sea,JackTa00,pass_sacked,5,,,,,
player,201109180pit,sea,JackTa00,pass_sacked_yds,26,,,,,
player,201109180pit,sea,JackTa00,pass_long,17,,,,,
player,201109180pit,sea,JackTa00,pass_rating,82.4,,,,,
player,201109180pit,sea,JackTa00,rush_att,3,,,,,
player,201109180pit,sea,JackTa00,rush_yds,12,,,,,
player,201109180pit,sea,JackTa00,rush_td,0,,,,,
player,201109180pit,sea,JackTa00,rush_long,8,,,,,
player,201109180pit,sea,JackTa00,targets,0,,,,,
player,201109180pit,sea,JackTa00,rec,0,,,,,
player,201109180pit,sea,JackTa00,rec_yds,0,,,,,
player,201109180pit,sea,JackTa00,rec_td,0,,,,,
player,201109180pit,sea,JackTa00,rec_long,0,,,,,
player,201109180pit,sea,JackTa00,fumbles,0,,,,,
player,201109180pit,sea,JackTa00,fumbles_lost,,,,,,
player,201109180pit,sea,LyncMa00,pass_cmp,0,,,,,
player,201109180pit,sea,LyncMa00,pass_att,0,,,,,
player,201109180pit,sea,LyncMa00,pass_yds,0,,,,,
player,201109180pit,sea,LyncMa00,pass_td,0,,,,,
player,201109180pit,sea,LyncMa00,pass_int,0,,,,,
player,201109180pit,sea,LyncMa00,pass_sacked,0,,,,,
player,201109180pit,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201109180pit,sea,LyncMa00,pass_long,0,,,,,
player,201109180pit,sea,LyncMa00,pass_rating,,,,,,
player,201109180pit,sea,LyncMa00,rush_att,6,,,,,
player,201109180pit,sea,LyncMa00,rush_yds,11,,,,,
player,201109180pit,sea,LyncMa00,rush_td,0,,,,,
player,201109180pit,sea,LyncMa00,rush_long,7,,,,,
player,201109180pit,sea,LyncMa00,targets,2,,,,,
player,201109180pit,sea,LyncMa00,rec,1,,,,,
player,201109180pit,sea,LyncMa00,rec_yds,1,,,,,
player,201109180pit,sea,LyncMa00,rec_td,0,,,,,
player,201109180pit,sea,LyncMa00,rec_long,1,,,,,
player,201109180pit,sea,LyncMa00,fumbles,0,,,,,
player,201109180pit,sea,LyncMa00,fumbles_lost,,,,,,
player,201109180pit,sea,ForsJu00,pass_cmp,0,,,,,
player,201109180pit,sea,ForsJu00,pass_att,0,,,,,
player,201109180pit,sea,ForsJu00,pass_yds,0,,,,,
player,201109180pit,sea,ForsJu00,pass_td,0,,,,,
player,201109180pit,sea,ForsJu00,pass_int,0,,,,,
