game,2011,16,20111224,201112240pit,ram,"St. Louis Rams",0,pit,"Pittsburgh Steelers",27
team,201112240pit,ram,First Downs,15,,,,,,
team,201112240pit,pit,First Downs,17,,,,,,
team,201112240pit,ram,Rush-Yds-TDs,36-164-0,,,,,,
team,201112240pit,pit,Rush-Yds-TDs,28-169-3,,,,,,
team,201112240pit,ram,Cmp-Att-Yd-TD-INT,9-24-91-0-0,,,,,,
team,201112240pit,pit,Cmp-Att-Yd-TD-INT,15-22-208-0-1,,,,,,
team,201112240pit,ram,Sacked-Yards,3-23,,,,,,
team,201112240pit,pit,Sacked-Yards,0-0,,,,,,
team,201112240pit,ram,Net Pass Yards,68,,,,,,
team,201112240pit,pit,Net Pass Yards,208,,,,,,
team,201112240pit,ram,Total Yards,232,,,,,,
team,201112240pit,pit,Total Yards,377,,,,,,
team,201112240pit,ram,Fumbles-Lost,1-0,,,,,,
team,201112240pit,pit,Fumbles-Lost,0-0,,,,,,
team,201112240pit,ram,Turnovers,0,,,,,,
team,201112240pit,pit,Turnovers,1,,,,,,
team,201112240pit,ram,Penalties-Yards,4-21,,,,,,
team,201112240pit,pit,Penalties-Yards,7-50,,,,,,
team,201112240pit,ram,Third Down Conv.,6-16,,,,,,
team,201112240pit,pit,Third Down Conv.,1-7,,,,,,
team,201112240pit,ram,Fourth Down Conv.,0-1,,,,,,
team,201112240pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201112240pit,ram,Time of Possession,30:45,,,,,,
team,201112240pit,pit,Time of Possession,29:15,,,,,,
player,201112240pit,ram,ClemKe00,pass_cmp,9,,,,,
player,201112240pit,ram,ClemKe00,pass_att,24,,,,,
player,201112240pit,ram,ClemKe00,pass_yds,91,,,,,
player,201112240pit,ram,ClemKe00,pass_td,0,,,,,
player,201112240pit,ram,ClemKe00,pass_int,0,,,,,
player,201112240pit,ram,ClemKe00,pass_sacked,3,,,,,
player,201112240pit,ram,ClemKe00,pass_sacked_yds,23,,,,,
player,201112240pit,ram,ClemKe00,pass_long,17,,,,,
player,201112240pit,ram,ClemKe00,pass_rating,49.1,,,,,
player,201112240pit,ram,ClemKe00,rush_att,2,,,,,
player,201112240pit,ram,ClemKe00,rush_yds,10,,,,,
player,201112240pit,ram,ClemKe00,rush_td,0,,,,,
player,201112240pit,ram,ClemKe00,rush_long,9,,,,,
player,201112240pit,ram,ClemKe00,targets,0,,,,,
player,201112240pit,ram,ClemKe00,rec,0,,,,,
player,201112240pit,ram,ClemKe00,rec_yds,0,,,,,
player,201112240pit,ram,ClemKe00,rec_td,0,,,,,
player,201112240pit,ram,ClemKe00,rec_long,0,,,,,
player,201112240pit,ram,ClemKe00,fumbles,1,,,,,
player,201112240pit,ram,ClemKe00,fumbles_lost,0,,,,,
player,201112240pit,ram,JackSt00,pass_cmp,0,,,,,
player,201112240pit,ram,JackSt00,pass_att,0,,,,,
player,201112240pit,ram,JackSt00,pass_yds,0,,,,,
player,201112240pit,ram,JackSt00,pass_td,0,,,,,
player,201112240pit,ram,JackSt00,pass_int,0,,,,,
player,201112240pit,ram,JackSt00,pass_sacked,0,,,,,
player,201112240pit,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201112240pit,ram,JackSt00,pass_long,0,,,,,
player,201112240pit,ram,JackSt00,pass_rating,,,,,,
player,201112240pit,ram,JackSt00,rush_att,24,,,,,
player,201112240pit,ram,JackSt00,rush_yds,103,,,,,
player,201112240pit,ram,JackSt00,rush_td,0,,,,,
player,201112240pit,ram,JackSt00,rush_long,15,,,,,
player,201112240pit,ram,JackSt00,targets,3,,,,,
player,201112240pit,ram,JackSt00,rec,2,,,,,
player,201112240pit,ram,JackSt00,rec_yds,24,,,,,
player,201112240pit,ram,JackSt00,rec_td,0,,,,,
player,201112240pit,ram,JackSt00,rec_long,17,,,,,
player,201112240pit,ram,JackSt00,fumbles,0,,,,,
player,201112240pit,ram,JackSt00,fumbles_lost,,,,,,
player,201112240pit,ram,WillCa02,pass_cmp,0,,,,,
player,201112240pit,ram,WillCa02,pass_att,0,,,,,
player,201112240pit,ram,WillCa02,pass_yds,0,,,,,
player,201112240pit,ram,WillCa02,pass_td,0,,,,,
player,201112240pit,ram,WillCa02,pass_int,0,,,,,
player,201112240pit,ram,WillCa02,pass_sacked,0,,,,,
player,201112240pit,ram,WillCa02,pass_sacked_yds,0,,,,,
player,201112240pit,ram,WillCa02,pass_long,0,,,,,
player,201112240pit,ram,WillCa02,pass_rating,,,,,,
player,201112240pit,ram,WillCa02,rush_att,9,,,,,
player,201112240pit,ram,WillCa02,rush_yds,42,,,,,
player,201112240pit,ram,WillCa02,rush_td,0,,,,,
player,201112240pit,ram,WillCa02,rush_long,23,,,,,
player,201112240pit,ram,WillCa02,targets,0,,,,,
player,201112240pit,ram,WillCa02,rec,0,,,,,
player,201112240pit,ram,WillCa02,rec_yds,0,,,,,
player,201112240pit,ram,WillCa02,rec_td,0,,,,,
player,201112240pit,ram,WillCa02,rec_long,0,,,,,
player,201112240pit,ram,WillCa02,fumbles,0,,,,,
player,201112240pit,ram,WillCa02,fumbles_lost,,,,,,
player,201112240pit,ram,JoneDo21,pass_cmp,0,,,,,
player,201112240pit,ram,JoneDo21,pass_att,0,,,,,
player,201112240pit,ram,JoneDo21,pass_yds,0,,,,,
player,201112240pit,ram,JoneDo21,pass_td,0,,,,,
player,201112240pit,ram,JoneDo21,pass_int,0,,,,,
player,201112240pit,ram,JoneDo21,pass_sacked,0,,,,,
