game,2011,4,20111002,201110020kan,min,"Minnesota Vikings",17,kan,"Kansas City Chiefs",22
team,201110020kan,min,First Downs,17,,,,,,
team,201110020kan,kan,First Downs,15,,,,,,
team,201110020kan,min,Rush-Yds-TDs,30-151-0,,,,,,
team,201110020kan,kan,Rush-Yds-TDs,28-103-0,,,,,,
team,201110020kan,min,Cmp-Att-Yd-TD-INT,18-30-202-2-1,,,,,,
team,201110020kan,kan,Cmp-Att-Yd-TD-INT,18-29-260-1-0,,,,,,
team,201110020kan,min,Sacked-Yards,2-12,,,,,,
team,201110020kan,kan,Sacked-Yards,3-13,,,,,,
team,201110020kan,min,Net Pass Yards,190,,,,,,
team,201110020kan,kan,Net Pass Yards,247,,,,,,
team,201110020kan,min,Total Yards,341,,,,,,
team,201110020kan,kan,Total Yards,350,,,,,,
team,201110020kan,min,Fumbles-Lost,1-0,,,,,,
team,201110020kan,kan,Fumbles-Lost,0-0,,,,,,
team,201110020kan,min,Turnovers,1,,,,,,
team,201110020kan,kan,Turnovers,0,,,,,,
team,201110020kan,min,Penalties-Yards,6-45,,,,,,
team,201110020kan,kan,Penalties-Yards,6-57,,,,,,
team,201110020kan,min,Third Down Conv.,5-14,,,,,,
team,201110020kan,kan,Third Down Conv.,6-15,,,,,,
team,201110020kan,min,Fourth Down Conv.,2-3,,,,,,
team,201110020kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201110020kan,min,Time of Possession,32:10,,,,,,
team,201110020kan,kan,Time of Possession,27:50,,,,,,
player,201110020kan,min,McNaDo00,pass_cmp,18,,,,,
player,201110020kan,min,McNaDo00,pass_att,30,,,,,
player,201110020kan,min,McNaDo00,pass_yds,202,,,,,
player,201110020kan,min,McNaDo00,pass_td,2,,,,,
player,201110020kan,min,McNaDo00,pass_int,1,,,,,
player,201110020kan,min,McNaDo00,pass_sacked,2,,,,,
player,201110020kan,min,McNaDo00,pass_sacked_yds,12,,,,,
player,201110020kan,min,McNaDo00,pass_long,41,,,,,
player,201110020kan,min,McNaDo00,pass_rating,88.5,,,,,
player,201110020kan,min,McNaDo00,rush_att,1,,,,,
player,201110020kan,min,McNaDo00,rush_yds,0,,,,,
player,201110020kan,min,McNaDo00,rush_td,0,,,,,
player,201110020kan,min,McNaDo00,rush_long,0,,,,,
player,201110020kan,min,McNaDo00,targets,0,,,,,
player,201110020kan,min,McNaDo00,rec,0,,,,,
player,201110020kan,min,McNaDo00,rec_yds,0,,,,,
player,201110020kan,min,McNaDo00,rec_td,0,,,,,
player,201110020kan,min,McNaDo00,rec_long,0,,,,,
player,201110020kan,min,McNaDo00,fumbles,1,,,,,
player,201110020kan,min,McNaDo00,fumbles_lost,0,,,,,
player,201110020kan,min,PeteAd01,pass_cmp,0,,,,,
player,201110020kan,min,PeteAd01,pass_att,0,,,,,
player,201110020kan,min,PeteAd01,pass_yds,0,,,,,
player,201110020kan,min,PeteAd01,pass_td,0,,,,,
player,201110020kan,min,PeteAd01,pass_int,0,,,,,
player,201110020kan,min,PeteAd01,pass_sacked,0,,,,,
player,201110020kan,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201110020kan,min,PeteAd01,pass_long,0,,,,,
player,201110020kan,min,PeteAd01,pass_rating,,,,,,
player,201110020kan,min,PeteAd01,rush_att,23,,,,,
player,201110020kan,min,PeteAd01,rush_yds,80,,,,,
player,201110020kan,min,PeteAd01,rush_td,0,,,,,
player,201110020kan,min,PeteAd01,rush_long,14,,,,,
player,201110020kan,min,PeteAd01,targets,1,,,,,
player,201110020kan,min,PeteAd01,rec,1,,,,,
player,201110020kan,min,PeteAd01,rec_yds,3,,,,,
player,201110020kan,min,PeteAd01,rec_td,0,,,,,
player,201110020kan,min,PeteAd01,rec_long,3,,,,,
player,201110020kan,min,PeteAd01,fumbles,0,,,,,
player,201110020kan,min,PeteAd01,fumbles_lost,,,,,,
player,201110020kan,min,HarvPe00,pass_cmp,0,,,,,
player,201110020kan,min,HarvPe00,pass_att,0,,,,,
player,201110020kan,min,HarvPe00,pass_yds,0,,,,,
player,201110020kan,min,HarvPe00,pass_td,0,,,,,
player,201110020kan,min,HarvPe00,pass_int,0,,,,,
player,201110020kan,min,HarvPe00,pass_sacked,0,,,,,
player,201110020kan,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201110020kan,min,HarvPe00,pass_long,0,,,,,
player,201110020kan,min,HarvPe00,pass_rating,,,,,,
player,201110020kan,min,HarvPe00,rush_att,4,,,,,
player,201110020kan,min,HarvPe00,rush_yds,67,,,,,
player,201110020kan,min,HarvPe00,rush_td,0,,,,,
player,201110020kan,min,HarvPe00,rush_long,23,,,,,
player,201110020kan,min,HarvPe00,targets,7,,,,,
player,201110020kan,min,HarvPe00,rec,5,,,,,
player,201110020kan,min,HarvPe00,rec_yds,42,,,,,
player,201110020kan,min,HarvPe00,rec_td,0,,,,,
player,201110020kan,min,HarvPe00,rec_long,22,,,,,
player,201110020kan,min,HarvPe00,fumbles,0,,,,,
player,201110020kan,min,HarvPe00,fumbles_lost,,,,,,
player,201110020kan,min,GerhTo00,pass_cmp,0,,,,,
player,201110020kan,min,GerhTo00,pass_att,0,,,,,
player,201110020kan,min,GerhTo00,pass_yds,0,,,,,
player,201110020kan,min,GerhTo00,pass_td,0,,,,,
player,201110020kan,min,GerhTo00,pass_int,0,,,,,
player,201110020kan,min,GerhTo00,pass_sacked,0,,,,,
player,201110020kan,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201110020kan,min,GerhTo00,pass_long,0,,,,,
player,201110020kan,min,GerhTo00,pass_rating,,,,,,
player,201110020kan,min,GerhTo00,rush_att,2,,,,,
player,201110020kan,min,GerhTo00,rush_yds,4,,,,,
player,201110020kan,min,GerhTo00,rush_td,0,,,,,
player,201110020kan,min,GerhTo00,rush_long,3,,,,,
player,201110020kan,min,GerhTo00,targets,1,,,,,
player,201110020kan,min,GerhTo00,rec,0,,,,,
player,201110020kan,min,GerhTo00,rec_yds,0,,,,,
player,201110020kan,min,GerhTo00,rec_td,0,,,,,
player,201110020kan,min,GerhTo00,rec_long,0,,,,,
player,201110020kan,min,GerhTo00,fumbles,0,,,,,
player,201110020kan,min,GerhTo00,fumbles_lost,,,,,,
player,201110020kan,min,ShiaVi00,pass_cmp,0,,,,,
player,201110020kan,min,ShiaVi00,pass_att,0,,,,,
player,201110020kan,min,ShiaVi00,pass_yds,0,,,,,
player,201110020kan,min,ShiaVi00,pass_td,0,,,,,
player,201110020kan,min,ShiaVi00,pass_int,0,,,,,
player,201110020kan,min,ShiaVi00,pass_sacked,0,,,,,
player,201110020kan,min,ShiaVi00,pass_sacked_yds,0,,,,,
player,201110020kan,min,ShiaVi00,pass_long,0,,,,,
player,201110020kan,min,ShiaVi00,pass_rating,,,,,,
player,201110020kan,min,ShiaVi00,rush_att,0,,,,,
player,201110020kan,min,ShiaVi00,rush_yds,0,,,,,
player,201110020kan,min,ShiaVi00,rush_td,0,,,,,
player,201110020kan,min,ShiaVi00,rush_long,0,,,,,
player,201110020kan,min,ShiaVi00,targets,8,,,,,
player,201110020kan,min,ShiaVi00,rec,6,,,,,
player,201110020kan,min,ShiaVi00,rec_yds,58,,,,,
player,201110020kan,min,ShiaVi00,rec_td,0,,,,,
player,201110020kan,min,ShiaVi00,rec_long,15,,,,,
player,201110020kan,min,ShiaVi00,fumbles,0,,,,,
player,201110020kan,min,ShiaVi00,fumbles_lost,,,,,,
player,201110020kan,min,RudoKy00,pass_cmp,0,,,,,
player,201110020kan,min,RudoKy00,pass_att,0,,,,,
player,201110020kan,min,RudoKy00,pass_yds,0,,,,,
player,201110020kan,min,RudoKy00,pass_td,0,,,,,
player,201110020kan,min,RudoKy00,pass_int,0,,,,,
player,201110020kan,min,RudoKy00,pass_sacked,0,,,,,
player,201110020kan,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201110020kan,min,RudoKy00,pass_long,0,,,,,
player,201110020kan,min,RudoKy00,pass_rating,,,,,,
player,201110020kan,min,RudoKy00,rush_att,0,,,,,
player,201110020kan,min,RudoKy00,rush_yds,0,,,,,
player,201110020kan,min,RudoKy00,rush_td,0,,,,,
player,201110020kan,min,RudoKy00,rush_long,0,,,,,
player,201110020kan,min,RudoKy00,targets,4,,,,,
player,201110020kan,min,RudoKy00,rec,3,,,,,
player,201110020kan,min,RudoKy00,rec_yds,44,,,,,
player,201110020kan,min,RudoKy00,rec_td,0,,,,,
player,201110020kan,min,RudoKy00,rec_long,41,,,,,
player,201110020kan,min,RudoKy00,fumbles,0,,,,,
player,201110020kan,min,RudoKy00,fumbles_lost,,,,,,
player,201110020kan,min,AromDe00,pass_cmp,0,,,,,
player,201110020kan,min,AromDe00,pass_att,0,,,,,
player,201110020kan,min,AromDe00,pass_yds,0,,,,,
player,201110020kan,min,AromDe00,pass_td,0,,,,,
player,201110020kan,min,AromDe00,pass_int,0,,,,,
player,201110020kan,min,AromDe00,pass_sacked,0,,,,,
player,201110020kan,min,AromDe00,pass_sacked_yds,0,,,,,
player,201110020kan,min,AromDe00,pass_long,0,,,,,
player,201110020kan,min,AromDe00,pass_rating,,,,,,
player,201110020kan,min,AromDe00,rush_att,0,,,,,
player,201110020kan,min,AromDe00,rush_yds,0,,,,,
player,201110020kan,min,AromDe00,rush_td,0,,,,,
player,201110020kan,min,AromDe00,rush_long,0,,,,,
player,201110020kan,min,AromDe00,targets,2,,,,,
player,201110020kan,min,AromDe00,rec,1,,,,,
player,201110020kan,min,AromDe00,rec_yds,34,,,,,
player,201110020kan,min,AromDe00,rec_td,1,,,,,
player,201110020kan,min,AromDe00,rec_long,34,,,,,
player,201110020kan,min,AromDe00,fumbles,0,,,,,
player,201110020kan,min,AromDe00,fumbles_lost,,,,,,
player,201110020kan,min,BerrBe00,pass_cmp,0,,,,,
player,201110020kan,min,BerrBe00,pass_att,0,,,,,
player,201110020kan,min,BerrBe00,pass_yds,0,,,,,
player,201110020kan,min,BerrBe00,pass_td,0,,,,,
player,201110020kan,min,BerrBe00,pass_int,0,,,,,
player,201110020kan,min,BerrBe00,pass_sacked,0,,,,,
player,201110020kan,min,BerrBe00,pass_sacked_yds,0,,,,,
player,201110020kan,min,BerrBe00,pass_long,0,,,,,
player,201110020kan,min,BerrBe00,pass_rating,,,,,,
player,201110020kan,min,BerrBe00,rush_att,0,,,,,
player,201110020kan,min,BerrBe00,rush_yds,0,,,,,
player,201110020kan,min,BerrBe00,rush_td,0,,,,,
player,201110020kan,min,BerrBe00,rush_long,0,,,,,
player,201110020kan,min,BerrBe00,targets,6,,,,,
player,201110020kan,min,BerrBe00,rec,1,,,,,
player,201110020kan,min,BerrBe00,rec_yds,20,,,,,
player,201110020kan,min,BerrBe00,rec_td,0,,,,,
player,201110020kan,min,BerrBe00,rec_long,20,,,,,
player,201110020kan,min,BerrBe00,fumbles,0,,,,,
