game,2011,2,20110918,201109180det,kan,"Kansas City Chiefs",3,det,"Detroit Lions",48
team,201109180det,kan,First Downs,12,,,,,,
team,201109180det,det,First Downs,23,,,,,,
team,201109180det,kan,Rush-Yds-TDs,29-151-0,,,,,,
team,201109180det,det,Rush-Yds-TDs,30-89-2,,,,,,
team,201109180det,kan,Cmp-Att-Yd-TD-INT,15-23-133-0-3,,,,,,
team,201109180det,det,Cmp-Att-Yd-TD-INT,24-40-322-4-1,,,,,,
team,201109180det,kan,Sacked-Yards,2-17,,,,,,
team,201109180det,det,Sacked-Yards,0-0,,,,,,
team,201109180det,kan,Net Pass Yards,116,,,,,,
team,201109180det,det,Net Pass Yards,322,,,,,,
team,201109180det,kan,Total Yards,267,,,,,,
team,201109180det,det,Total Yards,411,,,,,,
team,201109180det,kan,Fumbles-Lost,3-3,,,,,,
team,201109180det,det,Fumbles-Lost,1-0,,,,,,
team,201109180det,kan,Turnovers,6,,,,,,
team,201109180det,det,Turnovers,1,,,,,,
team,201109180det,kan,Penalties-Yards,8-70,,,,,,
team,201109180det,det,Penalties-Yards,4-35,,,,,,
team,201109180det,kan,Third Down Conv.,2-11,,,,,,
team,201109180det,det,Third Down Conv.,5-15,,,,,,
team,201109180det,kan,Fourth Down Conv.,0-0,,,,,,
team,201109180det,det,Fourth Down Conv.,2-2,,,,,,
team,201109180det,kan,Time of Possession,27:36,,,,,,
team,201109180det,det,Time of Possession,32:24,,,,,,
player,201109180det,kan,CassMa00,pass_cmp,15,,,,,
player,201109180det,kan,CassMa00,pass_att,22,,,,,
player,201109180det,kan,CassMa00,pass_yds,133,,,,,
player,201109180det,kan,CassMa00,pass_td,0,,,,,
player,201109180det,kan,CassMa00,pass_int,3,,,,,
player,201109180det,kan,CassMa00,pass_sacked,2,,,,,
player,201109180det,kan,CassMa00,pass_sacked_yds,17,,,,,
player,201109180det,kan,CassMa00,pass_long,45,,,,,
player,201109180det,kan,CassMa00,pass_rating,44.5,,,,,
player,201109180det,kan,CassMa00,rush_att,0,,,,,
player,201109180det,kan,CassMa00,rush_yds,0,,,,,
player,201109180det,kan,CassMa00,rush_td,0,,,,,
player,201109180det,kan,CassMa00,rush_long,0,,,,,
player,201109180det,kan,CassMa00,targets,0,,,,,
player,201109180det,kan,CassMa00,rec,0,,,,,
player,201109180det,kan,CassMa00,rec_yds,0,,,,,
player,201109180det,kan,CassMa00,rec_td,0,,,,,
player,201109180det,kan,CassMa00,rec_long,0,,,,,
player,201109180det,kan,CassMa00,fumbles,1,,,,,
player,201109180det,kan,CassMa00,fumbles_lost,1,,,,,
player,201109180det,kan,PalkTy00,pass_cmp,0,,,,,
player,201109180det,kan,PalkTy00,pass_att,1,,,,,
player,201109180det,kan,PalkTy00,pass_yds,0,,,,,
player,201109180det,kan,PalkTy00,pass_td,0,,,,,
player,201109180det,kan,PalkTy00,pass_int,0,,,,,
player,201109180det,kan,PalkTy00,pass_sacked,0,,,,,
player,201109180det,kan,PalkTy00,pass_sacked_yds,0,,,,,
player,201109180det,kan,PalkTy00,pass_long,0,,,,,
player,201109180det,kan,PalkTy00,pass_rating,39.6,,,,,
player,201109180det,kan,PalkTy00,rush_att,0,,,,,
player,201109180det,kan,PalkTy00,rush_yds,0,,,,,
player,201109180det,kan,PalkTy00,rush_td,0,,,,,
player,201109180det,kan,PalkTy00,rush_long,0,,,,,
player,201109180det,kan,PalkTy00,targets,0,,,,,
player,201109180det,kan,PalkTy00,rec,0,,,,,
player,201109180det,kan,PalkTy00,rec_yds,0,,,,,
player,201109180det,kan,PalkTy00,rec_td,0,,,,,
player,201109180det,kan,PalkTy00,rec_long,0,,,,,
player,201109180det,kan,PalkTy00,fumbles,0,,,,,
player,201109180det,kan,PalkTy00,fumbles_lost,,,,,,
player,201109180det,kan,McClDe00,pass_cmp,0,,,,,
player,201109180det,kan,McClDe00,pass_att,0,,,,,
player,201109180det,kan,McClDe00,pass_yds,0,,,,,
player,201109180det,kan,McClDe00,pass_td,0,,,,,
player,201109180det,kan,McClDe00,pass_int,0,,,,,
player,201109180det,kan,McClDe00,pass_sacked,0,,,,,
player,201109180det,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201109180det,kan,McClDe00,pass_long,0,,,,,
player,201109180det,kan,McClDe00,pass_rating,,,,,,
player,201109180det,kan,McClDe00,rush_att,8,,,,,
player,201109180det,kan,McClDe00,rush_yds,51,,,,,
player,201109180det,kan,McClDe00,rush_td,0,,,,,
player,201109180det,kan,McClDe00,rush_long,24,,,,,
player,201109180det,kan,McClDe00,targets,5,,,,,
player,201109180det,kan,McClDe00,rec,4,,,,,
player,201109180det,kan,McClDe00,rec_yds,-2,,,,,
player,201109180det,kan,McClDe00,rec_td,0,,,,,
player,201109180det,kan,McClDe00,rec_long,6,,,,,
player,201109180det,kan,McClDe00,fumbles,1,,,,,
player,201109180det,kan,McClDe00,fumbles_lost,1,,,,,
player,201109180det,kan,JoneTh00,pass_cmp,0,,,,,
player,201109180det,kan,JoneTh00,pass_att,0,,,,,
player,201109180det,kan,JoneTh00,pass_yds,0,,,,,
player,201109180det,kan,JoneTh00,pass_td,0,,,,,
player,201109180det,kan,JoneTh00,pass_int,0,,,,,
player,201109180det,kan,JoneTh00,pass_sacked,0,,,,,
player,201109180det,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201109180det,kan,JoneTh00,pass_long,0,,,,,
player,201109180det,kan,JoneTh00,pass_rating,,,,,,
player,201109180det,kan,JoneTh00,rush_att,12,,,,,
player,201109180det,kan,JoneTh00,rush_yds,40,,,,,
player,201109180det,kan,JoneTh00,rush_td,0,,,,,
player,201109180det,kan,JoneTh00,rush_long,12,,,,,
player,201109180det,kan,JoneTh00,targets,0,,,,,
player,201109180det,kan,JoneTh00,rec,0,,,,,
player,201109180det,kan,JoneTh00,rec_yds,0,,,,,
player,201109180det,kan,JoneTh00,rec_td,0,,,,,
player,201109180det,kan,JoneTh00,rec_long,0,,,,,
player,201109180det,kan,JoneTh00,fumbles,0,,,,,
