game,2011,14,20111211,201112110car,atl,"Atlanta Falcons",31,car,"Carolina Panthers",23
team,201112110car,atl,First Downs,18,,,,,,
team,201112110car,car,First Downs,19,,,,,,
team,201112110car,atl,Rush-Yds-TDs,28-86-0,,,,,,
team,201112110car,car,Rush-Yds-TDs,23-157-1,,,,,,
team,201112110car,atl,Cmp-Att-Yd-TD-INT,22-38-320-4-0,,,,,,
team,201112110car,car,Cmp-Att-Yd-TD-INT,19-39-276-2-2,,,,,,
team,201112110car,atl,Sacked-Yards,3-12,,,,,,
team,201112110car,car,Sacked-Yards,2-17,,,,,,
team,201112110car,atl,Net Pass Yards,308,,,,,,
team,201112110car,car,Net Pass Yards,259,,,,,,
team,201112110car,atl,Total Yards,394,,,,,,
team,201112110car,car,Total Yards,416,,,,,,
team,201112110car,atl,Fumbles-Lost,1-0,,,,,,
team,201112110car,car,Fumbles-Lost,0-0,,,,,,
team,201112110car,atl,Turnovers,0,,,,,,
team,201112110car,car,Turnovers,2,,,,,,
team,201112110car,atl,Penalties-Yards,5-50,,,,,,
team,201112110car,car,Penalties-Yards,5-50,,,,,,
team,201112110car,atl,Third Down Conv.,8-17,,,,,,
team,201112110car,car,Third Down Conv.,5-13,,,,,,
team,201112110car,atl,Fourth Down Conv.,0-0,,,,,,
team,201112110car,car,Fourth Down Conv.,0-1,,,,,,
team,201112110car,atl,Time of Possession,30:43,,,,,,
team,201112110car,car,Time of Possession,29:17,,,,,,
player,201112110car,atl,RyanMa00,pass_cmp,22,,,,,
player,201112110car,atl,RyanMa00,pass_att,38,,,,,
player,201112110car,atl,RyanMa00,pass_yds,320,,,,,
player,201112110car,atl,RyanMa00,pass_td,4,,,,,
player,201112110car,atl,RyanMa00,pass_int,0,,,,,
player,201112110car,atl,RyanMa00,pass_sacked,3,,,,,
player,201112110car,atl,RyanMa00,pass_sacked_yds,12,,,,,
player,201112110car,atl,RyanMa00,pass_long,75,,,,,
player,201112110car,atl,RyanMa00,pass_rating,120.5,,,,,
player,201112110car,atl,RyanMa00,rush_att,3,,,,,
player,201112110car,atl,RyanMa00,rush_yds,0,,,,,
player,201112110car,atl,RyanMa00,rush_td,0,,,,,
player,201112110car,atl,RyanMa00,rush_long,2,,,,,
player,201112110car,atl,RyanMa00,targets,0,,,,,
player,201112110car,atl,RyanMa00,rec,0,,,,,
player,201112110car,atl,RyanMa00,rec_yds,0,,,,,
player,201112110car,atl,RyanMa00,rec_td,0,,,,,
player,201112110car,atl,RyanMa00,rec_long,0,,,,,
player,201112110car,atl,RyanMa00,fumbles,1,,,,,
player,201112110car,atl,RyanMa00,fumbles_lost,0,,,,,
player,201112110car,atl,TurnMi00,pass_cmp,0,,,,,
player,201112110car,atl,TurnMi00,pass_att,0,,,,,
player,201112110car,atl,TurnMi00,pass_yds,0,,,,,
player,201112110car,atl,TurnMi00,pass_td,0,,,,,
player,201112110car,atl,TurnMi00,pass_int,0,,,,,
player,201112110car,atl,TurnMi00,pass_sacked,0,,,,,
player,201112110car,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201112110car,atl,TurnMi00,pass_long,0,,,,,
player,201112110car,atl,TurnMi00,pass_rating,,,,,,
player,201112110car,atl,TurnMi00,rush_att,21,,,,,
player,201112110car,atl,TurnMi00,rush_yds,76,,,,,
player,201112110car,atl,TurnMi00,rush_td,0,,,,,
player,201112110car,atl,TurnMi00,rush_long,13,,,,,
player,201112110car,atl,TurnMi00,targets,1,,,,,
player,201112110car,atl,TurnMi00,rec,0,,,,,
player,201112110car,atl,TurnMi00,rec_yds,0,,,,,
player,201112110car,atl,TurnMi00,rec_td,0,,,,,
player,201112110car,atl,TurnMi00,rec_long,0,,,,,
player,201112110car,atl,TurnMi00,fumbles,0,,,,,
player,201112110car,atl,TurnMi00,fumbles_lost,,,,,,
player,201112110car,atl,SnelJa00,pass_cmp,0,,,,,
player,201112110car,atl,SnelJa00,pass_att,0,,,,,
player,201112110car,atl,SnelJa00,pass_yds,0,,,,,
player,201112110car,atl,SnelJa00,pass_td,0,,,,,
player,201112110car,atl,SnelJa00,pass_int,0,,,,,
player,201112110car,atl,SnelJa00,pass_sacked,0,,,,,
