game,2011,15,20111218,201112180rai,det,"Detroit Lions",28,rai,"Oakland Raiders",27
team,201112180rai,det,First Downs,25,,,,,,
team,201112180rai,rai,First Downs,26,,,,,,
team,201112180rai,det,Rush-Yds-TDs,19-57-0,,,,,,
team,201112180rai,rai,Rush-Yds-TDs,22-132-1,,,,,,
team,201112180rai,det,Cmp-Att-Yd-TD-INT,29-52-391-4-0,,,,,,
team,201112180rai,rai,Cmp-Att-Yd-TD-INT,32-40-367-1-0,,,,,,
team,201112180rai,det,Sacked-Yards,2-16,,,,,,
team,201112180rai,rai,Sacked-Yards,3-22,,,,,,
team,201112180rai,det,Net Pass Yards,375,,,,,,
team,201112180rai,rai,Net Pass Yards,345,,,,,,
team,201112180rai,det,Total Yards,432,,,,,,
team,201112180rai,rai,Total Yards,477,,,,,,
team,201112180rai,det,Fumbles-Lost,1-1,,,,,,
team,201112180rai,rai,Fumbles-Lost,1-1,,,,,,
team,201112180rai,det,Turnovers,1,,,,,,
team,201112180rai,rai,Turnovers,1,,,,,,
team,201112180rai,det,Penalties-Yards,9-72,,,,,,
team,201112180rai,rai,Penalties-Yards,10-86,,,,,,
team,201112180rai,det,Third Down Conv.,8-17,,,,,,
team,201112180rai,rai,Third Down Conv.,1-9,,,,,,
team,201112180rai,det,Fourth Down Conv.,1-2,,,,,,
team,201112180rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201112180rai,det,Time of Possession,28:27,,,,,,
team,201112180rai,rai,Time of Possession,31:33,,,,,,
player,201112180rai,det,StafMa00,pass_cmp,29,,,,,
player,201112180rai,det,StafMa00,pass_att,52,,,,,
player,201112180rai,det,StafMa00,pass_yds,391,,,,,
player,201112180rai,det,StafMa00,pass_td,4,,,,,
player,201112180rai,det,StafMa00,pass_int,0,,,,,
player,201112180rai,det,StafMa00,pass_sacked,2,,,,,
player,201112180rai,det,StafMa00,pass_sacked_yds,16,,,,,
player,201112180rai,det,StafMa00,pass_long,51,,,,,
player,201112180rai,det,StafMa00,pass_rating,105.5,,,,,
player,201112180rai,det,StafMa00,rush_att,1,,,,,
player,201112180rai,det,StafMa00,rush_yds,5,,,,,
player,201112180rai,det,StafMa00,rush_td,0,,,,,
player,201112180rai,det,StafMa00,rush_long,5,,,,,
player,201112180rai,det,StafMa00,targets,0,,,,,
player,201112180rai,det,StafMa00,rec,0,,,,,
player,201112180rai,det,StafMa00,rec_yds,0,,,,,
player,201112180rai,det,StafMa00,rec_td,0,,,,,
player,201112180rai,det,StafMa00,rec_long,0,,,,,
player,201112180rai,det,StafMa00,fumbles,1,,,,,
player,201112180rai,det,StafMa00,fumbles_lost,1,,,,,
player,201112180rai,det,SmitKe02,pass_cmp,0,,,,,
player,201112180rai,det,SmitKe02,pass_att,0,,,,,
player,201112180rai,det,SmitKe02,pass_yds,0,,,,,
player,201112180rai,det,SmitKe02,pass_td,0,,,,,
player,201112180rai,det,SmitKe02,pass_int,0,,,,,
player,201112180rai,det,SmitKe02,pass_sacked,0,,,,,
player,201112180rai,det,SmitKe02,pass_sacked_yds,0,,,,,
player,201112180rai,det,SmitKe02,pass_long,0,,,,,
player,201112180rai,det,SmitKe02,pass_rating,,,,,,
player,201112180rai,det,SmitKe02,rush_att,15,,,,,
player,201112180rai,det,SmitKe02,rush_yds,43,,,,,
player,201112180rai,det,SmitKe02,rush_td,0,,,,,
player,201112180rai,det,SmitKe02,rush_long,14,,,,,
player,201112180rai,det,SmitKe02,targets,3,,,,,
player,201112180rai,det,SmitKe02,rec,1,,,,,
player,201112180rai,det,SmitKe02,rec_yds,3,,,,,
player,201112180rai,det,SmitKe02,rec_td,0,,,,,
player,201112180rai,det,SmitKe02,rec_long,3,,,,,
player,201112180rai,det,SmitKe02,fumbles,0,,,,,
player,201112180rai,det,SmitKe02,fumbles_lost,,,,,,
player,201112180rai,det,LogaSt00,pass_cmp,0,,,,,
player,201112180rai,det,LogaSt00,pass_att,0,,,,,
player,201112180rai,det,LogaSt00,pass_yds,0,,,,,
player,201112180rai,det,LogaSt00,pass_td,0,,,,,
player,201112180rai,det,LogaSt00,pass_int,0,,,,,
player,201112180rai,det,LogaSt00,pass_sacked,0,,,,,
player,201112180rai,det,LogaSt00,pass_sacked_yds,0,,,,,
player,201112180rai,det,LogaSt00,pass_long,0,,,,,
player,201112180rai,det,LogaSt00,pass_rating,,,,,,
player,201112180rai,det,LogaSt00,rush_att,1,,,,,
player,201112180rai,det,LogaSt00,rush_yds,5,,,,,
player,201112180rai,det,LogaSt00,rush_td,0,,,,,
player,201112180rai,det,LogaSt00,rush_long,5,,,,,
player,201112180rai,det,LogaSt00,targets,1,,,,,
player,201112180rai,det,LogaSt00,rec,1,,,,,
player,201112180rai,det,LogaSt00,rec_yds,19,,,,,
player,201112180rai,det,LogaSt00,rec_td,0,,,,,
player,201112180rai,det,LogaSt00,rec_long,19,,,,,
player,201112180rai,det,LogaSt00,fumbles,0,,,,,
player,201112180rai,det,LogaSt00,fumbles_lost,,,,,,
player,201112180rai,det,YounTi00,pass_cmp,0,,,,,
player,201112180rai,det,YounTi00,pass_att,0,,,,,
player,201112180rai,det,YounTi00,pass_yds,0,,,,,
player,201112180rai,det,YounTi00,pass_td,0,,,,,
player,201112180rai,det,YounTi00,pass_int,0,,,,,
player,201112180rai,det,YounTi00,pass_sacked,0,,,,,
player,201112180rai,det,YounTi00,pass_sacked_yds,0,,,,,
player,201112180rai,det,YounTi00,pass_long,0,,,,,
player,201112180rai,det,YounTi00,pass_rating,,,,,,
player,201112180rai,det,YounTi00,rush_att,1,,,,,
player,201112180rai,det,YounTi00,rush_yds,4,,,,,
player,201112180rai,det,YounTi00,rush_td,0,,,,,
player,201112180rai,det,YounTi00,rush_long,4,,,,,
player,201112180rai,det,YounTi00,targets,10,,,,,
player,201112180rai,det,YounTi00,rec,5,,,,,
player,201112180rai,det,YounTi00,rec_yds,21,,,,,
player,201112180rai,det,YounTi00,rec_td,1,,,,,
player,201112180rai,det,YounTi00,rec_long,13,,,,,
player,201112180rai,det,YounTi00,fumbles,0,,,,,
player,201112180rai,det,YounTi00,fumbles_lost,,,,,,
player,201112180rai,det,JohnCa00,pass_cmp,0,,,,,
player,201112180rai,det,JohnCa00,pass_att,0,,,,,
player,201112180rai,det,JohnCa00,pass_yds,0,,,,,
player,201112180rai,det,JohnCa00,pass_td,0,,,,,
player,201112180rai,det,JohnCa00,pass_int,0,,,,,
player,201112180rai,det,JohnCa00,pass_sacked,0,,,,,
player,201112180rai,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201112180rai,det,JohnCa00,pass_long,0,,,,,
player,201112180rai,det,JohnCa00,pass_rating,,,,,,
player,201112180rai,det,JohnCa00,rush_att,0,,,,,
player,201112180rai,det,JohnCa00,rush_yds,0,,,,,
player,201112180rai,det,JohnCa00,rush_td,0,,,,,
player,201112180rai,det,JohnCa00,rush_long,0,,,,,
player,201112180rai,det,JohnCa00,targets,14,,,,,
player,201112180rai,det,JohnCa00,rec,9,,,,,
player,201112180rai,det,JohnCa00,rec_yds,214,,,,,
player,201112180rai,det,JohnCa00,rec_td,2,,,,,
player,201112180rai,det,JohnCa00,rec_long,51,,,,,
player,201112180rai,det,JohnCa00,fumbles,0,,,,,
player,201112180rai,det,JohnCa00,fumbles_lost,,,,,,
player,201112180rai,det,BurlNa00,pass_cmp,0,,,,,
player,201112180rai,det,BurlNa00,pass_att,0,,,,,
player,201112180rai,det,BurlNa00,pass_yds,0,,,,,
player,201112180rai,det,BurlNa00,pass_td,0,,,,,
player,201112180rai,det,BurlNa00,pass_int,0,,,,,
player,201112180rai,det,BurlNa00,pass_sacked,0,,,,,
player,201112180rai,det,BurlNa00,pass_sacked_yds,0,,,,,
player,201112180rai,det,BurlNa00,pass_long,0,,,,,
player,201112180rai,det,BurlNa00,pass_rating,,,,,,
player,201112180rai,det,BurlNa00,rush_att,0,,,,,
