game,2011,16,20111224,201112240nwe,mia,"Miami Dolphins",24,nwe,"New England Patriots",27
team,201112240nwe,mia,First Downs,20,,,,,,
team,201112240nwe,nwe,First Downs,26,,,,,,
team,201112240nwe,mia,Rush-Yds-TDs,28-121-0,,,,,,
team,201112240nwe,nwe,Rush-Yds-TDs,31-119-2,,,,,,
team,201112240nwe,mia,Cmp-Att-Yd-TD-INT,16-32-281-3-1,,,,,,
team,201112240nwe,nwe,Cmp-Att-Yd-TD-INT,27-46-304-1-0,,,,,,
team,201112240nwe,mia,Sacked-Yards,5-28,,,,,,
team,201112240nwe,nwe,Sacked-Yards,4-23,,,,,,
team,201112240nwe,mia,Net Pass Yards,253,,,,,,
team,201112240nwe,nwe,Net Pass Yards,281,,,,,,
team,201112240nwe,mia,Total Yards,374,,,,,,
team,201112240nwe,nwe,Total Yards,400,,,,,,
team,201112240nwe,mia,Fumbles-Lost,4-1,,,,,,
team,201112240nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201112240nwe,mia,Turnovers,2,,,,,,
team,201112240nwe,nwe,Turnovers,0,,,,,,
team,201112240nwe,mia,Penalties-Yards,6-39,,,,,,
team,201112240nwe,nwe,Penalties-Yards,5-50,,,,,,
team,201112240nwe,mia,Third Down Conv.,5-13,,,,,,
team,201112240nwe,nwe,Third Down Conv.,8-17,,,,,,
team,201112240nwe,mia,Fourth Down Conv.,0-0,,,,,,
team,201112240nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201112240nwe,mia,Time of Possession,29:04,,,,,,
team,201112240nwe,nwe,Time of Possession,30:56,,,,,,
player,201112240nwe,mia,MoorMa01,pass_cmp,16,,,,,
player,201112240nwe,mia,MoorMa01,pass_att,32,,,,,
player,201112240nwe,mia,MoorMa01,pass_yds,281,,,,,
player,201112240nwe,mia,MoorMa01,pass_td,3,,,,,
player,201112240nwe,mia,MoorMa01,pass_int,1,,,,,
player,201112240nwe,mia,MoorMa01,pass_sacked,5,,,,,
player,201112240nwe,mia,MoorMa01,pass_sacked_yds,28,,,,,
player,201112240nwe,mia,MoorMa01,pass_long,47,,,,,
player,201112240nwe,mia,MoorMa01,pass_rating,98.6,,,,,
player,201112240nwe,mia,MoorMa01,rush_att,3,,,,,
player,201112240nwe,mia,MoorMa01,rush_yds,-8,,,,,
player,201112240nwe,mia,MoorMa01,rush_td,0,,,,,
player,201112240nwe,mia,MoorMa01,rush_long,0,,,,,
player,201112240nwe,mia,MoorMa01,targets,0,,,,,
player,201112240nwe,mia,MoorMa01,rec,0,,,,,
player,201112240nwe,mia,MoorMa01,rec_yds,0,,,,,
player,201112240nwe,mia,MoorMa01,rec_td,0,,,,,
player,201112240nwe,mia,MoorMa01,rec_long,0,,,,,
player,201112240nwe,mia,MoorMa01,fumbles,3,,,,,
player,201112240nwe,mia,MoorMa01,fumbles_lost,,,,,,
player,201112240nwe,mia,BushRe00,pass_cmp,0,,,,,
player,201112240nwe,mia,BushRe00,pass_att,0,,,,,
player,201112240nwe,mia,BushRe00,pass_yds,0,,,,,
player,201112240nwe,mia,BushRe00,pass_td,0,,,,,
player,201112240nwe,mia,BushRe00,pass_int,0,,,,,
player,201112240nwe,mia,BushRe00,pass_sacked,0,,,,,
player,201112240nwe,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,BushRe00,pass_long,0,,,,,
player,201112240nwe,mia,BushRe00,pass_rating,,,,,,
player,201112240nwe,mia,BushRe00,rush_att,22,,,,,
player,201112240nwe,mia,BushRe00,rush_yds,113,,,,,
player,201112240nwe,mia,BushRe00,rush_td,0,,,,,
player,201112240nwe,mia,BushRe00,rush_long,12,,,,,
player,201112240nwe,mia,BushRe00,targets,3,,,,,
player,201112240nwe,mia,BushRe00,rec,2,,,,,
player,201112240nwe,mia,BushRe00,rec_yds,26,,,,,
player,201112240nwe,mia,BushRe00,rec_td,0,,,,,
player,201112240nwe,mia,BushRe00,rec_long,14,,,,,
player,201112240nwe,mia,BushRe00,fumbles,0,,,,,
player,201112240nwe,mia,BushRe00,fumbles_lost,,,,,,
player,201112240nwe,mia,MarsBr00,pass_cmp,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_att,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_yds,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_td,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_int,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_sacked,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_long,0,,,,,
player,201112240nwe,mia,MarsBr00,pass_rating,,,,,,
player,201112240nwe,mia,MarsBr00,rush_att,1,,,,,
player,201112240nwe,mia,MarsBr00,rush_yds,13,,,,,
player,201112240nwe,mia,MarsBr00,rush_td,0,,,,,
player,201112240nwe,mia,MarsBr00,rush_long,13,,,,,
player,201112240nwe,mia,MarsBr00,targets,11,,,,,
player,201112240nwe,mia,MarsBr00,rec,6,,,,,
player,201112240nwe,mia,MarsBr00,rec_yds,143,,,,,
player,201112240nwe,mia,MarsBr00,rec_td,1,,,,,
player,201112240nwe,mia,MarsBr00,rec_long,47,,,,,
player,201112240nwe,mia,MarsBr00,fumbles,0,,,,,
player,201112240nwe,mia,MarsBr00,fumbles_lost,,,,,,
player,201112240nwe,mia,ThomDa03,pass_cmp,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_att,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_yds,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_td,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_int,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_sacked,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_long,0,,,,,
player,201112240nwe,mia,ThomDa03,pass_rating,,,,,,
player,201112240nwe,mia,ThomDa03,rush_att,2,,,,,
player,201112240nwe,mia,ThomDa03,rush_yds,3,,,,,
player,201112240nwe,mia,ThomDa03,rush_td,0,,,,,
player,201112240nwe,mia,ThomDa03,rush_long,2,,,,,
player,201112240nwe,mia,ThomDa03,targets,0,,,,,
player,201112240nwe,mia,ThomDa03,rec,0,,,,,
player,201112240nwe,mia,ThomDa03,rec_yds,0,,,,,
player,201112240nwe,mia,ThomDa03,rec_td,0,,,,,
player,201112240nwe,mia,ThomDa03,rec_long,0,,,,,
player,201112240nwe,mia,ThomDa03,fumbles,0,,,,,
player,201112240nwe,mia,ThomDa03,fumbles_lost,,,,,,
player,201112240nwe,mia,HartBr00,pass_cmp,0,,,,,
player,201112240nwe,mia,HartBr00,pass_att,0,,,,,
player,201112240nwe,mia,HartBr00,pass_yds,0,,,,,
player,201112240nwe,mia,HartBr00,pass_td,0,,,,,
player,201112240nwe,mia,HartBr00,pass_int,0,,,,,
player,201112240nwe,mia,HartBr00,pass_sacked,0,,,,,
player,201112240nwe,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,HartBr00,pass_long,0,,,,,
player,201112240nwe,mia,HartBr00,pass_rating,,,,,,
player,201112240nwe,mia,HartBr00,rush_att,0,,,,,
player,201112240nwe,mia,HartBr00,rush_yds,0,,,,,
player,201112240nwe,mia,HartBr00,rush_td,0,,,,,
player,201112240nwe,mia,HartBr00,rush_long,0,,,,,
player,201112240nwe,mia,HartBr00,targets,8,,,,,
player,201112240nwe,mia,HartBr00,rec,4,,,,,
player,201112240nwe,mia,HartBr00,rec_yds,72,,,,,
player,201112240nwe,mia,HartBr00,rec_td,0,,,,,
player,201112240nwe,mia,HartBr00,rec_long,39,,,,,
player,201112240nwe,mia,HartBr00,fumbles,0,,,,,
player,201112240nwe,mia,HartBr00,fumbles_lost,,,,,,
player,201112240nwe,mia,BessDa00,pass_cmp,0,,,,,
player,201112240nwe,mia,BessDa00,pass_att,0,,,,,
player,201112240nwe,mia,BessDa00,pass_yds,0,,,,,
player,201112240nwe,mia,BessDa00,pass_td,0,,,,,
player,201112240nwe,mia,BessDa00,pass_int,0,,,,,
player,201112240nwe,mia,BessDa00,pass_sacked,0,,,,,
player,201112240nwe,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,BessDa00,pass_long,0,,,,,
player,201112240nwe,mia,BessDa00,pass_rating,,,,,,
player,201112240nwe,mia,BessDa00,rush_att,0,,,,,
player,201112240nwe,mia,BessDa00,rush_yds,0,,,,,
player,201112240nwe,mia,BessDa00,rush_td,0,,,,,
player,201112240nwe,mia,BessDa00,rush_long,0,,,,,
player,201112240nwe,mia,BessDa00,targets,5,,,,,
player,201112240nwe,mia,BessDa00,rec,3,,,,,
player,201112240nwe,mia,BessDa00,rec_yds,39,,,,,
player,201112240nwe,mia,BessDa00,rec_td,1,,,,,
player,201112240nwe,mia,BessDa00,rec_long,15,,,,,
player,201112240nwe,mia,BessDa00,fumbles,1,,,,,
player,201112240nwe,mia,BessDa00,fumbles_lost,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_cmp,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_att,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_yds,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_td,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_int,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_sacked,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_long,0,,,,,
player,201112240nwe,mia,ClayCh00,pass_rating,,,,,,
player,201112240nwe,mia,ClayCh00,rush_att,0,,,,,
player,201112240nwe,mia,ClayCh00,rush_yds,0,,,,,
player,201112240nwe,mia,ClayCh00,rush_td,0,,,,,
player,201112240nwe,mia,ClayCh00,rush_long,0,,,,,
player,201112240nwe,mia,ClayCh00,targets,3,,,,,
player,201112240nwe,mia,ClayCh00,rec,1,,,,,
player,201112240nwe,mia,ClayCh00,rec_yds,1,,,,,
player,201112240nwe,mia,ClayCh00,rec_td,1,,,,,
player,201112240nwe,mia,ClayCh00,rec_long,1,,,,,
player,201112240nwe,mia,ClayCh00,fumbles,0,,,,,
player,201112240nwe,mia,ClayCh00,fumbles_lost,,,,,,
player,201112240nwe,mia,HillLe00,pass_cmp,0,,,,,
player,201112240nwe,mia,HillLe00,pass_att,0,,,,,
player,201112240nwe,mia,HillLe00,pass_yds,0,,,,,
player,201112240nwe,mia,HillLe00,pass_td,0,,,,,
player,201112240nwe,mia,HillLe00,pass_int,0,,,,,
player,201112240nwe,mia,HillLe00,pass_sacked,0,,,,,
player,201112240nwe,mia,HillLe00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,HillLe00,pass_long,0,,,,,
player,201112240nwe,mia,HillLe00,pass_rating,,,,,,
player,201112240nwe,mia,HillLe00,rush_att,0,,,,,
player,201112240nwe,mia,HillLe00,rush_yds,0,,,,,
player,201112240nwe,mia,HillLe00,rush_td,0,,,,,
player,201112240nwe,mia,HillLe00,rush_long,0,,,,,
player,201112240nwe,mia,HillLe00,targets,1,,,,,
player,201112240nwe,mia,HillLe00,rec,0,,,,,
player,201112240nwe,mia,HillLe00,rec_yds,0,,,,,
player,201112240nwe,mia,HillLe00,rec_td,0,,,,,
player,201112240nwe,mia,HillLe00,rec_long,0,,,,,
player,201112240nwe,mia,HillLe00,fumbles,0,,,,,
player,201112240nwe,mia,HillLe00,fumbles_lost,,,,,,
player,201112240nwe,mia,YeatWi00,pass_cmp,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_att,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_yds,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_td,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_int,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_sacked,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_sacked_yds,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_long,0,,,,,
player,201112240nwe,mia,YeatWi00,pass_rating,,,,,,
player,201112240nwe,mia,YeatWi00,rush_att,0,,,,,
player,201112240nwe,mia,YeatWi00,rush_yds,0,,,,,
player,201112240nwe,mia,YeatWi00,rush_td,0,,,,,
player,201112240nwe,mia,YeatWi00,rush_long,0,,,,,
player,201112240nwe,mia,YeatWi00,targets,1,,,,,
player,201112240nwe,mia,YeatWi00,rec,0,,,,,
player,201112240nwe,mia,YeatWi00,rec_yds,0,,,,,
player,201112240nwe,mia,YeatWi00,rec_td,0,,,,,
player,201112240nwe,mia,YeatWi00,rec_long,0,,,,,
player,201112240nwe,mia,YeatWi00,fumbles,0,,,,,
player,201112240nwe,mia,YeatWi00,fumbles_lost,,,,,,
player,201112240nwe,nwe,BradTo00,pass_cmp,27,,,,,
player,201112240nwe,nwe,BradTo00,pass_att,46,,,,,
player,201112240nwe,nwe,BradTo00,pass_yds,304,,,,,
player,201112240nwe,nwe,BradTo00,pass_td,1,,,,,
player,201112240nwe,nwe,BradTo00,pass_int,0,,,,,
player,201112240nwe,nwe,BradTo00,pass_sacked,4,,,,,
player,201112240nwe,nwe,BradTo00,pass_sacked_yds,23,,,,,
player,201112240nwe,nwe,BradTo00,pass_long,42,,,,,
player,201112240nwe,nwe,BradTo00,pass_rating,85.8,,,,,
player,201112240nwe,nwe,BradTo00,rush_att,9,,,,,
player,201112240nwe,nwe,BradTo00,rush_yds,17,,,,,
player,201112240nwe,nwe,BradTo00,rush_td,2,,,,,
player,201112240nwe,nwe,BradTo00,rush_long,5,,,,,
player,201112240nwe,nwe,BradTo00,targets,0,,,,,
player,201112240nwe,nwe,BradTo00,rec,0,,,,,
player,201112240nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201112240nwe,nwe,BradTo00,rec_td,0,,,,,
player,201112240nwe,nwe,BradTo00,rec_long,0,,,,,
player,201112240nwe,nwe,BradTo00,fumbles,0,,,,,
player,201112240nwe,nwe,BradTo00,fumbles_lost,,,,,,
player,201112240nwe,nwe,RidlSt00,pass_cmp,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_att,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_yds,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_td,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_int,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_sacked,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_long,0,,,,,
player,201112240nwe,nwe,RidlSt00,pass_rating,,,,,,
