game,2011,12,20111127,201111270oti,tam,"Tampa Bay Buccaneers",17,oti,"Tennessee Titans",23
team,201111270oti,tam,First Downs,15,,,,,,
team,201111270oti,oti,First Downs,18,,,,,,
team,201111270oti,tam,Rush-Yds-TDs,25-122-0,,,,,,
team,201111270oti,oti,Rush-Yds-TDs,35-202-0,,,,,,
team,201111270oti,tam,Cmp-Att-Yd-TD-INT,18-33-199-1-1,,,,,,
team,201111270oti,oti,Cmp-Att-Yd-TD-INT,19-34-160-1-2,,,,,,
team,201111270oti,tam,Sacked-Yards,2-13,,,,,,
team,201111270oti,oti,Sacked-Yards,2-10,,,,,,
team,201111270oti,tam,Net Pass Yards,186,,,,,,
team,201111270oti,oti,Net Pass Yards,150,,,,,,
team,201111270oti,tam,Total Yards,308,,,,,,
team,201111270oti,oti,Total Yards,352,,,,,,
team,201111270oti,tam,Fumbles-Lost,5-4,,,,,,
team,201111270oti,oti,Fumbles-Lost,3-2,,,,,,
team,201111270oti,tam,Turnovers,5,,,,,,
team,201111270oti,oti,Turnovers,4,,,,,,
team,201111270oti,tam,Penalties-Yards,4-30,,,,,,
team,201111270oti,oti,Penalties-Yards,5-50,,,,,,
team,201111270oti,tam,Third Down Conv.,2-10,,,,,,
team,201111270oti,oti,Third Down Conv.,7-17,,,,,,
team,201111270oti,tam,Fourth Down Conv.,0-1,,,,,,
team,201111270oti,oti,Fourth Down Conv.,1-2,,,,,,
team,201111270oti,tam,Time of Possession,26:37,,,,,,
team,201111270oti,oti,Time of Possession,33:23,,,,,,
player,201111270oti,tam,FreeJo00,pass_cmp,18,,,,,
player,201111270oti,tam,FreeJo00,pass_att,33,,,,,
player,201111270oti,tam,FreeJo00,pass_yds,199,,,,,
player,201111270oti,tam,FreeJo00,pass_td,1,,,,,
player,201111270oti,tam,FreeJo00,pass_int,1,,,,,
player,201111270oti,tam,FreeJo00,pass_sacked,2,,,,,
player,201111270oti,tam,FreeJo00,pass_sacked_yds,13,,,,,
player,201111270oti,tam,FreeJo00,pass_long,35,,,,,
player,201111270oti,tam,FreeJo00,pass_rating,70.1,,,,,
player,201111270oti,tam,FreeJo00,rush_att,3,,,,,
player,201111270oti,tam,FreeJo00,rush_yds,10,,,,,
player,201111270oti,tam,FreeJo00,rush_td,0,,,,,
player,201111270oti,tam,FreeJo00,rush_long,6,,,,,
player,201111270oti,tam,FreeJo00,targets,0,,,,,
player,201111270oti,tam,FreeJo00,rec,0,,,,,
player,201111270oti,tam,FreeJo00,rec_yds,0,,,,,
player,201111270oti,tam,FreeJo00,rec_td,0,,,,,
player,201111270oti,tam,FreeJo00,rec_long,0,,,,,
player,201111270oti,tam,FreeJo00,fumbles,2,,,,,
player,201111270oti,tam,FreeJo00,fumbles_lost,1,,,,,
player,201111270oti,tam,BlouLe00,pass_cmp,0,,,,,
player,201111270oti,tam,BlouLe00,pass_att,0,,,,,
player,201111270oti,tam,BlouLe00,pass_yds,0,,,,,
player,201111270oti,tam,BlouLe00,pass_td,0,,,,,
player,201111270oti,tam,BlouLe00,pass_int,0,,,,,
player,201111270oti,tam,BlouLe00,pass_sacked,0,,,,,
player,201111270oti,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201111270oti,tam,BlouLe00,pass_long,0,,,,,
player,201111270oti,tam,BlouLe00,pass_rating,,,,,,
player,201111270oti,tam,BlouLe00,rush_att,20,,,,,
player,201111270oti,tam,BlouLe00,rush_yds,103,,,,,
player,201111270oti,tam,BlouLe00,rush_td,0,,,,,
