game,2011,16,20111224,201112240det,sdg,"San Diego Chargers",10,det,"Detroit Lions",38
team,201112240det,sdg,First Downs,20,,,,,,
team,201112240det,det,First Downs,24,,,,,,
team,201112240det,sdg,Rush-Yds-TDs,17-68-0,,,,,,
team,201112240det,det,Rush-Yds-TDs,23-87-1,,,,,,
team,201112240det,sdg,Cmp-Att-Yd-TD-INT,28-53-299-1-2,,,,,,
team,201112240det,det,Cmp-Att-Yd-TD-INT,29-36-373-3-0,,,,,,
team,201112240det,sdg,Sacked-Yards,0-0,,,,,,
team,201112240det,det,Sacked-Yards,3-20,,,,,,
team,201112240det,sdg,Net Pass Yards,299,,,,,,
team,201112240det,det,Net Pass Yards,353,,,,,,
team,201112240det,sdg,Total Yards,367,,,,,,
team,201112240det,det,Total Yards,440,,,,,,
team,201112240det,sdg,Fumbles-Lost,0-0,,,,,,
team,201112240det,det,Fumbles-Lost,1-0,,,,,,
team,201112240det,sdg,Turnovers,2,,,,,,
team,201112240det,det,Turnovers,0,,,,,,
team,201112240det,sdg,Penalties-Yards,1-10,,,,,,
team,201112240det,det,Penalties-Yards,3-8,,,,,,
team,201112240det,sdg,Third Down Conv.,6-15,,,,,,
team,201112240det,det,Third Down Conv.,9-13,,,,,,
team,201112240det,sdg,Fourth Down Conv.,2-3,,,,,,
team,201112240det,det,Fourth Down Conv.,0-0,,,,,,
team,201112240det,sdg,Time of Possession,27:39,,,,,,
team,201112240det,det,Time of Possession,32:21,,,,,,
player,201112240det,sdg,RivePh00,pass_cmp,28,,,,,
player,201112240det,sdg,RivePh00,pass_att,53,,,,,
player,201112240det,sdg,RivePh00,pass_yds,299,,,,,
player,201112240det,sdg,RivePh00,pass_td,1,,,,,
player,201112240det,sdg,RivePh00,pass_int,2,,,,,
player,201112240det,sdg,RivePh00,pass_sacked,0,,,,,
player,201112240det,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201112240det,sdg,RivePh00,pass_long,30,,,,,
player,201112240det,sdg,RivePh00,pass_rating,60.2,,,,,
player,201112240det,sdg,RivePh00,rush_att,0,,,,,
player,201112240det,sdg,RivePh00,rush_yds,0,,,,,
player,201112240det,sdg,RivePh00,rush_td,0,,,,,
player,201112240det,sdg,RivePh00,rush_long,0,,,,,
player,201112240det,sdg,RivePh00,targets,0,,,,,
player,201112240det,sdg,RivePh00,rec,0,,,,,
player,201112240det,sdg,RivePh00,rec_yds,0,,,,,
player,201112240det,sdg,RivePh00,rec_td,0,,,,,
player,201112240det,sdg,RivePh00,rec_long,0,,,,,
player,201112240det,sdg,RivePh00,fumbles,0,,,,,
