game,2011,14,20111211,201112110dal,nyg,"New York Giants",37,dal,"Dallas Cowboys",34
team,201112110dal,nyg,First Downs,28,,,,,,
team,201112110dal,dal,First Downs,23,,,,,,
team,201112110dal,nyg,Rush-Yds-TDs,31-110-2,,,,,,
team,201112110dal,dal,Rush-Yds-TDs,24-139-0,,,,,,
team,201112110dal,nyg,Cmp-Att-Yd-TD-INT,27-47-400-2-1,,,,,,
team,201112110dal,dal,Cmp-Att-Yd-TD-INT,21-31-321-4-0,,,,,,
team,201112110dal,nyg,Sacked-Yards,0-0,,,,,,
team,201112110dal,dal,Sacked-Yards,3-16,,,,,,
team,201112110dal,nyg,Net Pass Yards,400,,,,,,
team,201112110dal,dal,Net Pass Yards,305,,,,,,
team,201112110dal,nyg,Total Yards,510,,,,,,
team,201112110dal,dal,Total Yards,444,,,,,,
team,201112110dal,nyg,Fumbles-Lost,0-0,,,,,,
team,201112110dal,dal,Fumbles-Lost,1-1,,,,,,
team,201112110dal,nyg,Turnovers,1,,,,,,
team,201112110dal,dal,Turnovers,1,,,,,,
team,201112110dal,nyg,Penalties-Yards,6-55,,,,,,
team,201112110dal,dal,Penalties-Yards,10-51,,,,,,
team,201112110dal,nyg,Third Down Conv.,6-14,,,,,,
team,201112110dal,dal,Third Down Conv.,5-10,,,,,,
team,201112110dal,nyg,Fourth Down Conv.,1-1,,,,,,
team,201112110dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201112110dal,nyg,Time of Possession,34:19,,,,,,
team,201112110dal,dal,Time of Possession,25:41,,,,,,
player,201112110dal,nyg,MannEl00,pass_cmp,27,,,,,
player,201112110dal,nyg,MannEl00,pass_att,47,,,,,
player,201112110dal,nyg,MannEl00,pass_yds,400,,,,,
player,201112110dal,nyg,MannEl00,pass_td,2,,,,,
player,201112110dal,nyg,MannEl00,pass_int,1,,,,,
player,201112110dal,nyg,MannEl00,pass_sacked,0,,,,,
player,201112110dal,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201112110dal,nyg,MannEl00,pass_long,64,,,,,
