game,2011,11,20111120,201111200rav,cin,"Cincinnati Bengals",24,rav,"Baltimore Ravens",31
team,201111200rav,cin,First Downs,23,,,,,,
team,201111200rav,rav,First Downs,13,,,,,,
team,201111200rav,cin,Rush-Yds-TDs,30-119-2,,,,,,
team,201111200rav,rav,Rush-Yds-TDs,28-105-2,,,,,,
team,201111200rav,cin,Cmp-Att-Yd-TD-INT,24-46-373-1-3,,,,,,
team,201111200rav,rav,Cmp-Att-Yd-TD-INT,17-27-270-2-1,,,,,,
team,201111200rav,cin,Sacked-Yards,2-9,,,,,,
team,201111200rav,rav,Sacked-Yards,1-2,,,,,,
team,201111200rav,cin,Net Pass Yards,364,,,,,,
team,201111200rav,rav,Net Pass Yards,268,,,,,,
team,201111200rav,cin,Total Yards,483,,,,,,
team,201111200rav,rav,Total Yards,373,,,,,,
team,201111200rav,cin,Fumbles-Lost,1-0,,,,,,
team,201111200rav,rav,Fumbles-Lost,3-0,,,,,,
team,201111200rav,cin,Turnovers,3,,,,,,
team,201111200rav,rav,Turnovers,1,,,,,,
team,201111200rav,cin,Penalties-Yards,6-43,,,,,,
team,201111200rav,rav,Penalties-Yards,6-69,,,,,,
team,201111200rav,cin,Third Down Conv.,5-15,,,,,,
team,201111200rav,rav,Third Down Conv.,5-14,,,,,,
team,201111200rav,cin,Fourth Down Conv.,0-1,,,,,,
team,201111200rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201111200rav,cin,Time of Possession,32:53,,,,,,
team,201111200rav,rav,Time of Possession,27:07,,,,,,
player,201111200rav,cin,DaltAn00,pass_cmp,24,,,,,
player,201111200rav,cin,DaltAn00,pass_att,45,,,,,
player,201111200rav,cin,DaltAn00,pass_yds,373,,,,,
player,201111200rav,cin,DaltAn00,pass_td,1,,,,,
player,201111200rav,cin,DaltAn00,pass_int,3,,,,,
player,201111200rav,cin,DaltAn00,pass_sacked,2,,,,,
player,201111200rav,cin,DaltAn00,pass_sacked_yds,9,,,,,
player,201111200rav,cin,DaltAn00,pass_long,49,,,,,
player,201111200rav,cin,DaltAn00,pass_rating,60.7,,,,,
player,201111200rav,cin,DaltAn00,rush_att,4,,,,,
player,201111200rav,cin,DaltAn00,rush_yds,32,,,,,
player,201111200rav,cin,DaltAn00,rush_td,0,,,,,
player,201111200rav,cin,DaltAn00,rush_long,11,,,,,
player,201111200rav,cin,DaltAn00,targets,1,,,,,
player,201111200rav,cin,DaltAn00,rec,0,,,,,
player,201111200rav,cin,DaltAn00,rec_yds,0,,,,,
player,201111200rav,cin,DaltAn00,rec_td,0,,,,,
player,201111200rav,cin,DaltAn00,rec_long,0,,,,,
player,201111200rav,cin,DaltAn00,fumbles,1,,,,,
player,201111200rav,cin,DaltAn00,fumbles_lost,0,,,,,
player,201111200rav,cin,ScotBe00,pass_cmp,0,,,,,
player,201111200rav,cin,ScotBe00,pass_att,1,,,,,
player,201111200rav,cin,ScotBe00,pass_yds,0,,,,,
player,201111200rav,cin,ScotBe00,pass_td,0,,,,,
player,201111200rav,cin,ScotBe00,pass_int,0,,,,,
player,201111200rav,cin,ScotBe00,pass_sacked,0,,,,,
player,201111200rav,cin,ScotBe00,pass_sacked_yds,0,,,,,
player,201111200rav,cin,ScotBe00,pass_long,0,,,,,
player,201111200rav,cin,ScotBe00,pass_rating,39.6,,,,,
