game,2011,16,20111222,201112220clt,htx,"Houston Texans",16,clt,"Indianapolis Colts",19
team,201112220clt,htx,First Downs,14,,,,,,
team,201112220clt,clt,First Downs,24,,,,,,
team,201112220clt,htx,Rush-Yds-TDs,31-171-1,,,,,,
team,201112220clt,clt,Rush-Yds-TDs,32-95-0,,,,,,
team,201112220clt,htx,Cmp-Att-Yd-TD-INT,13-16-132-0-0,,,,,,
team,201112220clt,clt,Cmp-Att-Yd-TD-INT,23-41-244-1-0,,,,,,
team,201112220clt,htx,Sacked-Yards,4-20,,,,,,
team,201112220clt,clt,Sacked-Yards,3-19,,,,,,
team,201112220clt,htx,Net Pass Yards,112,,,,,,
team,201112220clt,clt,Net Pass Yards,225,,,,,,
team,201112220clt,htx,Total Yards,283,,,,,,
team,201112220clt,clt,Total Yards,320,,,,,,
team,201112220clt,htx,Fumbles-Lost,2-1,,,,,,
team,201112220clt,clt,Fumbles-Lost,2-1,,,,,,
team,201112220clt,htx,Turnovers,1,,,,,,
team,201112220clt,clt,Turnovers,1,,,,,,
team,201112220clt,htx,Penalties-Yards,11-84,,,,,,
team,201112220clt,clt,Penalties-Yards,4-35,,,,,,
team,201112220clt,htx,Third Down Conv.,1-10,,,,,,
team,201112220clt,clt,Third Down Conv.,7-17,,,,,,
team,201112220clt,htx,Fourth Down Conv.,0-0,,,,,,
team,201112220clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201112220clt,htx,Time of Possession,27:05,,,,,,
team,201112220clt,clt,Time of Possession,32:55,,,,,,
player,201112220clt,htx,YateT.00,pass_cmp,13,,,,,
player,201112220clt,htx,YateT.00,pass_att,16,,,,,
player,201112220clt,htx,YateT.00,pass_yds,132,,,,,
player,201112220clt,htx,YateT.00,pass_td,0,,,,,
player,201112220clt,htx,YateT.00,pass_int,0,,,,,
player,201112220clt,htx,YateT.00,pass_sacked,4,,,,,
player,201112220clt,htx,YateT.00,pass_sacked_yds,20,,,,,
player,201112220clt,htx,YateT.00,pass_long,29,,,,,
player,201112220clt,htx,YateT.00,pass_rating,101.0,,,,,
player,201112220clt,htx,YateT.00,rush_att,1,,,,,
player,201112220clt,htx,YateT.00,rush_yds,-1,,,,,
player,201112220clt,htx,YateT.00,rush_td,0,,,,,
player,201112220clt,htx,YateT.00,rush_long,-1,,,,,
player,201112220clt,htx,YateT.00,targets,0,,,,,
player,201112220clt,htx,YateT.00,rec,0,,,,,
player,201112220clt,htx,YateT.00,rec_yds,0,,,,,
player,201112220clt,htx,YateT.00,rec_td,0,,,,,
player,201112220clt,htx,YateT.00,rec_long,0,,,,,
player,201112220clt,htx,YateT.00,fumbles,1,,,,,
player,201112220clt,htx,YateT.00,fumbles_lost,1,,,,,
player,201112220clt,htx,FostAr00,pass_cmp,0,,,,,
player,201112220clt,htx,FostAr00,pass_att,0,,,,,
player,201112220clt,htx,FostAr00,pass_yds,0,,,,,
player,201112220clt,htx,FostAr00,pass_td,0,,,,,
player,201112220clt,htx,FostAr00,pass_int,0,,,,,
player,201112220clt,htx,FostAr00,pass_sacked,0,,,,,
player,201112220clt,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201112220clt,htx,FostAr00,pass_long,0,,,,,
player,201112220clt,htx,FostAr00,pass_rating,,,,,,
player,201112220clt,htx,FostAr00,rush_att,23,,,,,
player,201112220clt,htx,FostAr00,rush_yds,158,,,,,
player,201112220clt,htx,FostAr00,rush_td,1,,,,,
player,201112220clt,htx,FostAr00,rush_long,30,,,,,
player,201112220clt,htx,FostAr00,targets,3,,,,,
player,201112220clt,htx,FostAr00,rec,3,,,,,
player,201112220clt,htx,FostAr00,rec_yds,16,,,,,
player,201112220clt,htx,FostAr00,rec_td,0,,,,,
player,201112220clt,htx,FostAr00,rec_long,9,,,,,
player,201112220clt,htx,FostAr00,fumbles,1,,,,,
player,201112220clt,htx,FostAr00,fumbles_lost,0,,,,,
player,201112220clt,htx,JoneJa03,pass_cmp,0,,,,,
player,201112220clt,htx,JoneJa03,pass_att,0,,,,,
player,201112220clt,htx,JoneJa03,pass_yds,0,,,,,
player,201112220clt,htx,JoneJa03,pass_td,0,,,,,
player,201112220clt,htx,JoneJa03,pass_int,0,,,,,
player,201112220clt,htx,JoneJa03,pass_sacked,0,,,,,
player,201112220clt,htx,JoneJa03,pass_sacked_yds,0,,,,,
player,201112220clt,htx,JoneJa03,pass_long,0,,,,,
player,201112220clt,htx,JoneJa03,pass_rating,,,,,,
player,201112220clt,htx,JoneJa03,rush_att,1,,,,,
player,201112220clt,htx,JoneJa03,rush_yds,15,,,,,
player,201112220clt,htx,JoneJa03,rush_td,0,,,,,
player,201112220clt,htx,JoneJa03,rush_long,15,,,,,
player,201112220clt,htx,JoneJa03,targets,2,,,,,
player,201112220clt,htx,JoneJa03,rec,2,,,,,
player,201112220clt,htx,JoneJa03,rec_yds,27,,,,,
player,201112220clt,htx,JoneJa03,rec_td,0,,,,,
player,201112220clt,htx,JoneJa03,rec_long,17,,,,,
player,201112220clt,htx,JoneJa03,fumbles,0,,,,,
player,201112220clt,htx,JoneJa03,fumbles_lost,,,,,,
player,201112220clt,htx,WaltKe00,pass_cmp,0,,,,,
player,201112220clt,htx,WaltKe00,pass_att,0,,,,,
player,201112220clt,htx,WaltKe00,pass_yds,0,,,,,
player,201112220clt,htx,WaltKe00,pass_td,0,,,,,
player,201112220clt,htx,WaltKe00,pass_int,0,,,,,
player,201112220clt,htx,WaltKe00,pass_sacked,0,,,,,
player,201112220clt,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201112220clt,htx,WaltKe00,pass_long,0,,,,,
player,201112220clt,htx,WaltKe00,pass_rating,,,,,,
player,201112220clt,htx,WaltKe00,rush_att,0,,,,,
player,201112220clt,htx,WaltKe00,rush_yds,0,,,,,
player,201112220clt,htx,WaltKe00,rush_td,0,,,,,
player,201112220clt,htx,WaltKe00,rush_long,0,,,,,
player,201112220clt,htx,WaltKe00,targets,3,,,,,
player,201112220clt,htx,WaltKe00,rec,3,,,,,
player,201112220clt,htx,WaltKe00,rec_yds,47,,,,,
player,201112220clt,htx,WaltKe00,rec_td,0,,,,,
player,201112220clt,htx,WaltKe00,rec_long,29,,,,,
player,201112220clt,htx,WaltKe00,fumbles,0,,,,,
player,201112220clt,htx,WaltKe00,fumbles_lost,,,,,,
player,201112220clt,htx,DreeJo00,pass_cmp,0,,,,,
player,201112220clt,htx,DreeJo00,pass_att,0,,,,,
player,201112220clt,htx,DreeJo00,pass_yds,0,,,,,
player,201112220clt,htx,DreeJo00,pass_td,0,,,,,
player,201112220clt,htx,DreeJo00,pass_int,0,,,,,
player,201112220clt,htx,DreeJo00,pass_sacked,0,,,,,
player,201112220clt,htx,DreeJo00,pass_sacked_yds,0,,,,,
player,201112220clt,htx,DreeJo00,pass_long,0,,,,,
player,201112220clt,htx,DreeJo00,pass_rating,,,,,,
player,201112220clt,htx,DreeJo00,rush_att,0,,,,,
player,201112220clt,htx,DreeJo00,rush_yds,0,,,,,
player,201112220clt,htx,DreeJo00,rush_td,0,,,,,
player,201112220clt,htx,DreeJo00,rush_long,0,,,,,
player,201112220clt,htx,DreeJo00,targets,4,,,,,
player,201112220clt,htx,DreeJo00,rec,4,,,,,
player,201112220clt,htx,DreeJo00,rec_yds,38,,,,,
player,201112220clt,htx,DreeJo00,rec_td,0,,,,,
player,201112220clt,htx,DreeJo00,rec_long,16,,,,,
player,201112220clt,htx,DreeJo00,fumbles,0,,,,,
player,201112220clt,htx,DreeJo00,fumbles_lost,,,,,,
player,201112220clt,htx,DaniOw00,pass_cmp,0,,,,,
player,201112220clt,htx,DaniOw00,pass_att,0,,,,,
player,201112220clt,htx,DaniOw00,pass_yds,0,,,,,
player,201112220clt,htx,DaniOw00,pass_td,0,,,,,
player,201112220clt,htx,DaniOw00,pass_int,0,,,,,
player,201112220clt,htx,DaniOw00,pass_sacked,0,,,,,
player,201112220clt,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201112220clt,htx,DaniOw00,pass_long,0,,,,,
player,201112220clt,htx,DaniOw00,pass_rating,,,,,,
player,201112220clt,htx,DaniOw00,rush_att,0,,,,,
player,201112220clt,htx,DaniOw00,rush_yds,0,,,,,
player,201112220clt,htx,DaniOw00,rush_td,0,,,,,
player,201112220clt,htx,DaniOw00,rush_long,0,,,,,
player,201112220clt,htx,DaniOw00,targets,2,,,,,
player,201112220clt,htx,DaniOw00,rec,1,,,,,
player,201112220clt,htx,DaniOw00,rec_yds,4,,,,,
player,201112220clt,htx,DaniOw00,rec_td,0,,,,,
player,201112220clt,htx,DaniOw00,rec_long,4,,,,,
player,201112220clt,htx,DaniOw00,fumbles,0,,,,,
player,201112220clt,htx,DaniOw00,fumbles_lost,,,,,,
player,201112220clt,htx,CaseJa00,pass_cmp,0,,,,,
player,201112220clt,htx,CaseJa00,pass_att,0,,,,,
player,201112220clt,htx,CaseJa00,pass_yds,0,,,,,
player,201112220clt,htx,CaseJa00,pass_td,0,,,,,
player,201112220clt,htx,CaseJa00,pass_int,0,,,,,
player,201112220clt,htx,CaseJa00,pass_sacked,0,,,,,
player,201112220clt,htx,CaseJa00,pass_sacked_yds,0,,,,,
player,201112220clt,htx,CaseJa00,pass_long,0,,,,,
