game,2011,8,20111030,201110300den,det,"Detroit Lions",45,den,"Denver Broncos",10
player,201110300den,det,JohnCa00,fumbles_lost,,,,,,
player,201110300den,det,YounTi00,pass_cmp,0,,,,,
player,201110300den,det,YounTi00,pass_att,0,,,,,
player,201110300den,det,YounTi00,pass_yds,0,,,,,
player,201110300den,det,YounTi00,pass_td,0,,,,,
player,201110300den,det,YounTi00,pass_int,0,,,,,
player,201110300den,det,YounTi00,pass_sacked,0,,,,,
player,201110300den,det,YounTi00,pass_sacked_yds,0,,,,,
player,201110300den,det,YounTi00,pass_long,0,,,,,
player,201110300den,det,YounTi00,pass_rating,,,,,,
player,201110300den,det,YounTi00,rush_att,0,,,,,
player,201110300den,det,YounTi00,rush_yds,0,,,,,
player,201110300den,det,YounTi00,rush_td,0,,,,,
player,201110300den,det,YounTi00,rush_long,0,,,,,
player,201110300den,det,YounTi00,targets,5,,,,,
player,201110300den,det,YounTi00,rec,4,,,,,
player,201110300den,det,YounTi00,rec_yds,66,,,,,
player,201110300den,det,YounTi00,rec_td,1,,,,,
player,201110300den,det,YounTi00,rec_long,41,,,,,
player,201110300den,det,YounTi00,fumbles,0,,,,,
player,201110300den,det,YounTi00,fumbles_lost,,,,,,
player,201110300den,det,ScheTo00,pass_cmp,0,,,,,
player,201110300den,det,ScheTo00,pass_att,0,,,,,
player,201110300den,det,ScheTo00,pass_yds,0,,,,,
player,201110300den,det,ScheTo00,pass_td,0,,,,,
player,201110300den,det,ScheTo00,pass_int,0,,,,,
player,201110300den,det,ScheTo00,pass_sacked,0,,,,,
player,201110300den,det,ScheTo00,pass_sacked_yds,0,,,,,
player,201110300den,det,ScheTo00,pass_long,0,,,,,
player,201110300den,det,ScheTo00,pass_rating,,,,,,
player,201110300den,det,ScheTo00,rush_att,0,,,,,
player,201110300den,det,ScheTo00,rush_yds,0,,,,,
player,201110300den,det,ScheTo00,rush_td,0,,,,,
player,201110300den,det,ScheTo00,rush_long,0,,,,,
player,201110300den,det,ScheTo00,targets,3,,,,,
player,201110300den,det,ScheTo00,rec,3,,,,,
player,201110300den,det,ScheTo00,rec_yds,38,,,,,
player,201110300den,det,ScheTo00,rec_td,1,,,,,
player,201110300den,det,ScheTo00,rec_long,28,,,,,
player,201110300den,det,ScheTo00,fumbles,0,,,,,
player,201110300den,det,ScheTo00,fumbles_lost,,,,,,
player,201110300den,det,PettBr00,pass_cmp,0,,,,,
player,201110300den,det,PettBr00,pass_att,0,,,,,
player,201110300den,det,PettBr00,pass_yds,0,,,,,
player,201110300den,det,PettBr00,pass_td,0,,,,,
player,201110300den,det,PettBr00,pass_int,0,,,,,
player,201110300den,det,PettBr00,pass_sacked,0,,,,,
player,201110300den,det,PettBr00,pass_sacked_yds,0,,,,,
player,201110300den,det,PettBr00,pass_long,0,,,,,
player,201110300den,det,PettBr00,pass_rating,,,,,,
player,201110300den,det,PettBr00,rush_att,0,,,,,
player,201110300den,det,PettBr00,rush_yds,0,,,,,
player,201110300den,det,PettBr00,rush_td,0,,,,,
player,201110300den,det,PettBr00,rush_long,0,,,,,
player,201110300den,det,PettBr00,targets,4,,,,,
player,201110300den,det,PettBr00,rec,3,,,,,
player,201110300den,det,PettBr00,rec_yds,8,,,,,
player,201110300den,det,PettBr00,rec_td,0,,,,,
player,201110300den,det,PettBr00,rec_long,7,,,,,
player,201110300den,det,PettBr00,fumbles,0,,,,,
player,201110300den,det,PettBr00,fumbles_lost,,,,,,
player,201110300den,det,StovMa00,pass_cmp,0,,,,,
player,201110300den,det,StovMa00,pass_att,0,,,,,
player,201110300den,det,StovMa00,pass_yds,0,,,,,
player,201110300den,det,StovMa00,pass_td,0,,,,,
player,201110300den,det,StovMa00,pass_int,0,,,,,
player,201110300den,det,StovMa00,pass_sacked,0,,,,,
player,201110300den,det,StovMa00,pass_sacked_yds,0,,,,,
player,201110300den,det,StovMa00,pass_long,0,,,,,
player,201110300den,det,StovMa00,pass_rating,,,,,,
player,201110300den,det,StovMa00,rush_att,0,,,,,
player,201110300den,det,StovMa00,rush_yds,0,,,,,
player,201110300den,det,StovMa00,rush_td,0,,,,,
player,201110300den,det,StovMa00,rush_long,0,,,,,
player,201110300den,det,StovMa00,targets,1,,,,,
player,201110300den,det,StovMa00,rec,0,,,,,
player,201110300den,det,StovMa00,rec_yds,0,,,,,
player,201110300den,det,StovMa00,rec_td,0,,,,,
player,201110300den,det,StovMa00,rec_long,0,,,,,
player,201110300den,det,StovMa00,fumbles,0,,,,,
player,201110300den,det,StovMa00,fumbles_lost,,,,,,
player,201110300den,det,HellWi00,pass_cmp,,,,,,
player,201110300den,det,HellWi00,pass_att,,,,,,
player,201110300den,det,HellWi00,pass_yds,,,,,,
player,201110300den,det,HellWi00,pass_td,,,,,,
player,201110300den,det,HellWi00,pass_int,,,,,,
player,201110300den,det,HellWi00,pass_sacked,,,,,,
player,201110300den,det,HellWi00,pass_sacked_yds,,,,,,
player,201110300den,det,HellWi00,pass_long,,,,,,
player,201110300den,det,HellWi00,pass_rating,,,,,,
player,201110300den,det,HellWi00,rush_att,,,,,,
player,201110300den,det,HellWi00,rush_yds,,,,,,
player,201110300den,det,HellWi00,rush_td,,,,,,
player,201110300den,det,HellWi00,rush_long,,,,,,
player,201110300den,det,HellWi00,targets,1,,,,,
player,201110300den,det,HellWi00,rec,0,,,,,
player,201110300den,det,HellWi00,rec_yds,0,,,,,
player,201110300den,det,HellWi00,rec_td,0,,,,,
player,201110300den,det,HellWi00,rec_long,,,,,,
player,201110300den,det,HellWi00,fumbles,,,,,,
player,201110300den,det,HellWi00,fumbles_lost,,,,,,
player,201110300den,den,TeboTi00,pass_cmp,18,,,,,
player,201110300den,den,TeboTi00,pass_att,39,,,,,
player,201110300den,den,TeboTi00,pass_yds,172,,,,,
player,201110300den,den,TeboTi00,pass_td,1,,,,,
player,201110300den,den,TeboTi00,pass_int,1,,,,,
player,201110300den,den,TeboTi00,pass_sacked,7,,,,,
player,201110300den,den,TeboTi00,pass_sacked_yds,55,,,,,
player,201110300den,den,TeboTi00,pass_long,28,,,,,
player,201110300den,den,TeboTi00,pass_rating,56.8,,,,,
player,201110300den,den,TeboTi00,rush_att,10,,,,,
player,201110300den,den,TeboTi00,rush_yds,63,,,,,
player,201110300den,den,TeboTi00,rush_td,0,,,,,
player,201110300den,den,TeboTi00,rush_long,18,,,,,
player,201110300den,den,TeboTi00,targets,0,,,,,
player,201110300den,den,TeboTi00,rec,0,,,,,
player,201110300den,den,TeboTi00,rec_yds,0,,,,,
player,201110300den,den,TeboTi00,rec_td,0,,,,,
player,201110300den,den,TeboTi00,rec_long,0,,,,,
player,201110300den,den,TeboTi00,fumbles,3,,,,,
player,201110300den,den,TeboTi00,fumbles_lost,1,,,,,
player,201110300den,den,MoreKn00,pass_cmp,0,,,,,
player,201110300den,den,MoreKn00,pass_att,0,,,,,
player,201110300den,den,MoreKn00,pass_yds,0,,,,,
player,201110300den,den,MoreKn00,pass_td,0,,,,,
player,201110300den,den,MoreKn00,pass_int,0,,,,,
player,201110300den,den,MoreKn00,pass_sacked,0,,,,,
player,201110300den,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201110300den,den,MoreKn00,pass_long,0,,,,,
player,201110300den,den,MoreKn00,pass_rating,,,,,,
player,201110300den,den,MoreKn00,rush_att,14,,,,,
player,201110300den,den,MoreKn00,rush_yds,69,,,,,
player,201110300den,den,MoreKn00,rush_td,0,,,,,
player,201110300den,den,MoreKn00,rush_long,12,,,,,
player,201110300den,den,MoreKn00,targets,2,,,,,
player,201110300den,den,MoreKn00,rec,1,,,,,
player,201110300den,den,MoreKn00,rec_yds,5,,,,,
player,201110300den,den,MoreKn00,rec_td,0,,,,,
player,201110300den,den,MoreKn00,rec_long,5,,,,,
player,201110300den,den,MoreKn00,fumbles,0,,,,,
player,201110300den,den,MoreKn00,fumbles_lost,,,,,,
player,201110300den,den,BallLa00,pass_cmp,0,,,,,
player,201110300den,den,BallLa00,pass_att,0,,,,,
player,201110300den,den,BallLa00,pass_yds,0,,,,,
player,201110300den,den,BallLa00,pass_td,0,,,,,
player,201110300den,den,BallLa00,pass_int,0,,,,,
player,201110300den,den,BallLa00,pass_sacked,0,,,,,
player,201110300den,den,BallLa00,pass_sacked_yds,0,,,,,
player,201110300den,den,BallLa00,pass_long,0,,,,,
player,201110300den,den,BallLa00,pass_rating,,,,,,
player,201110300den,den,BallLa00,rush_att,6,,,,,
player,201110300den,den,BallLa00,rush_yds,63,,,,,
player,201110300den,den,BallLa00,rush_td,0,,,,,
player,201110300den,den,BallLa00,rush_long,34,,,,,
player,201110300den,den,BallLa00,targets,3,,,,,
player,201110300den,den,BallLa00,rec,1,,,,,
player,201110300den,den,BallLa00,rec_yds,4,,,,,
player,201110300den,den,BallLa00,rec_td,0,,,,,
player,201110300den,den,BallLa00,rec_long,4,,,,,
player,201110300den,den,BallLa00,fumbles,1,,,,,
player,201110300den,den,BallLa00,fumbles_lost,1,,,,,
player,201110300den,den,DeckEr00,pass_cmp,0,,,,,
player,201110300den,den,DeckEr00,pass_att,0,,,,,
player,201110300den,den,DeckEr00,pass_yds,0,,,,,
player,201110300den,den,DeckEr00,pass_td,0,,,,,
player,201110300den,den,DeckEr00,pass_int,0,,,,,
player,201110300den,den,DeckEr00,pass_sacked,0,,,,,
player,201110300den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201110300den,den,DeckEr00,pass_long,0,,,,,
player,201110300den,den,DeckEr00,pass_rating,,,,,,
player,201110300den,den,DeckEr00,rush_att,0,,,,,
player,201110300den,den,DeckEr00,rush_yds,0,,,,,
player,201110300den,den,DeckEr00,rush_td,0,,,,,
