game,2011,10,20111113,201111130dal,buf,"Buffalo Bills",7,dal,"Dallas Cowboys",44
team,201111130dal,buf,First Downs,20,,,,,,
team,201111130dal,dal,First Downs,24,,,,,,
team,201111130dal,buf,Rush-Yds-TDs,17-135-0,,,,,,
team,201111130dal,dal,Rush-Yds-TDs,35-163-1,,,,,,
team,201111130dal,buf,Cmp-Att-Yd-TD-INT,20-31-146-1-3,,,,,,
team,201111130dal,dal,Cmp-Att-Yd-TD-INT,23-26-270-3-0,,,,,,
team,201111130dal,buf,Sacked-Yards,1-10,,,,,,
team,201111130dal,dal,Sacked-Yards,0-0,,,,,,
team,201111130dal,buf,Net Pass Yards,136,,,,,,
team,201111130dal,dal,Net Pass Yards,270,,,,,,
team,201111130dal,buf,Total Yards,271,,,,,,
team,201111130dal,dal,Total Yards,433,,,,,,
team,201111130dal,buf,Fumbles-Lost,1-1,,,,,,
team,201111130dal,dal,Fumbles-Lost,1-0,,,,,,
team,201111130dal,buf,Turnovers,4,,,,,,
team,201111130dal,dal,Turnovers,0,,,,,,
team,201111130dal,buf,Penalties-Yards,3-12,,,,,,
team,201111130dal,dal,Penalties-Yards,8-74,,,,,,
team,201111130dal,buf,Third Down Conv.,2-7,,,,,,
team,201111130dal,dal,Third Down Conv.,8-12,,,,,,
team,201111130dal,buf,Fourth Down Conv.,0-1,,,,,,
team,201111130dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201111130dal,buf,Time of Possession,25:28,,,,,,
team,201111130dal,dal,Time of Possession,34:32,,,,,,
player,201111130dal,buf,FitzRy00,pass_cmp,20,,,,,
player,201111130dal,buf,FitzRy00,pass_att,31,,,,,
player,201111130dal,buf,FitzRy00,pass_yds,146,,,,,
player,201111130dal,buf,FitzRy00,pass_td,1,,,,,
player,201111130dal,buf,FitzRy00,pass_int,3,,,,,
player,201111130dal,buf,FitzRy00,pass_sacked,1,,,,,
player,201111130dal,buf,FitzRy00,pass_sacked_yds,10,,,,,
player,201111130dal,buf,FitzRy00,pass_long,21,,,,,
player,201111130dal,buf,FitzRy00,pass_rating,46.6,,,,,
