game,2011,3,20110925,201109250sea,crd,"Arizona Cardinals",10,sea,"Seattle Seahawks",13
team,201109250sea,crd,First Downs,20,,,,,,
team,201109250sea,sea,First Downs,16,,,,,,
team,201109250sea,crd,Rush-Yds-TDs,28-90-0,,,,,,
team,201109250sea,sea,Rush-Yds-TDs,30-122-1,,,,,,
team,201109250sea,crd,Cmp-Att-Yd-TD-INT,25-39-252-1-2,,,,,,
team,201109250sea,sea,Cmp-Att-Yd-TD-INT,18-31-171-0-1,,,,,,
team,201109250sea,crd,Sacked-Yards,3-18,,,,,,
team,201109250sea,sea,Sacked-Yards,4-32,,,,,,
team,201109250sea,crd,Net Pass Yards,234,,,,,,
team,201109250sea,sea,Net Pass Yards,139,,,,,,
team,201109250sea,crd,Total Yards,324,,,,,,
team,201109250sea,sea,Total Yards,261,,,,,,
team,201109250sea,crd,Fumbles-Lost,3-0,,,,,,
team,201109250sea,sea,Fumbles-Lost,1-0,,,,,,
team,201109250sea,crd,Turnovers,2,,,,,,
team,201109250sea,sea,Turnovers,1,,,,,,
team,201109250sea,crd,Penalties-Yards,2-20,,,,,,
team,201109250sea,sea,Penalties-Yards,8-39,,,,,,
team,201109250sea,crd,Third Down Conv.,3-14,,,,,,
team,201109250sea,sea,Third Down Conv.,6-16,,,,,,
team,201109250sea,crd,Fourth Down Conv.,1-1,,,,,,
team,201109250sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201109250sea,crd,Time of Possession,31:49,,,,,,
team,201109250sea,sea,Time of Possession,28:11,,,,,,
player,201109250sea,crd,KolbKe00,pass_cmp,25,,,,,
player,201109250sea,crd,KolbKe00,pass_att,39,,,,,
player,201109250sea,crd,KolbKe00,pass_yds,252,,,,,
player,201109250sea,crd,KolbKe00,pass_td,1,,,,,
player,201109250sea,crd,KolbKe00,pass_int,2,,,,,
player,201109250sea,crd,KolbKe00,pass_sacked,3,,,,,
player,201109250sea,crd,KolbKe00,pass_sacked_yds,18,,,,,
player,201109250sea,crd,KolbKe00,pass_long,28,,,,,
player,201109250sea,crd,KolbKe00,pass_rating,69.6,,,,,
player,201109250sea,crd,KolbKe00,rush_att,3,,,,,
player,201109250sea,crd,KolbKe00,rush_yds,16,,,,,
player,201109250sea,crd,KolbKe00,rush_td,0,,,,,
player,201109250sea,crd,KolbKe00,rush_long,7,,,,,
player,201109250sea,crd,KolbKe00,targets,0,,,,,
player,201109250sea,crd,KolbKe00,rec,0,,,,,
player,201109250sea,crd,KolbKe00,rec_yds,0,,,,,
player,201109250sea,crd,KolbKe00,rec_td,0,,,,,
player,201109250sea,crd,KolbKe00,rec_long,0,,,,,
player,201109250sea,crd,KolbKe00,fumbles,1,,,,,
player,201109250sea,crd,KolbKe00,fumbles_lost,0,,,,,
player,201109250sea,crd,SmitAl22,pass_cmp,0,,,,,
player,201109250sea,crd,SmitAl22,pass_att,0,,,,,
player,201109250sea,crd,SmitAl22,pass_yds,0,,,,,
player,201109250sea,crd,SmitAl22,pass_td,0,,,,,
player,201109250sea,crd,SmitAl22,pass_int,0,,,,,
player,201109250sea,crd,SmitAl22,pass_sacked,0,,,,,
player,201109250sea,crd,SmitAl22,pass_sacked_yds,0,,,,,
player,201109250sea,crd,SmitAl22,pass_long,0,,,,,
player,201109250sea,crd,SmitAl22,pass_rating,,,,,,
player,201109250sea,crd,SmitAl22,rush_att,17,,,,,
player,201109250sea,crd,SmitAl22,rush_yds,54,,,,,
player,201109250sea,crd,SmitAl22,rush_td,0,,,,,
player,201109250sea,crd,SmitAl22,rush_long,9,,,,,
player,201109250sea,crd,SmitAl22,targets,5,,,,,
player,201109250sea,crd,SmitAl22,rec,3,,,,,
player,201109250sea,crd,SmitAl22,rec_yds,21,,,,,
player,201109250sea,crd,SmitAl22,rec_td,0,,,,,
player,201109250sea,crd,SmitAl22,rec_long,13,,,,,
player,201109250sea,crd,SmitAl22,fumbles,0,,,,,
player,201109250sea,crd,SmitAl22,fumbles_lost,,,,,,
player,201109250sea,crd,TaylCh01,pass_cmp,0,,,,,
player,201109250sea,crd,TaylCh01,pass_att,0,,,,,
player,201109250sea,crd,TaylCh01,pass_yds,0,,,,,
