game,2011,4,20111002,201110020rav,nyj,"New York Jets",17,rav,"Baltimore Ravens",34
team,201110020rav,nyj,First Downs,7,,,,,,
team,201110020rav,rav,First Downs,16,,,,,,
team,201110020rav,nyj,Rush-Yds-TDs,19-38-0,,,,,,
team,201110020rav,rav,Rush-Yds-TDs,40-112-1,,,,,,
team,201110020rav,nyj,Cmp-Att-Yd-TD-INT,11-35-119-0-1,,,,,,
team,201110020rav,rav,Cmp-Att-Yd-TD-INT,10-31-163-0-1,,,,,,
team,201110020rav,nyj,Sacked-Yards,2-7,,,,,,
team,201110020rav,rav,Sacked-Yards,2-8,,,,,,
team,201110020rav,nyj,Net Pass Yards,112,,,,,,
team,201110020rav,rav,Net Pass Yards,155,,,,,,
team,201110020rav,nyj,Total Yards,150,,,,,,
team,201110020rav,rav,Total Yards,267,,,,,,
team,201110020rav,nyj,Fumbles-Lost,5-3,,,,,,
team,201110020rav,rav,Fumbles-Lost,3-2,,,,,,
team,201110020rav,nyj,Turnovers,4,,,,,,
team,201110020rav,rav,Turnovers,3,,,,,,
team,201110020rav,nyj,Penalties-Yards,9-69,,,,,,
team,201110020rav,rav,Penalties-Yards,7-46,,,,,,
team,201110020rav,nyj,Third Down Conv.,4-15,,,,,,
team,201110020rav,rav,Third Down Conv.,6-18,,,,,,
team,201110020rav,nyj,Fourth Down Conv.,0-1,,,,,,
team,201110020rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201110020rav,nyj,Time of Possession,22:32,,,,,,
team,201110020rav,rav,Time of Possession,37:28,,,,,,
player,201110020rav,nyj,SancMa00,pass_cmp,11,,,,,
player,201110020rav,nyj,SancMa00,pass_att,35,,,,,
player,201110020rav,nyj,SancMa00,pass_yds,119,,,,,
player,201110020rav,nyj,SancMa00,pass_td,0,,,,,
player,201110020rav,nyj,SancMa00,pass_int,1,,,,,
player,201110020rav,nyj,SancMa00,pass_sacked,2,,,,,
player,201110020rav,nyj,SancMa00,pass_sacked_yds,7,,,,,
player,201110020rav,nyj,SancMa00,pass_long,30,,,,,
player,201110020rav,nyj,SancMa00,pass_rating,30.5,,,,,
player,201110020rav,nyj,SancMa00,rush_att,3,,,,,
player,201110020rav,nyj,SancMa00,rush_yds,3,,,,,
player,201110020rav,nyj,SancMa00,rush_td,0,,,,,
player,201110020rav,nyj,SancMa00,rush_long,3,,,,,
player,201110020rav,nyj,SancMa00,targets,0,,,,,
player,201110020rav,nyj,SancMa00,rec,0,,,,,
player,201110020rav,nyj,SancMa00,rec_yds,0,,,,,
player,201110020rav,nyj,SancMa00,rec_td,0,,,,,
player,201110020rav,nyj,SancMa00,rec_long,0,,,,,
player,201110020rav,nyj,SancMa00,fumbles,4,,,,,
player,201110020rav,nyj,SancMa00,fumbles_lost,3,,,,,
player,201110020rav,nyj,GreeSh00,pass_cmp,0,,,,,
