game,2011,2,20110918,201109180buf,rai,"Oakland Raiders",35,buf,"Buffalo Bills",38
team,201109180buf,rai,First Downs,26,,,,,,
team,201109180buf,buf,First Downs,34,,,,,,
team,201109180buf,rai,Rush-Yds-TDs,30-131-3,,,,,,
team,201109180buf,buf,Rush-Yds-TDs,24-223-2,,,,,,
team,201109180buf,rai,Cmp-Att-Yd-TD-INT,23-33-323-2-1,,,,,,
team,201109180buf,buf,Cmp-Att-Yd-TD-INT,28-46-264-3-1,,,,,,
team,201109180buf,rai,Sacked-Yards,0-0,,,,,,
team,201109180buf,buf,Sacked-Yards,1-6,,,,,,
team,201109180buf,rai,Net Pass Yards,323,,,,,,
team,201109180buf,buf,Net Pass Yards,258,,,,,,
team,201109180buf,rai,Total Yards,454,,,,,,
team,201109180buf,buf,Total Yards,481,,,,,,
team,201109180buf,rai,Fumbles-Lost,1-1,,,,,,
team,201109180buf,buf,Fumbles-Lost,0-0,,,,,,
team,201109180buf,rai,Turnovers,2,,,,,,
team,201109180buf,buf,Turnovers,1,,,,,,
team,201109180buf,rai,Penalties-Yards,8-85,,,,,,
team,201109180buf,buf,Penalties-Yards,3-26,,,,,,
team,201109180buf,rai,Third Down Conv.,8-12,,,,,,
team,201109180buf,buf,Third Down Conv.,4-11,,,,,,
team,201109180buf,rai,Fourth Down Conv.,1-1,,,,,,
team,201109180buf,buf,Fourth Down Conv.,2-2,,,,,,
team,201109180buf,rai,Time of Possession,29:13,,,,,,
team,201109180buf,buf,Time of Possession,30:47,,,,,,
player,201109180buf,rai,CampJa00,pass_cmp,23,,,,,
player,201109180buf,rai,CampJa00,pass_att,33,,,,,
player,201109180buf,rai,CampJa00,pass_yds,323,,,,,
player,201109180buf,rai,CampJa00,pass_td,2,,,,,
player,201109180buf,rai,CampJa00,pass_int,1,,,,,
player,201109180buf,rai,CampJa00,pass_sacked,0,,,,,
player,201109180buf,rai,CampJa00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,CampJa00,pass_long,50,,,,,
player,201109180buf,rai,CampJa00,pass_rating,108.5,,,,,
player,201109180buf,rai,CampJa00,rush_att,3,,,,,
player,201109180buf,rai,CampJa00,rush_yds,3,,,,,
player,201109180buf,rai,CampJa00,rush_td,1,,,,,
player,201109180buf,rai,CampJa00,rush_long,2,,,,,
player,201109180buf,rai,CampJa00,targets,0,,,,,
player,201109180buf,rai,CampJa00,rec,0,,,,,
player,201109180buf,rai,CampJa00,rec_yds,0,,,,,
player,201109180buf,rai,CampJa00,rec_td,0,,,,,
player,201109180buf,rai,CampJa00,rec_long,0,,,,,
player,201109180buf,rai,CampJa00,fumbles,0,,,,,
player,201109180buf,rai,CampJa00,fumbles_lost,,,,,,
player,201109180buf,rai,McFaDa00,pass_cmp,0,,,,,
player,201109180buf,rai,McFaDa00,pass_att,0,,,,,
player,201109180buf,rai,McFaDa00,pass_yds,0,,,,,
player,201109180buf,rai,McFaDa00,pass_td,0,,,,,
player,201109180buf,rai,McFaDa00,pass_int,0,,,,,
player,201109180buf,rai,McFaDa00,pass_sacked,,,,,,
player,201109180buf,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,McFaDa00,pass_long,0,,,,,
player,201109180buf,rai,McFaDa00,pass_rating,,,,,,
player,201109180buf,rai,McFaDa00,rush_att,20,,,,,
player,201109180buf,rai,McFaDa00,rush_yds,72,,,,,
player,201109180buf,rai,McFaDa00,rush_td,1,,,,,
player,201109180buf,rai,McFaDa00,rush_long,14,,,,,
player,201109180buf,rai,McFaDa00,targets,8,,,,,
player,201109180buf,rai,McFaDa00,rec,7,,,,,
player,201109180buf,rai,McFaDa00,rec_yds,71,,,,,
player,201109180buf,rai,McFaDa00,rec_td,1,,,,,
player,201109180buf,rai,McFaDa00,rec_long,16,,,,,
player,201109180buf,rai,McFaDa00,fumbles,1,,,,,
player,201109180buf,rai,McFaDa00,fumbles_lost,1,,,,,
player,201109180buf,rai,MoorDe02,pass_cmp,0,,,,,
player,201109180buf,rai,MoorDe02,pass_att,0,,,,,
player,201109180buf,rai,MoorDe02,pass_yds,0,,,,,
player,201109180buf,rai,MoorDe02,pass_td,0,,,,,
player,201109180buf,rai,MoorDe02,pass_int,0,,,,,
player,201109180buf,rai,MoorDe02,pass_sacked,,,,,,
player,201109180buf,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201109180buf,rai,MoorDe02,pass_long,0,,,,,
player,201109180buf,rai,MoorDe02,pass_rating,,,,,,
player,201109180buf,rai,MoorDe02,rush_att,1,,,,,
player,201109180buf,rai,MoorDe02,rush_yds,25,,,,,
player,201109180buf,rai,MoorDe02,rush_td,0,,,,,
player,201109180buf,rai,MoorDe02,rush_long,25,,,,,
player,201109180buf,rai,MoorDe02,targets,8,,,,,
player,201109180buf,rai,MoorDe02,rec,5,,,,,
player,201109180buf,rai,MoorDe02,rec_yds,146,,,,,
player,201109180buf,rai,MoorDe02,rec_td,1,,,,,
player,201109180buf,rai,MoorDe02,rec_long,50,,,,,
player,201109180buf,rai,MoorDe02,fumbles,0,,,,,
player,201109180buf,rai,MoorDe02,fumbles_lost,,,,,,
player,201109180buf,rai,BushMi00,pass_cmp,0,,,,,
player,201109180buf,rai,BushMi00,pass_att,0,,,,,
player,201109180buf,rai,BushMi00,pass_yds,0,,,,,
player,201109180buf,rai,BushMi00,pass_td,0,,,,,
player,201109180buf,rai,BushMi00,pass_int,0,,,,,
player,201109180buf,rai,BushMi00,pass_sacked,,,,,,
player,201109180buf,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,BushMi00,pass_long,0,,,,,
player,201109180buf,rai,BushMi00,pass_rating,,,,,,
player,201109180buf,rai,BushMi00,rush_att,4,,,,,
player,201109180buf,rai,BushMi00,rush_yds,23,,,,,
player,201109180buf,rai,BushMi00,rush_td,1,,,,,
player,201109180buf,rai,BushMi00,rush_long,22,,,,,
player,201109180buf,rai,BushMi00,targets,0,,,,,
player,201109180buf,rai,BushMi00,rec,0,,,,,
player,201109180buf,rai,BushMi00,rec_yds,0,,,,,
player,201109180buf,rai,BushMi00,rec_td,0,,,,,
player,201109180buf,rai,BushMi00,rec_long,0,,,,,
player,201109180buf,rai,BushMi00,fumbles,0,,,,,
player,201109180buf,rai,BushMi00,fumbles_lost,,,,,,
player,201109180buf,rai,ReecMa00,pass_cmp,0,,,,,
player,201109180buf,rai,ReecMa00,pass_att,0,,,,,
player,201109180buf,rai,ReecMa00,pass_yds,0,,,,,
player,201109180buf,rai,ReecMa00,pass_td,0,,,,,
player,201109180buf,rai,ReecMa00,pass_int,0,,,,,
player,201109180buf,rai,ReecMa00,pass_sacked,,,,,,
player,201109180buf,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,ReecMa00,pass_long,0,,,,,
player,201109180buf,rai,ReecMa00,pass_rating,,,,,,
player,201109180buf,rai,ReecMa00,rush_att,1,,,,,
player,201109180buf,rai,ReecMa00,rush_yds,4,,,,,
player,201109180buf,rai,ReecMa00,rush_td,0,,,,,
player,201109180buf,rai,ReecMa00,rush_long,4,,,,,
player,201109180buf,rai,ReecMa00,targets,5,,,,,
player,201109180buf,rai,ReecMa00,rec,3,,,,,
player,201109180buf,rai,ReecMa00,rec_yds,20,,,,,
player,201109180buf,rai,ReecMa00,rec_td,0,,,,,
player,201109180buf,rai,ReecMa00,rec_long,12,,,,,
player,201109180buf,rai,ReecMa00,fumbles,0,,,,,
player,201109180buf,rai,ReecMa00,fumbles_lost,,,,,,
player,201109180buf,rai,JoneTa00,pass_cmp,0,,,,,
player,201109180buf,rai,JoneTa00,pass_att,0,,,,,
player,201109180buf,rai,JoneTa00,pass_yds,0,,,,,
player,201109180buf,rai,JoneTa00,pass_td,0,,,,,
player,201109180buf,rai,JoneTa00,pass_int,0,,,,,
player,201109180buf,rai,JoneTa00,pass_sacked,,,,,,
player,201109180buf,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,JoneTa00,pass_long,0,,,,,
player,201109180buf,rai,JoneTa00,pass_rating,,,,,,
player,201109180buf,rai,JoneTa00,rush_att,1,,,,,
player,201109180buf,rai,JoneTa00,rush_yds,4,,,,,
player,201109180buf,rai,JoneTa00,rush_td,0,,,,,
player,201109180buf,rai,JoneTa00,rush_long,4,,,,,
player,201109180buf,rai,JoneTa00,targets,0,,,,,
player,201109180buf,rai,JoneTa00,rec,0,,,,,
player,201109180buf,rai,JoneTa00,rec_yds,0,,,,,
player,201109180buf,rai,JoneTa00,rec_td,0,,,,,
player,201109180buf,rai,JoneTa00,rec_long,0,,,,,
player,201109180buf,rai,JoneTa00,fumbles,0,,,,,
player,201109180buf,rai,JoneTa00,fumbles_lost,,,,,,
player,201109180buf,rai,HagaDe00,pass_cmp,0,,,,,
player,201109180buf,rai,HagaDe00,pass_att,0,,,,,
player,201109180buf,rai,HagaDe00,pass_yds,0,,,,,
player,201109180buf,rai,HagaDe00,pass_td,0,,,,,
player,201109180buf,rai,HagaDe00,pass_int,0,,,,,
player,201109180buf,rai,HagaDe00,pass_sacked,,,,,,
player,201109180buf,rai,HagaDe00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,HagaDe00,pass_long,0,,,,,
player,201109180buf,rai,HagaDe00,pass_rating,,,,,,
player,201109180buf,rai,HagaDe00,rush_att,0,,,,,
player,201109180buf,rai,HagaDe00,rush_yds,0,,,,,
player,201109180buf,rai,HagaDe00,rush_td,0,,,,,
player,201109180buf,rai,HagaDe00,rush_long,0,,,,,
player,201109180buf,rai,HagaDe00,targets,8,,,,,
player,201109180buf,rai,HagaDe00,rec,5,,,,,
player,201109180buf,rai,HagaDe00,rec_yds,61,,,,,
player,201109180buf,rai,HagaDe00,rec_td,0,,,,,
player,201109180buf,rai,HagaDe00,rec_long,25,,,,,
player,201109180buf,rai,HagaDe00,fumbles,0,,,,,
player,201109180buf,rai,HagaDe00,fumbles_lost,,,,,,
player,201109180buf,rai,MyerBr00,pass_cmp,0,,,,,
player,201109180buf,rai,MyerBr00,pass_att,0,,,,,
player,201109180buf,rai,MyerBr00,pass_yds,0,,,,,
player,201109180buf,rai,MyerBr00,pass_td,0,,,,,
player,201109180buf,rai,MyerBr00,pass_int,0,,,,,
player,201109180buf,rai,MyerBr00,pass_sacked,,,,,,
player,201109180buf,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,MyerBr00,pass_long,0,,,,,
player,201109180buf,rai,MyerBr00,pass_rating,,,,,,
player,201109180buf,rai,MyerBr00,rush_att,0,,,,,
player,201109180buf,rai,MyerBr00,rush_yds,0,,,,,
player,201109180buf,rai,MyerBr00,rush_td,0,,,,,
player,201109180buf,rai,MyerBr00,rush_long,0,,,,,
player,201109180buf,rai,MyerBr00,targets,3,,,,,
player,201109180buf,rai,MyerBr00,rec,2,,,,,
player,201109180buf,rai,MyerBr00,rec_yds,16,,,,,
player,201109180buf,rai,MyerBr00,rec_td,0,,,,,
player,201109180buf,rai,MyerBr00,rec_long,8,,,,,
player,201109180buf,rai,MyerBr00,fumbles,0,,,,,
player,201109180buf,rai,MyerBr00,fumbles_lost,,,,,,
player,201109180buf,rai,SchiCh00,pass_cmp,0,,,,,
player,201109180buf,rai,SchiCh00,pass_att,0,,,,,
player,201109180buf,rai,SchiCh00,pass_yds,0,,,,,
player,201109180buf,rai,SchiCh00,pass_td,0,,,,,
player,201109180buf,rai,SchiCh00,pass_int,0,,,,,
player,201109180buf,rai,SchiCh00,pass_sacked,,,,,,
player,201109180buf,rai,SchiCh00,pass_sacked_yds,0,,,,,
player,201109180buf,rai,SchiCh00,pass_long,0,,,,,
player,201109180buf,rai,SchiCh00,pass_rating,,,,,,
player,201109180buf,rai,SchiCh00,rush_att,0,,,,,
player,201109180buf,rai,SchiCh00,rush_yds,0,,,,,
player,201109180buf,rai,SchiCh00,rush_td,0,,,,,
player,201109180buf,rai,SchiCh00,rush_long,0,,,,,
player,201109180buf,rai,SchiCh00,targets,1,,,,,
player,201109180buf,rai,SchiCh00,rec,1,,,,,
player,201109180buf,rai,SchiCh00,rec_yds,9,,,,,
player,201109180buf,rai,SchiCh00,rec_td,0,,,,,
player,201109180buf,rai,SchiCh00,rec_long,9,,,,,
player,201109180buf,rai,SchiCh00,fumbles,0,,,,,
player,201109180buf,rai,SchiCh00,fumbles_lost,,,,,,
player,201109180buf,buf,FitzRy00,pass_cmp,28,,,,,
player,201109180buf,buf,FitzRy00,pass_att,46,,,,,
player,201109180buf,buf,FitzRy00,pass_yds,264,,,,,
player,201109180buf,buf,FitzRy00,pass_td,3,,,,,
player,201109180buf,buf,FitzRy00,pass_int,1,,,,,
player,201109180buf,buf,FitzRy00,pass_sacked,0,,,,,
player,201109180buf,buf,FitzRy00,pass_sacked_yds,0,,,,,
player,201109180buf,buf,FitzRy00,pass_long,19,,,,,
player,201109180buf,buf,FitzRy00,pass_rating,89.4,,,,,
player,201109180buf,buf,FitzRy00,rush_att,3,,,,,
player,201109180buf,buf,FitzRy00,rush_yds,23,,,,,
player,201109180buf,buf,FitzRy00,rush_td,0,,,,,
player,201109180buf,buf,FitzRy00,rush_long,13,,,,,
player,201109180buf,buf,FitzRy00,targets,0,,,,,
player,201109180buf,buf,FitzRy00,rec,0,,,,,
player,201109180buf,buf,FitzRy00,rec_yds,0,,,,,
player,201109180buf,buf,FitzRy00,rec_td,0,,,,,
player,201109180buf,buf,FitzRy00,rec_long,0,,,,,
player,201109180buf,buf,FitzRy00,fumbles,0,,,,,
player,201109180buf,buf,FitzRy00,fumbles_lost,,,,,,
player,201109180buf,buf,JackFr02,pass_cmp,0,,,,,
player,201109180buf,buf,JackFr02,pass_att,0,,,,,
player,201109180buf,buf,JackFr02,pass_yds,0,,,,,
player,201109180buf,buf,JackFr02,pass_td,0,,,,,
player,201109180buf,buf,JackFr02,pass_int,0,,,,,
player,201109180buf,buf,JackFr02,pass_sacked,0,,,,,
player,201109180buf,buf,JackFr02,pass_sacked_yds,0,,,,,
player,201109180buf,buf,JackFr02,pass_long,0,,,,,
player,201109180buf,buf,JackFr02,pass_rating,,,,,,
player,201109180buf,buf,JackFr02,rush_att,15,,,,,
player,201109180buf,buf,JackFr02,rush_yds,117,,,,,
player,201109180buf,buf,JackFr02,rush_td,2,,,,,
player,201109180buf,buf,JackFr02,rush_long,43,,,,,
player,201109180buf,buf,JackFr02,targets,2,,,,,
player,201109180buf,buf,JackFr02,rec,2,,,,,
player,201109180buf,buf,JackFr02,rec_yds,23,,,,,
player,201109180buf,buf,JackFr02,rec_td,0,,,,,
player,201109180buf,buf,JackFr02,rec_long,12,,,,,
