game,2011,8,20111030,201110300pit,nwe,"New England Patriots",17,pit,"Pittsburgh Steelers",25
team,201110300pit,nwe,First Downs,19,,,,,,
team,201110300pit,pit,First Downs,29,,,,,,
team,201110300pit,nwe,Rush-Yds-TDs,12-43-0,,,,,,
team,201110300pit,pit,Rush-Yds-TDs,23-98-0,,,,,,
team,201110300pit,nwe,Cmp-Att-Yd-TD-INT,24-35-198-2-0,,,,,,
team,201110300pit,pit,Cmp-Att-Yd-TD-INT,36-50-365-2-1,,,,,,
team,201110300pit,nwe,Sacked-Yards,3-28,,,,,,
team,201110300pit,pit,Sacked-Yards,5-36,,,,,,
team,201110300pit,nwe,Net Pass Yards,170,,,,,,
team,201110300pit,pit,Net Pass Yards,329,,,,,,
team,201110300pit,nwe,Total Yards,213,,,,,,
team,201110300pit,pit,Total Yards,427,,,,,,
team,201110300pit,nwe,Fumbles-Lost,1-0,,,,,,
team,201110300pit,pit,Fumbles-Lost,1-0,,,,,,
team,201110300pit,nwe,Turnovers,0,,,,,,
team,201110300pit,pit,Turnovers,1,,,,,,
team,201110300pit,nwe,Penalties-Yards,6-37,,,,,,
team,201110300pit,pit,Penalties-Yards,8-50,,,,,,
team,201110300pit,nwe,Third Down Conv.,3-10,,,,,,
team,201110300pit,pit,Third Down Conv.,10-16,,,,,,
team,201110300pit,nwe,Fourth Down Conv.,0-0,,,,,,
team,201110300pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201110300pit,nwe,Time of Possession,20:38,,,,,,
team,201110300pit,pit,Time of Possession,39:22,,,,,,
player,201110300pit,nwe,BradTo00,pass_cmp,24,,,,,
player,201110300pit,nwe,BradTo00,pass_att,35,,,,,
player,201110300pit,nwe,BradTo00,pass_yds,198,,,,,
player,201110300pit,nwe,BradTo00,pass_td,2,,,,,
player,201110300pit,nwe,BradTo00,pass_int,0,,,,,
player,201110300pit,nwe,BradTo00,pass_sacked,3,,,,,
player,201110300pit,nwe,BradTo00,pass_sacked_yds,28,,,,,
player,201110300pit,nwe,BradTo00,pass_long,23,,,,,
player,201110300pit,nwe,BradTo00,pass_rating,101.8,,,,,
player,201110300pit,nwe,BradTo00,rush_att,0,,,,,
player,201110300pit,nwe,BradTo00,rush_yds,0,,,,,
player,201110300pit,nwe,BradTo00,rush_td,0,,,,,
player,201110300pit,nwe,BradTo00,rush_long,0,,,,,
player,201110300pit,nwe,BradTo00,targets,0,,,,,
player,201110300pit,nwe,BradTo00,rec,0,,,,,
player,201110300pit,nwe,BradTo00,rec_yds,0,,,,,
player,201110300pit,nwe,BradTo00,rec_td,0,,,,,
player,201110300pit,nwe,BradTo00,rec_long,0,,,,,
player,201110300pit,nwe,BradTo00,fumbles,1,,,,,
player,201110300pit,nwe,BradTo00,fumbles_lost,,,,,,
player,201110300pit,nwe,FaulKe00,pass_cmp,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_att,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_yds,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_td,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_int,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_sacked,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_sacked_yds,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_long,0,,,,,
player,201110300pit,nwe,FaulKe00,pass_rating,,,,,,
player,201110300pit,nwe,FaulKe00,rush_att,6,,,,,
player,201110300pit,nwe,FaulKe00,rush_yds,32,,,,,
player,201110300pit,nwe,FaulKe00,rush_td,0,,,,,
player,201110300pit,nwe,FaulKe00,rush_long,9,,,,,
player,201110300pit,nwe,FaulKe00,targets,5,,,,,
player,201110300pit,nwe,FaulKe00,rec,5,,,,,
player,201110300pit,nwe,FaulKe00,rec_yds,20,,,,,
player,201110300pit,nwe,FaulKe00,rec_td,0,,,,,
