game,2011,14,20111211,201112110was,nwe,"New England Patriots",34,was,"Washington Redskins",27
team,201112110was,nwe,First Downs,22,,,,,,
team,201112110was,was,First Downs,25,,,,,,
team,201112110was,nwe,Rush-Yds-TDs,20-79-0,,,,,,
team,201112110was,was,Rush-Yds-TDs,34-170-0,,,,,,
team,201112110was,nwe,Cmp-Att-Yd-TD-INT,22-37-357-3-1,,,,,,
team,201112110was,was,Cmp-Att-Yd-TD-INT,20-33-301-3-1,,,,,,
team,201112110was,nwe,Sacked-Yards,1-5,,,,,,
team,201112110was,was,Sacked-Yards,2-8,,,,,,
team,201112110was,nwe,Net Pass Yards,352,,,,,,
team,201112110was,was,Net Pass Yards,293,,,,,,
team,201112110was,nwe,Total Yards,431,,,,,,
team,201112110was,was,Total Yards,463,,,,,,
team,201112110was,nwe,Fumbles-Lost,0-0,,,,,,
team,201112110was,was,Fumbles-Lost,2-1,,,,,,
team,201112110was,nwe,Turnovers,1,,,,,,
team,201112110was,was,Turnovers,2,,,,,,
team,201112110was,nwe,Penalties-Yards,4-47,,,,,,
team,201112110was,was,Penalties-Yards,8-73,,,,,,
team,201112110was,nwe,Third Down Conv.,5-11,,,,,,
team,201112110was,was,Third Down Conv.,7-14,,,,,,
team,201112110was,nwe,Fourth Down Conv.,0-0,,,,,,
team,201112110was,was,Fourth Down Conv.,0-0,,,,,,
team,201112110was,nwe,Time of Possession,23:51,,,,,,
team,201112110was,was,Time of Possession,36:09,,,,,,
player,201112110was,nwe,BradTo00,pass_cmp,22,,,,,
player,201112110was,nwe,BradTo00,pass_att,37,,,,,
player,201112110was,nwe,BradTo00,pass_yds,357,,,,,
player,201112110was,nwe,BradTo00,pass_td,3,,,,,
player,201112110was,nwe,BradTo00,pass_int,1,,,,,
player,201112110was,nwe,BradTo00,pass_sacked,1,,,,,
player,201112110was,nwe,BradTo00,pass_sacked_yds,5,,,,,
player,201112110was,nwe,BradTo00,pass_long,50,,,,,
player,201112110was,nwe,BradTo00,pass_rating,107.6,,,,,
player,201112110was,nwe,BradTo00,rush_att,4,,,,,
player,201112110was,nwe,BradTo00,rush_yds,8,,,,,
