game,2011,15,20111218,201112180buf,mia,"Miami Dolphins",30,buf,"Buffalo Bills",23
team,201112180buf,mia,First Downs,17,,,,,,
team,201112180buf,buf,First Downs,21,,,,,,
team,201112180buf,mia,Rush-Yds-TDs,38-254-1,,,,,,
team,201112180buf,buf,Rush-Yds-TDs,19-113-1,,,,,,
team,201112180buf,mia,Cmp-Att-Yd-TD-INT,10-20-217-2-0,,,,,,
team,201112180buf,buf,Cmp-Att-Yd-TD-INT,31-47-316-2-3,,,,,,
team,201112180buf,mia,Sacked-Yards,2-23,,,,,,
team,201112180buf,buf,Sacked-Yards,3-25,,,,,,
team,201112180buf,mia,Net Pass Yards,194,,,,,,
team,201112180buf,buf,Net Pass Yards,291,,,,,,
team,201112180buf,mia,Total Yards,448,,,,,,
team,201112180buf,buf,Total Yards,404,,,,,,
team,201112180buf,mia,Fumbles-Lost,3-3,,,,,,
team,201112180buf,buf,Fumbles-Lost,2-0,,,,,,
team,201112180buf,mia,Turnovers,3,,,,,,
team,201112180buf,buf,Turnovers,3,,,,,,
team,201112180buf,mia,Penalties-Yards,5-62,,,,,,
team,201112180buf,buf,Penalties-Yards,11-92,,,,,,
team,201112180buf,mia,Third Down Conv.,3-13,,,,,,
team,201112180buf,buf,Third Down Conv.,0-11,,,,,,
team,201112180buf,mia,Fourth Down Conv.,0-1,,,,,,
team,201112180buf,buf,Fourth Down Conv.,1-1,,,,,,
team,201112180buf,mia,Time of Possession,28:49,,,,,,
team,201112180buf,buf,Time of Possession,31:11,,,,,,
player,201112180buf,mia,MoorMa01,pass_cmp,10,,,,,
player,201112180buf,mia,MoorMa01,pass_att,20,,,,,
player,201112180buf,mia,MoorMa01,pass_yds,217,,,,,
player,201112180buf,mia,MoorMa01,pass_td,2,,,,,
player,201112180buf,mia,MoorMa01,pass_int,0,,,,,
player,201112180buf,mia,MoorMa01,pass_sacked,2,,,,,
player,201112180buf,mia,MoorMa01,pass_sacked_yds,23,,,,,
player,201112180buf,mia,MoorMa01,pass_long,65,,,,,
