game,2011,11,20111120,201111200det,car,"Carolina Panthers",35,det,"Detroit Lions",49
team,201111200det,car,First Downs,24,,,,,,
team,201111200det,det,First Downs,29,,,,,,
team,201111200det,car,Rush-Yds-TDs,26-137-2,,,,,,
team,201111200det,det,Rush-Yds-TDs,29-169-2,,,,,,
team,201111200det,car,Cmp-Att-Yd-TD-INT,22-38-280-1-4,,,,,,
team,201111200det,det,Cmp-Att-Yd-TD-INT,28-36-335-5-2,,,,,,
team,201111200det,car,Sacked-Yards,1-8,,,,,,
team,201111200det,det,Sacked-Yards,2-9,,,,,,
team,201111200det,car,Net Pass Yards,272,,,,,,
team,201111200det,det,Net Pass Yards,326,,,,,,
team,201111200det,car,Total Yards,409,,,,,,
team,201111200det,det,Total Yards,495,,,,,,
team,201111200det,car,Fumbles-Lost,0-0,,,,,,
team,201111200det,det,Fumbles-Lost,1-1,,,,,,
team,201111200det,car,Turnovers,4,,,,,,
team,201111200det,det,Turnovers,3,,,,,,
team,201111200det,car,Penalties-Yards,7-70,,,,,,
team,201111200det,det,Penalties-Yards,8-56,,,,,,
team,201111200det,car,Third Down Conv.,3-10,,,,,,
team,201111200det,det,Third Down Conv.,6-11,,,,,,
team,201111200det,car,Fourth Down Conv.,0-0,,,,,,
team,201111200det,det,Fourth Down Conv.,0-0,,,,,,
team,201111200det,car,Time of Possession,26:53,,,,,,
team,201111200det,det,Time of Possession,33:07,,,,,,
player,201111200det,car,NewtCa00,pass_cmp,22,,,,,
player,201111200det,car,NewtCa00,pass_att,38,,,,,
player,201111200det,car,NewtCa00,pass_yds,280,,,,,
player,201111200det,car,NewtCa00,pass_td,1,,,,,
player,201111200det,car,NewtCa00,pass_int,4,,,,,
player,201111200det,car,NewtCa00,pass_sacked,1,,,,,
player,201111200det,car,NewtCa00,pass_sacked_yds,8,,,,,
player,201111200det,car,NewtCa00,pass_long,32,,,,,
player,201111200det,car,NewtCa00,pass_rating,50.2,,,,,
player,201111200det,car,NewtCa00,rush_att,7,,,,,
player,201111200det,car,NewtCa00,rush_yds,37,,,,,
player,201111200det,car,NewtCa00,rush_td,2,,,,,
player,201111200det,car,NewtCa00,rush_long,11,,,,,
player,201111200det,car,NewtCa00,targets,0,,,,,
player,201111200det,car,NewtCa00,rec,0,,,,,
player,201111200det,car,NewtCa00,rec_yds,0,,,,,
player,201111200det,car,NewtCa00,rec_td,0,,,,,
player,201111200det,car,NewtCa00,rec_long,0,,,,,
player,201111200det,car,NewtCa00,fumbles,0,,,,,
player,201111200det,car,NewtCa00,fumbles_lost,,,,,,
player,201111200det,car,WillDe02,pass_cmp,0,,,,,
player,201111200det,car,WillDe02,pass_att,0,,,,,
player,201111200det,car,WillDe02,pass_yds,0,,,,,
player,201111200det,car,WillDe02,pass_td,0,,,,,
player,201111200det,car,WillDe02,pass_int,0,,,,,
player,201111200det,car,WillDe02,pass_sacked,0,,,,,
player,201111200det,car,WillDe02,pass_sacked_yds,0,,,,,
player,201111200det,car,WillDe02,pass_long,0,,,,,
player,201111200det,car,WillDe02,pass_rating,,,,,,
player,201111200det,car,WillDe02,rush_att,10,,,,,
player,201111200det,car,WillDe02,rush_yds,73,,,,,
player,201111200det,car,WillDe02,rush_td,0,,,,,
player,201111200det,car,WillDe02,rush_long,29,,,,,
player,201111200det,car,WillDe02,targets,1,,,,,
player,201111200det,car,WillDe02,rec,1,,,,,
player,201111200det,car,WillDe02,rec_yds,32,,,,,
player,201111200det,car,WillDe02,rec_td,0,,,,,
player,201111200det,car,WillDe02,rec_long,32,,,,,
player,201111200det,car,WillDe02,fumbles,0,,,,,
player,201111200det,car,WillDe02,fumbles_lost,,,,,,
player,201111200det,car,StewJo00,pass_cmp,0,,,,,
player,201111200det,car,StewJo00,pass_att,0,,,,,
player,201111200det,car,StewJo00,pass_yds,0,,,,,
player,201111200det,car,StewJo00,pass_td,0,,,,,
player,201111200det,car,StewJo00,pass_int,0,,,,,
player,201111200det,car,StewJo00,pass_sacked,0,,,,,
player,201111200det,car,StewJo00,pass_sacked_yds,0,,,,,
player,201111200det,car,StewJo00,pass_long,0,,,,,
player,201111200det,car,StewJo00,pass_rating,,,,,,
player,201111200det,car,StewJo00,rush_att,8,,,,,
player,201111200det,car,StewJo00,rush_yds,22,,,,,
player,201111200det,car,StewJo00,rush_td,0,,,,,
player,201111200det,car,StewJo00,rush_long,5,,,,,
player,201111200det,car,StewJo00,targets,6,,,,,
player,201111200det,car,StewJo00,rec,6,,,,,
player,201111200det,car,StewJo00,rec_yds,87,,,,,
player,201111200det,car,StewJo00,rec_td,0,,,,,
player,201111200det,car,StewJo00,rec_long,26,,,,,
player,201111200det,car,StewJo00,fumbles,0,,,,,
player,201111200det,car,StewJo00,fumbles_lost,,,,,,
player,201111200det,car,SmitSt01,pass_cmp,0,,,,,
player,201111200det,car,SmitSt01,pass_att,0,,,,,
player,201111200det,car,SmitSt01,pass_yds,0,,,,,
player,201111200det,car,SmitSt01,pass_td,0,,,,,
player,201111200det,car,SmitSt01,pass_int,0,,,,,
player,201111200det,car,SmitSt01,pass_sacked,0,,,,,
