game,2011,5,20111009,201110090htx,rai,"Oakland Raiders",25,htx,"Houston Texans",20
team,201110090htx,rai,First Downs,11,,,,,,
team,201110090htx,htx,First Downs,21,,,,,,
team,201110090htx,rai,Rush-Yds-TDs,22-94-0,,,,,,
team,201110090htx,htx,Rush-Yds-TDs,25-70-0,,,,,,
team,201110090htx,rai,Cmp-Att-Yd-TD-INT,15-35-190-2-1,,,,,,
team,201110090htx,htx,Cmp-Att-Yd-TD-INT,24-51-416-2-2,,,,,,
team,201110090htx,rai,Sacked-Yards,3-6,,,,,,
team,201110090htx,htx,Sacked-Yards,3-13,,,,,,
team,201110090htx,rai,Net Pass Yards,184,,,,,,
team,201110090htx,htx,Net Pass Yards,403,,,,,,
team,201110090htx,rai,Total Yards,278,,,,,,
team,201110090htx,htx,Total Yards,473,,,,,,
team,201110090htx,rai,Fumbles-Lost,1-0,,,,,,
team,201110090htx,htx,Fumbles-Lost,1-0,,,,,,
team,201110090htx,rai,Turnovers,1,,,,,,
team,201110090htx,htx,Turnovers,2,,,,,,
team,201110090htx,rai,Penalties-Yards,11-89,,,,,,
team,201110090htx,htx,Penalties-Yards,6-50,,,,,,
team,201110090htx,rai,Third Down Conv.,3-15,,,,,,
team,201110090htx,htx,Third Down Conv.,8-20,,,,,,
team,201110090htx,rai,Fourth Down Conv.,1-1,,,,,,
team,201110090htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201110090htx,rai,Time of Possession,25:35,,,,,,
team,201110090htx,htx,Time of Possession,34:25,,,,,,
player,201110090htx,rai,CampJa00,pass_cmp,15,,,,,
player,201110090htx,rai,CampJa00,pass_att,35,,,,,
player,201110090htx,rai,CampJa00,pass_yds,190,,,,,
player,201110090htx,rai,CampJa00,pass_td,2,,,,,
player,201110090htx,rai,CampJa00,pass_int,1,,,,,
player,201110090htx,rai,CampJa00,pass_sacked,3,,,,,
player,201110090htx,rai,CampJa00,pass_sacked_yds,6,,,,,
player,201110090htx,rai,CampJa00,pass_long,34,,,,,
player,201110090htx,rai,CampJa00,pass_rating,67.6,,,,,
player,201110090htx,rai,CampJa00,rush_att,0,,,,,
player,201110090htx,rai,CampJa00,rush_yds,0,,,,,
player,201110090htx,rai,CampJa00,rush_td,0,,,,,
player,201110090htx,rai,CampJa00,rush_long,0,,,,,
player,201110090htx,rai,CampJa00,targets,0,,,,,
player,201110090htx,rai,CampJa00,rec,0,,,,,
player,201110090htx,rai,CampJa00,rec_yds,0,,,,,
player,201110090htx,rai,CampJa00,rec_td,0,,,,,
player,201110090htx,rai,CampJa00,rec_long,0,,,,,
player,201110090htx,rai,CampJa00,fumbles,0,,,,,
player,201110090htx,rai,CampJa00,fumbles_lost,,,,,,
player,201110090htx,rai,McFaDa00,pass_cmp,0,,,,,
player,201110090htx,rai,McFaDa00,pass_att,0,,,,,
player,201110090htx,rai,McFaDa00,pass_yds,0,,,,,
player,201110090htx,rai,McFaDa00,pass_td,0,,,,,
player,201110090htx,rai,McFaDa00,pass_int,0,,,,,
player,201110090htx,rai,McFaDa00,pass_sacked,,,,,,
player,201110090htx,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201110090htx,rai,McFaDa00,pass_long,0,,,,,
player,201110090htx,rai,McFaDa00,pass_rating,,,,,,
player,201110090htx,rai,McFaDa00,rush_att,16,,,,,
player,201110090htx,rai,McFaDa00,rush_yds,51,,,,,
player,201110090htx,rai,McFaDa00,rush_td,0,,,,,
player,201110090htx,rai,McFaDa00,rush_long,20,,,,,
player,201110090htx,rai,McFaDa00,targets,3,,,,,
player,201110090htx,rai,McFaDa00,rec,2,,,,,
player,201110090htx,rai,McFaDa00,rec_yds,17,,,,,
player,201110090htx,rai,McFaDa00,rec_td,0,,,,,
player,201110090htx,rai,McFaDa00,rec_long,13,,,,,
player,201110090htx,rai,McFaDa00,fumbles,0,,,,,
player,201110090htx,rai,McFaDa00,fumbles_lost,,,,,,
player,201110090htx,rai,CartRo01,pass_cmp,0,,,,,
player,201110090htx,rai,CartRo01,pass_att,0,,,,,
player,201110090htx,rai,CartRo01,pass_yds,0,,,,,
player,201110090htx,rai,CartRo01,pass_td,0,,,,,
player,201110090htx,rai,CartRo01,pass_int,0,,,,,
player,201110090htx,rai,CartRo01,pass_sacked,,,,,,
player,201110090htx,rai,CartRo01,pass_sacked_yds,0,,,,,
player,201110090htx,rai,CartRo01,pass_long,0,,,,,
player,201110090htx,rai,CartRo01,pass_rating,,,,,,
player,201110090htx,rai,CartRo01,rush_att,1,,,,,
player,201110090htx,rai,CartRo01,rush_yds,35,,,,,
player,201110090htx,rai,CartRo01,rush_td,0,,,,,
player,201110090htx,rai,CartRo01,rush_long,35,,,,,
player,201110090htx,rai,CartRo01,targets,0,,,,,
player,201110090htx,rai,CartRo01,rec,0,,,,,
player,201110090htx,rai,CartRo01,rec_yds,0,,,,,
player,201110090htx,rai,CartRo01,rec_td,0,,,,,
player,201110090htx,rai,CartRo01,rec_long,0,,,,,
player,201110090htx,rai,CartRo01,fumbles,0,,,,,
player,201110090htx,rai,CartRo01,fumbles_lost,,,,,,
player,201110090htx,rai,BushMi00,pass_cmp,0,,,,,
player,201110090htx,rai,BushMi00,pass_att,0,,,,,
player,201110090htx,rai,BushMi00,pass_yds,0,,,,,
player,201110090htx,rai,BushMi00,pass_td,0,,,,,
player,201110090htx,rai,BushMi00,pass_int,0,,,,,
player,201110090htx,rai,BushMi00,pass_sacked,,,,,,
player,201110090htx,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201110090htx,rai,BushMi00,pass_long,0,,,,,
player,201110090htx,rai,BushMi00,pass_rating,,,,,,
player,201110090htx,rai,BushMi00,rush_att,4,,,,,
player,201110090htx,rai,BushMi00,rush_yds,9,,,,,
player,201110090htx,rai,BushMi00,rush_td,0,,,,,
player,201110090htx,rai,BushMi00,rush_long,4,,,,,
player,201110090htx,rai,BushMi00,targets,0,,,,,
player,201110090htx,rai,BushMi00,rec,0,,,,,
player,201110090htx,rai,BushMi00,rec_yds,0,,,,,
player,201110090htx,rai,BushMi00,rec_td,0,,,,,
player,201110090htx,rai,BushMi00,rec_long,0,,,,,
player,201110090htx,rai,BushMi00,fumbles,0,,,,,
player,201110090htx,rai,BushMi00,fumbles_lost,,,,,,
player,201110090htx,rai,HeywDa00,pass_cmp,0,,,,,
player,201110090htx,rai,HeywDa00,pass_att,0,,,,,
player,201110090htx,rai,HeywDa00,pass_yds,0,,,,,
player,201110090htx,rai,HeywDa00,pass_td,0,,,,,
player,201110090htx,rai,HeywDa00,pass_int,0,,,,,
player,201110090htx,rai,HeywDa00,pass_sacked,,,,,,
player,201110090htx,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201110090htx,rai,HeywDa00,pass_long,0,,,,,
