game,2011,8,20111030,201110300car,min,"Minnesota Vikings",24,car,"Carolina Panthers",21
team,201110300car,min,First Downs,22,,,,,,
team,201110300car,car,First Downs,21,,,,,,
team,201110300car,min,Rush-Yds-TDs,33-132-2,,,,,,
team,201110300car,car,Rush-Yds-TDs,27-140-0,,,,,,
team,201110300car,min,Cmp-Att-Yd-TD-INT,18-28-236-1-0,,,,,,
team,201110300car,car,Cmp-Att-Yd-TD-INT,22-35-290-3-0,,,,,,
team,201110300car,min,Sacked-Yards,4-7,,,,,,
team,201110300car,car,Sacked-Yards,3-25,,,,,,
team,201110300car,min,Net Pass Yards,229,,,,,,
team,201110300car,car,Net Pass Yards,265,,,,,,
team,201110300car,min,Total Yards,361,,,,,,
team,201110300car,car,Total Yards,405,,,,,,
team,201110300car,min,Fumbles-Lost,2-1,,,,,,
team,201110300car,car,Fumbles-Lost,3-2,,,,,,
team,201110300car,min,Turnovers,1,,,,,,
team,201110300car,car,Turnovers,2,,,,,,
team,201110300car,min,Penalties-Yards,4-43,,,,,,
team,201110300car,car,Penalties-Yards,6-60,,,,,,
team,201110300car,min,Third Down Conv.,7-14,,,,,,
team,201110300car,car,Third Down Conv.,6-12,,,,,,
team,201110300car,min,Fourth Down Conv.,0-0,,,,,,
team,201110300car,car,Fourth Down Conv.,1-1,,,,,,
team,201110300car,min,Time of Possession,32:05,,,,,,
team,201110300car,car,Time of Possession,27:55,,,,,,
player,201110300car,min,PondCh00,pass_cmp,18,,,,,
player,201110300car,min,PondCh00,pass_att,28,,,,,
player,201110300car,min,PondCh00,pass_yds,236,,,,,
player,201110300car,min,PondCh00,pass_td,1,,,,,
player,201110300car,min,PondCh00,pass_int,0,,,,,
player,201110300car,min,PondCh00,pass_sacked,4,,,,,
player,201110300car,min,PondCh00,pass_sacked_yds,7,,,,,
player,201110300car,min,PondCh00,pass_long,24,,,,,
player,201110300car,min,PondCh00,pass_rating,102.7,,,,,
player,201110300car,min,PondCh00,rush_att,4,,,,,
player,201110300car,min,PondCh00,rush_yds,4,,,,,
player,201110300car,min,PondCh00,rush_td,0,,,,,
player,201110300car,min,PondCh00,rush_long,5,,,,,
player,201110300car,min,PondCh00,targets,0,,,,,
player,201110300car,min,PondCh00,rec,0,,,,,
player,201110300car,min,PondCh00,rec_yds,0,,,,,
player,201110300car,min,PondCh00,rec_td,0,,,,,
player,201110300car,min,PondCh00,rec_long,0,,,,,
player,201110300car,min,PondCh00,fumbles,1,,,,,
player,201110300car,min,PondCh00,fumbles_lost,0,,,,,
player,201110300car,min,PeteAd01,pass_cmp,0,,,,,
player,201110300car,min,PeteAd01,pass_att,0,,,,,
player,201110300car,min,PeteAd01,pass_yds,0,,,,,
player,201110300car,min,PeteAd01,pass_td,0,,,,,
player,201110300car,min,PeteAd01,pass_int,0,,,,,
player,201110300car,min,PeteAd01,pass_sacked,0,,,,,
player,201110300car,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201110300car,min,PeteAd01,pass_long,0,,,,,
player,201110300car,min,PeteAd01,pass_rating,,,,,,
player,201110300car,min,PeteAd01,rush_att,20,,,,,
player,201110300car,min,PeteAd01,rush_yds,83,,,,,
player,201110300car,min,PeteAd01,rush_td,1,,,,,
player,201110300car,min,PeteAd01,rush_long,15,,,,,
player,201110300car,min,PeteAd01,targets,5,,,,,
player,201110300car,min,PeteAd01,rec,5,,,,,
player,201110300car,min,PeteAd01,rec_yds,76,,,,,
player,201110300car,min,PeteAd01,rec_td,1,,,,,
player,201110300car,min,PeteAd01,rec_long,22,,,,,
player,201110300car,min,PeteAd01,fumbles,0,,,,,
player,201110300car,min,PeteAd01,fumbles_lost,,,,,,
player,201110300car,min,GerhTo00,pass_cmp,0,,,,,
player,201110300car,min,GerhTo00,pass_att,0,,,,,
player,201110300car,min,GerhTo00,pass_yds,0,,,,,
player,201110300car,min,GerhTo00,pass_td,0,,,,,
player,201110300car,min,GerhTo00,pass_int,0,,,,,
player,201110300car,min,GerhTo00,pass_sacked,0,,,,,
player,201110300car,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201110300car,min,GerhTo00,pass_long,0,,,,,
player,201110300car,min,GerhTo00,pass_rating,,,,,,
player,201110300car,min,GerhTo00,rush_att,5,,,,,
player,201110300car,min,GerhTo00,rush_yds,26,,,,,
player,201110300car,min,GerhTo00,rush_td,0,,,,,
player,201110300car,min,GerhTo00,rush_long,11,,,,,
player,201110300car,min,GerhTo00,targets,0,,,,,
player,201110300car,min,GerhTo00,rec,0,,,,,
player,201110300car,min,GerhTo00,rec_yds,0,,,,,
player,201110300car,min,GerhTo00,rec_td,0,,,,,
player,201110300car,min,GerhTo00,rec_long,0,,,,,
player,201110300car,min,GerhTo00,fumbles,0,,,,,
player,201110300car,min,GerhTo00,fumbles_lost,,,,,,
player,201110300car,min,HarvPe00,pass_cmp,0,,,,,
player,201110300car,min,HarvPe00,pass_att,0,,,,,
player,201110300car,min,HarvPe00,pass_yds,0,,,,,
player,201110300car,min,HarvPe00,pass_td,0,,,,,
player,201110300car,min,HarvPe00,pass_int,0,,,,,
player,201110300car,min,HarvPe00,pass_sacked,0,,,,,
player,201110300car,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201110300car,min,HarvPe00,pass_long,0,,,,,
player,201110300car,min,HarvPe00,pass_rating,,,,,,
player,201110300car,min,HarvPe00,rush_att,4,,,,,
player,201110300car,min,HarvPe00,rush_yds,19,,,,,
player,201110300car,min,HarvPe00,rush_td,1,,,,,
player,201110300car,min,HarvPe00,rush_long,10,,,,,
player,201110300car,min,HarvPe00,targets,5,,,,,
player,201110300car,min,HarvPe00,rec,4,,,,,
player,201110300car,min,HarvPe00,rec_yds,58,,,,,
player,201110300car,min,HarvPe00,rec_td,0,,,,,
player,201110300car,min,HarvPe00,rec_long,22,,,,,
player,201110300car,min,HarvPe00,fumbles,1,,,,,
player,201110300car,min,HarvPe00,fumbles_lost,1,,,,,
player,201110300car,min,ShiaVi00,pass_cmp,0,,,,,
player,201110300car,min,ShiaVi00,pass_att,0,,,,,
player,201110300car,min,ShiaVi00,pass_yds,0,,,,,
player,201110300car,min,ShiaVi00,pass_td,0,,,,,
player,201110300car,min,ShiaVi00,pass_int,0,,,,,
player,201110300car,min,ShiaVi00,pass_sacked,0,,,,,
player,201110300car,min,ShiaVi00,pass_sacked_yds,0,,,,,
player,201110300car,min,ShiaVi00,pass_long,0,,,,,
player,201110300car,min,ShiaVi00,pass_rating,,,,,,
player,201110300car,min,ShiaVi00,rush_att,0,,,,,
player,201110300car,min,ShiaVi00,rush_yds,0,,,,,
player,201110300car,min,ShiaVi00,rush_td,0,,,,,
player,201110300car,min,ShiaVi00,rush_long,0,,,,,
player,201110300car,min,ShiaVi00,targets,4,,,,,
player,201110300car,min,ShiaVi00,rec,3,,,,,
player,201110300car,min,ShiaVi00,rec_yds,37,,,,,
player,201110300car,min,ShiaVi00,rec_td,0,,,,,
player,201110300car,min,ShiaVi00,rec_long,13,,,,,
player,201110300car,min,ShiaVi00,fumbles,0,,,,,
player,201110300car,min,ShiaVi00,fumbles_lost,,,,,,
player,201110300car,min,JenkMi00,pass_cmp,0,,,,,
player,201110300car,min,JenkMi00,pass_att,0,,,,,
player,201110300car,min,JenkMi00,pass_yds,0,,,,,
player,201110300car,min,JenkMi00,pass_td,0,,,,,
player,201110300car,min,JenkMi00,pass_int,0,,,,,
player,201110300car,min,JenkMi00,pass_sacked,0,,,,,
player,201110300car,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201110300car,min,JenkMi00,pass_long,0,,,,,
player,201110300car,min,JenkMi00,pass_rating,,,,,,
player,201110300car,min,JenkMi00,rush_att,0,,,,,
player,201110300car,min,JenkMi00,rush_yds,0,,,,,
player,201110300car,min,JenkMi00,rush_td,0,,,,,
player,201110300car,min,JenkMi00,rush_long,0,,,,,
player,201110300car,min,JenkMi00,targets,2,,,,,
player,201110300car,min,JenkMi00,rec,2,,,,,
player,201110300car,min,JenkMi00,rec_yds,30,,,,,
player,201110300car,min,JenkMi00,rec_td,0,,,,,
player,201110300car,min,JenkMi00,rec_long,24,,,,,
player,201110300car,min,JenkMi00,fumbles,0,,,,,
player,201110300car,min,JenkMi00,fumbles_lost,,,,,,
player,201110300car,min,AromDe00,pass_cmp,0,,,,,
