game,2011,12,20111124,201111240rav,sfo,"San Francisco 49ers",6,rav,"Baltimore Ravens",16
team,201111240rav,sfo,First Downs,12,,,,,,
team,201111240rav,rav,First Downs,16,,,,,,
team,201111240rav,sfo,Rush-Yds-TDs,21-74-0,,,,,,
team,201111240rav,rav,Rush-Yds-TDs,35-92-0,,,,,,
team,201111240rav,sfo,Cmp-Att-Yd-TD-INT,15-24-140-0-1,,,,,,
team,201111240rav,rav,Cmp-Att-Yd-TD-INT,15-23-161-1-0,,,,,,
team,201111240rav,sfo,Sacked-Yards,9-44,,,,,,
team,201111240rav,rav,Sacked-Yards,0-0,,,,,,
team,201111240rav,sfo,Net Pass Yards,96,,,,,,
team,201111240rav,rav,Net Pass Yards,161,,,,,,
team,201111240rav,sfo,Total Yards,170,,,,,,
team,201111240rav,rav,Total Yards,253,,,,,,
team,201111240rav,sfo,Fumbles-Lost,1-0,,,,,,
team,201111240rav,rav,Fumbles-Lost,0-0,,,,,,
team,201111240rav,sfo,Turnovers,1,,,,,,
team,201111240rav,rav,Turnovers,0,,,,,,
team,201111240rav,sfo,Penalties-Yards,7-97,,,,,,
team,201111240rav,rav,Penalties-Yards,3-20,,,,,,
team,201111240rav,sfo,Third Down Conv.,2-12,,,,,,
team,201111240rav,rav,Third Down Conv.,7-15,,,,,,
team,201111240rav,sfo,Fourth Down Conv.,1-2,,,,,,
team,201111240rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201111240rav,sfo,Time of Possession,28:52,,,,,,
team,201111240rav,rav,Time of Possession,31:08,,,,,,
player,201111240rav,sfo,SmitAl03,pass_cmp,15,,,,,
player,201111240rav,sfo,SmitAl03,pass_att,24,,,,,
player,201111240rav,sfo,SmitAl03,pass_yds,140,,,,,
player,201111240rav,sfo,SmitAl03,pass_td,0,,,,,
player,201111240rav,sfo,SmitAl03,pass_int,1,,,,,
player,201111240rav,sfo,SmitAl03,pass_sacked,9,,,,,
player,201111240rav,sfo,SmitAl03,pass_sacked_yds,44,,,,,
player,201111240rav,sfo,SmitAl03,pass_long,20,,,,,
player,201111240rav,sfo,SmitAl03,pass_rating,61.1,,,,,
player,201111240rav,sfo,SmitAl03,rush_att,2,,,,,
player,201111240rav,sfo,SmitAl03,rush_yds,12,,,,,
player,201111240rav,sfo,SmitAl03,rush_td,0,,,,,
player,201111240rav,sfo,SmitAl03,rush_long,8,,,,,
player,201111240rav,sfo,SmitAl03,targets,0,,,,,
player,201111240rav,sfo,SmitAl03,rec,0,,,,,
player,201111240rav,sfo,SmitAl03,rec_yds,0,,,,,
player,201111240rav,sfo,SmitAl03,rec_td,0,,,,,
player,201111240rav,sfo,SmitAl03,rec_long,0,,,,,
player,201111240rav,sfo,SmitAl03,fumbles,1,,,,,
player,201111240rav,sfo,SmitAl03,fumbles_lost,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_cmp,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_att,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_yds,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_td,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_int,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_sacked,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_long,0,,,,,
player,201111240rav,sfo,GoreFr00,pass_rating,,,,,,
player,201111240rav,sfo,GoreFr00,rush_att,14,,,,,
player,201111240rav,sfo,GoreFr00,rush_yds,39,,,,,
player,201111240rav,sfo,GoreFr00,rush_td,0,,,,,
player,201111240rav,sfo,GoreFr00,rush_long,9,,,,,
player,201111240rav,sfo,GoreFr00,targets,2,,,,,
player,201111240rav,sfo,GoreFr00,rec,1,,,,,
player,201111240rav,sfo,GoreFr00,rec_yds,9,,,,,
player,201111240rav,sfo,GoreFr00,rec_td,0,,,,,
player,201111240rav,sfo,GoreFr00,rec_long,9,,,,,
player,201111240rav,sfo,GoreFr00,fumbles,0,,,,,
player,201111240rav,sfo,GoreFr00,fumbles_lost,,,,,,
player,201111240rav,sfo,HuntKe00,pass_cmp,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_att,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_yds,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_td,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_int,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_sacked,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_long,0,,,,,
player,201111240rav,sfo,HuntKe00,pass_rating,,,,,,
player,201111240rav,sfo,HuntKe00,rush_att,4,,,,,
player,201111240rav,sfo,HuntKe00,rush_yds,14,,,,,
player,201111240rav,sfo,HuntKe00,rush_td,0,,,,,
player,201111240rav,sfo,HuntKe00,rush_long,9,,,,,
player,201111240rav,sfo,HuntKe00,targets,1,,,,,
player,201111240rav,sfo,HuntKe00,rec,1,,,,,
player,201111240rav,sfo,HuntKe00,rec_yds,13,,,,,
player,201111240rav,sfo,HuntKe00,rec_td,0,,,,,
player,201111240rav,sfo,HuntKe00,rec_long,13,,,,,
player,201111240rav,sfo,HuntKe00,fumbles,0,,,,,
player,201111240rav,sfo,HuntKe00,fumbles_lost,,,,,,
player,201111240rav,sfo,GinnTe00,pass_cmp,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_att,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_yds,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_td,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_int,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_sacked,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_sacked_yds,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_long,0,,,,,
player,201111240rav,sfo,GinnTe00,pass_rating,,,,,,
player,201111240rav,sfo,GinnTe00,rush_att,1,,,,,
player,201111240rav,sfo,GinnTe00,rush_yds,9,,,,,
player,201111240rav,sfo,GinnTe00,rush_td,0,,,,,
player,201111240rav,sfo,GinnTe00,rush_long,9,,,,,
player,201111240rav,sfo,GinnTe00,targets,3,,,,,
player,201111240rav,sfo,GinnTe00,rec,2,,,,,
player,201111240rav,sfo,GinnTe00,rec_yds,21,,,,,
player,201111240rav,sfo,GinnTe00,rec_td,0,,,,,
player,201111240rav,sfo,GinnTe00,rec_long,12,,,,,
player,201111240rav,sfo,GinnTe00,fumbles,0,,,,,
player,201111240rav,sfo,GinnTe00,fumbles_lost,,,,,,
player,201111240rav,sfo,CrabMi00,pass_cmp,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_att,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_yds,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_td,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_int,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_sacked,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_long,0,,,,,
player,201111240rav,sfo,CrabMi00,pass_rating,,,,,,
player,201111240rav,sfo,CrabMi00,rush_att,0,,,,,
player,201111240rav,sfo,CrabMi00,rush_yds,0,,,,,
player,201111240rav,sfo,CrabMi00,rush_td,0,,,,,
player,201111240rav,sfo,CrabMi00,rush_long,0,,,,,
player,201111240rav,sfo,CrabMi00,targets,9,,,,,
player,201111240rav,sfo,CrabMi00,rec,6,,,,,
player,201111240rav,sfo,CrabMi00,rec_yds,54,,,,,
player,201111240rav,sfo,CrabMi00,rec_td,0,,,,,
player,201111240rav,sfo,CrabMi00,rec_long,18,,,,,
player,201111240rav,sfo,CrabMi00,fumbles,0,,,,,
player,201111240rav,sfo,CrabMi00,fumbles_lost,,,,,,
player,201111240rav,sfo,DaviVe00,pass_cmp,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_att,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_yds,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_td,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_int,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_sacked,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_long,0,,,,,
player,201111240rav,sfo,DaviVe00,pass_rating,,,,,,
player,201111240rav,sfo,DaviVe00,rush_att,0,,,,,
player,201111240rav,sfo,DaviVe00,rush_yds,0,,,,,
player,201111240rav,sfo,DaviVe00,rush_td,0,,,,,
player,201111240rav,sfo,DaviVe00,rush_long,0,,,,,
player,201111240rav,sfo,DaviVe00,targets,5,,,,,
player,201111240rav,sfo,DaviVe00,rec,4,,,,,
player,201111240rav,sfo,DaviVe00,rec_yds,38,,,,,
