game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,htx,TateBe00,rush_att,13,,,,,
player,201111130tam,htx,TateBe00,rush_yds,63,,,,,
player,201111130tam,htx,TateBe00,rush_td,1,,,,,
player,201111130tam,htx,TateBe00,rush_long,14,,,,,
player,201111130tam,htx,TateBe00,targets,0,,,,,
player,201111130tam,htx,TateBe00,rec,0,,,,,
player,201111130tam,htx,TateBe00,rec_yds,0,,,,,
player,201111130tam,htx,TateBe00,rec_td,0,,,,,
player,201111130tam,htx,TateBe00,rec_long,0,,,,,
player,201111130tam,htx,TateBe00,fumbles,0,,,,,
player,201111130tam,htx,TateBe00,fumbles_lost,,,,,,
player,201111130tam,htx,WardDe01,pass_cmp,0,,,,,
player,201111130tam,htx,WardDe01,pass_att,0,,,,,
player,201111130tam,htx,WardDe01,pass_yds,0,,,,,
player,201111130tam,htx,WardDe01,pass_td,0,,,,,
player,201111130tam,htx,WardDe01,pass_int,0,,,,,
player,201111130tam,htx,WardDe01,pass_sacked,0,,,,,
player,201111130tam,htx,WardDe01,pass_sacked_yds,0,,,,,
player,201111130tam,htx,WardDe01,pass_long,0,,,,,
player,201111130tam,htx,WardDe01,pass_rating,,,,,,
player,201111130tam,htx,WardDe01,rush_att,11,,,,,
player,201111130tam,htx,WardDe01,rush_yds,36,,,,,
player,201111130tam,htx,WardDe01,rush_td,1,,,,,
player,201111130tam,htx,WardDe01,rush_long,9,,,,,
player,201111130tam,htx,WardDe01,targets,0,,,,,
player,201111130tam,htx,WardDe01,rec,0,,,,,
player,201111130tam,htx,WardDe01,rec_yds,0,,,,,
player,201111130tam,htx,WardDe01,rec_td,0,,,,,
player,201111130tam,htx,WardDe01,rec_long,0,,,,,
player,201111130tam,htx,WardDe01,fumbles,0,,,,,
player,201111130tam,htx,WardDe01,fumbles_lost,,,,,,
player,201111130tam,htx,JoneJa03,pass_cmp,0,,,,,
player,201111130tam,htx,JoneJa03,pass_att,0,,,,,
player,201111130tam,htx,JoneJa03,pass_yds,0,,,,,
player,201111130tam,htx,JoneJa03,pass_td,0,,,,,
player,201111130tam,htx,JoneJa03,pass_int,0,,,,,
player,201111130tam,htx,JoneJa03,pass_sacked,0,,,,,
player,201111130tam,htx,JoneJa03,pass_sacked_yds,0,,,,,
