game,2011,14,20111211,201112110nyj,kan,"Kansas City Chiefs",10,nyj,"New York Jets",37
team,201112110nyj,kan,First Downs,13,,,,,,
team,201112110nyj,nyj,First Downs,24,,,,,,
team,201112110nyj,kan,Rush-Yds-TDs,21-65-0,,,,,,
team,201112110nyj,nyj,Rush-Yds-TDs,42-159-3,,,,,,
team,201112110nyj,kan,Cmp-Att-Yd-TD-INT,16-32-195-1-1,,,,,,
team,201112110nyj,nyj,Cmp-Att-Yd-TD-INT,13-21-181-2-0,,,,,,
team,201112110nyj,kan,Sacked-Yards,5-39,,,,,,
team,201112110nyj,nyj,Sacked-Yards,3-26,,,,,,
team,201112110nyj,kan,Net Pass Yards,156,,,,,,
team,201112110nyj,nyj,Net Pass Yards,155,,,,,,
team,201112110nyj,kan,Total Yards,221,,,,,,
team,201112110nyj,nyj,Total Yards,314,,,,,,
team,201112110nyj,kan,Fumbles-Lost,1-0,,,,,,
team,201112110nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201112110nyj,kan,Turnovers,1,,,,,,
team,201112110nyj,nyj,Turnovers,1,,,,,,
team,201112110nyj,kan,Penalties-Yards,11-128,,,,,,
team,201112110nyj,nyj,Penalties-Yards,4-22,,,,,,
team,201112110nyj,kan,Third Down Conv.,2-12,,,,,,
team,201112110nyj,nyj,Third Down Conv.,4-12,,,,,,
team,201112110nyj,kan,Fourth Down Conv.,0-1,,,,,,
team,201112110nyj,nyj,Fourth Down Conv.,0-1,,,,,,
team,201112110nyj,kan,Time of Possession,22:18,,,,,,
team,201112110nyj,nyj,Time of Possession,37:42,,,,,,
player,201112110nyj,kan,PalkTy00,pass_cmp,16,,,,,
player,201112110nyj,kan,PalkTy00,pass_att,32,,,,,
player,201112110nyj,kan,PalkTy00,pass_yds,195,,,,,
player,201112110nyj,kan,PalkTy00,pass_td,1,,,,,
player,201112110nyj,kan,PalkTy00,pass_int,1,,,,,
player,201112110nyj,kan,PalkTy00,pass_sacked,5,,,,,
player,201112110nyj,kan,PalkTy00,pass_sacked_yds,39,,,,,
player,201112110nyj,kan,PalkTy00,pass_long,24,,,,,
player,201112110nyj,kan,PalkTy00,pass_rating,66.5,,,,,
player,201112110nyj,kan,PalkTy00,rush_att,1,,,,,
player,201112110nyj,kan,PalkTy00,rush_yds,12,,,,,
player,201112110nyj,kan,PalkTy00,rush_td,0,,,,,
player,201112110nyj,kan,PalkTy00,rush_long,12,,,,,
player,201112110nyj,kan,PalkTy00,targets,0,,,,,
player,201112110nyj,kan,PalkTy00,rec,0,,,,,
player,201112110nyj,kan,PalkTy00,rec_yds,0,,,,,
player,201112110nyj,kan,PalkTy00,rec_td,0,,,,,
player,201112110nyj,kan,PalkTy00,rec_long,0,,,,,
player,201112110nyj,kan,PalkTy00,fumbles,0,,,,,
player,201112110nyj,kan,PalkTy00,fumbles_lost,,,,,,
player,201112110nyj,kan,BattJa00,pass_cmp,0,,,,,
player,201112110nyj,kan,BattJa00,pass_att,0,,,,,
player,201112110nyj,kan,BattJa00,pass_yds,0,,,,,
player,201112110nyj,kan,BattJa00,pass_td,0,,,,,
player,201112110nyj,kan,BattJa00,pass_int,0,,,,,
player,201112110nyj,kan,BattJa00,pass_sacked,0,,,,,
player,201112110nyj,kan,BattJa00,pass_sacked_yds,0,,,,,
player,201112110nyj,kan,BattJa00,pass_long,0,,,,,
player,201112110nyj,kan,BattJa00,pass_rating,,,,,,
player,201112110nyj,kan,BattJa00,rush_att,10,,,,,
player,201112110nyj,kan,BattJa00,rush_yds,33,,,,,
player,201112110nyj,kan,BattJa00,rush_td,0,,,,,
player,201112110nyj,kan,BattJa00,rush_long,11,,,,,
player,201112110nyj,kan,BattJa00,targets,2,,,,,
player,201112110nyj,kan,BattJa00,rec,2,,,,,
player,201112110nyj,kan,BattJa00,rec_yds,26,,,,,
player,201112110nyj,kan,BattJa00,rec_td,0,,,,,
player,201112110nyj,kan,BattJa00,rec_long,24,,,,,
player,201112110nyj,kan,BattJa00,fumbles,0,,,,,
player,201112110nyj,kan,BattJa00,fumbles_lost,,,,,,
player,201112110nyj,kan,JoneTh00,pass_cmp,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_att,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_yds,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_td,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_int,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_sacked,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_long,0,,,,,
player,201112110nyj,kan,JoneTh00,pass_rating,,,,,,
player,201112110nyj,kan,JoneTh00,rush_att,5,,,,,
player,201112110nyj,kan,JoneTh00,rush_yds,12,,,,,
player,201112110nyj,kan,JoneTh00,rush_td,0,,,,,
player,201112110nyj,kan,JoneTh00,rush_long,4,,,,,
player,201112110nyj,kan,JoneTh00,targets,0,,,,,
player,201112110nyj,kan,JoneTh00,rec,0,,,,,
player,201112110nyj,kan,JoneTh00,rec_yds,0,,,,,
player,201112110nyj,kan,JoneTh00,rec_td,0,,,,,
player,201112110nyj,kan,JoneTh00,rec_long,0,,,,,
player,201112110nyj,kan,JoneTh00,fumbles,0,,,,,
player,201112110nyj,kan,JoneTh00,fumbles_lost,,,,,,
player,201112110nyj,kan,UrbaJe00,pass_cmp,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_att,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_yds,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_td,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_int,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_sacked,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_sacked_yds,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_long,0,,,,,
player,201112110nyj,kan,UrbaJe00,pass_rating,,,,,,
player,201112110nyj,kan,UrbaJe00,rush_att,1,,,,,
player,201112110nyj,kan,UrbaJe00,rush_yds,7,,,,,
player,201112110nyj,kan,UrbaJe00,rush_td,0,,,,,
player,201112110nyj,kan,UrbaJe00,rush_long,7,,,,,
player,201112110nyj,kan,UrbaJe00,targets,6,,,,,
player,201112110nyj,kan,UrbaJe00,rec,2,,,,,
player,201112110nyj,kan,UrbaJe00,rec_yds,28,,,,,
player,201112110nyj,kan,UrbaJe00,rec_td,1,,,,,
player,201112110nyj,kan,UrbaJe00,rec_long,24,,,,,
player,201112110nyj,kan,UrbaJe00,fumbles,0,,,,,
player,201112110nyj,kan,UrbaJe00,fumbles_lost,,,,,,
player,201112110nyj,kan,McClDe00,pass_cmp,0,,,,,
player,201112110nyj,kan,McClDe00,pass_att,0,,,,,
player,201112110nyj,kan,McClDe00,pass_yds,0,,,,,
player,201112110nyj,kan,McClDe00,pass_td,0,,,,,
player,201112110nyj,kan,McClDe00,pass_int,0,,,,,
player,201112110nyj,kan,McClDe00,pass_sacked,0,,,,,
player,201112110nyj,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201112110nyj,kan,McClDe00,pass_long,0,,,,,
player,201112110nyj,kan,McClDe00,pass_rating,,,,,,
player,201112110nyj,kan,McClDe00,rush_att,4,,,,,
player,201112110nyj,kan,McClDe00,rush_yds,1,,,,,
player,201112110nyj,kan,McClDe00,rush_td,0,,,,,
player,201112110nyj,kan,McClDe00,rush_long,2,,,,,
player,201112110nyj,kan,McClDe00,targets,2,,,,,
player,201112110nyj,kan,McClDe00,rec,0,,,,,
player,201112110nyj,kan,McClDe00,rec_yds,0,,,,,
player,201112110nyj,kan,McClDe00,rec_td,0,,,,,
player,201112110nyj,kan,McClDe00,rec_long,0,,,,,
player,201112110nyj,kan,McClDe00,fumbles,1,,,,,
player,201112110nyj,kan,McClDe00,fumbles_lost,0,,,,,
