game,2011,17,20120101,201201010den,kan,"Kansas City Chiefs",7,den,"Denver Broncos",3
team,201201010den,kan,First Downs,14,,,,,,
team,201201010den,den,First Downs,16,,,,,,
team,201201010den,kan,Rush-Yds-TDs,30-106-1,,,,,,
team,201201010den,den,Rush-Yds-TDs,47-216-0,,,,,,
team,201201010den,kan,Cmp-Att-Yd-TD-INT,15-29-180-0-0,,,,,,
team,201201010den,den,Cmp-Att-Yd-TD-INT,6-22-60-0-1,,,,,,
team,201201010den,kan,Sacked-Yards,1-5,,,,,,
team,201201010den,den,Sacked-Yards,2-10,,,,,,
team,201201010den,kan,Net Pass Yards,175,,,,,,
team,201201010den,den,Net Pass Yards,50,,,,,,
team,201201010den,kan,Total Yards,281,,,,,,
team,201201010den,den,Total Yards,266,,,,,,
team,201201010den,kan,Fumbles-Lost,1-1,,,,,,
team,201201010den,den,Fumbles-Lost,1-1,,,,,,
team,201201010den,kan,Turnovers,1,,,,,,
team,201201010den,den,Turnovers,2,,,,,,
team,201201010den,kan,Penalties-Yards,6-36,,,,,,
team,201201010den,den,Penalties-Yards,6-49,,,,,,
team,201201010den,kan,Third Down Conv.,5-15,,,,,,
team,201201010den,den,Third Down Conv.,5-18,,,,,,
team,201201010den,kan,Fourth Down Conv.,0-0,,,,,,
team,201201010den,den,Fourth Down Conv.,0-1,,,,,,
team,201201010den,kan,Time of Possession,27:02,,,,,,
team,201201010den,den,Time of Possession,32:58,,,,,,
player,201201010den,kan,OrtoKy00,pass_cmp,15,,,,,
player,201201010den,kan,OrtoKy00,pass_att,29,,,,,
player,201201010den,kan,OrtoKy00,pass_yds,180,,,,,
player,201201010den,kan,OrtoKy00,pass_td,0,,,,,
player,201201010den,kan,OrtoKy00,pass_int,0,,,,,
player,201201010den,kan,OrtoKy00,pass_sacked,1,,,,,
player,201201010den,kan,OrtoKy00,pass_sacked_yds,5,,,,,
player,201201010den,kan,OrtoKy00,pass_long,22,,,,,
player,201201010den,kan,OrtoKy00,pass_rating,71.0,,,,,
player,201201010den,kan,OrtoKy00,rush_att,1,,,,,
player,201201010den,kan,OrtoKy00,rush_yds,-1,,,,,
player,201201010den,kan,OrtoKy00,rush_td,0,,,,,
player,201201010den,kan,OrtoKy00,rush_long,-1,,,,,
player,201201010den,kan,OrtoKy00,targets,0,,,,,
player,201201010den,kan,OrtoKy00,rec,0,,,,,
player,201201010den,kan,OrtoKy00,rec_yds,0,,,,,
player,201201010den,kan,OrtoKy00,rec_td,0,,,,,
player,201201010den,kan,OrtoKy00,rec_long,0,,,,,
player,201201010den,kan,OrtoKy00,fumbles,0,,,,,
player,201201010den,kan,OrtoKy00,fumbles_lost,,,,,,
player,201201010den,kan,McClDe00,pass_cmp,0,,,,,
player,201201010den,kan,McClDe00,pass_att,0,,,,,
player,201201010den,kan,McClDe00,pass_yds,0,,,,,
player,201201010den,kan,McClDe00,pass_td,0,,,,,
player,201201010den,kan,McClDe00,pass_int,0,,,,,
player,201201010den,kan,McClDe00,pass_sacked,0,,,,,
player,201201010den,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201201010den,kan,McClDe00,pass_long,0,,,,,
player,201201010den,kan,McClDe00,pass_rating,,,,,,
player,201201010den,kan,McClDe00,rush_att,12,,,,,
player,201201010den,kan,McClDe00,rush_yds,61,,,,,
player,201201010den,kan,McClDe00,rush_td,1,,,,,
player,201201010den,kan,McClDe00,rush_long,21,,,,,
player,201201010den,kan,McClDe00,targets,6,,,,,
player,201201010den,kan,McClDe00,rec,3,,,,,
player,201201010den,kan,McClDe00,rec_yds,25,,,,,
player,201201010den,kan,McClDe00,rec_td,0,,,,,
player,201201010den,kan,McClDe00,rec_long,19,,,,,
player,201201010den,kan,McClDe00,fumbles,0,,,,,
player,201201010den,kan,McClDe00,fumbles_lost,,,,,,
player,201201010den,kan,JoneTh00,pass_cmp,0,,,,,
player,201201010den,kan,JoneTh00,pass_att,0,,,,,
player,201201010den,kan,JoneTh00,pass_yds,0,,,,,
player,201201010den,kan,JoneTh00,pass_td,0,,,,,
player,201201010den,kan,JoneTh00,pass_int,0,,,,,
player,201201010den,kan,JoneTh00,pass_sacked,0,,,,,
player,201201010den,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201201010den,kan,JoneTh00,pass_long,0,,,,,
player,201201010den,kan,JoneTh00,pass_rating,,,,,,
player,201201010den,kan,JoneTh00,rush_att,15,,,,,
player,201201010den,kan,JoneTh00,rush_yds,42,,,,,
player,201201010den,kan,JoneTh00,rush_td,0,,,,,
player,201201010den,kan,JoneTh00,rush_long,8,,,,,
player,201201010den,kan,JoneTh00,targets,1,,,,,
player,201201010den,kan,JoneTh00,rec,0,,,,,
player,201201010den,kan,JoneTh00,rec_yds,0,,,,,
player,201201010den,kan,JoneTh00,rec_td,0,,,,,
player,201201010den,kan,JoneTh00,rec_long,0,,,,,
player,201201010den,kan,JoneTh00,fumbles,0,,,,,
player,201201010den,kan,JoneTh00,fumbles_lost,,,,,,
