game,2011,15,20111218,201112180crd,cle,"Cleveland Browns",17,crd,"Arizona Cardinals",20
team,201112180crd,cle,First Downs,16,,,,,,
team,201112180crd,crd,First Downs,24,,,,,,
team,201112180crd,cle,Rush-Yds-TDs,29-120-1,,,,,,
team,201112180crd,crd,Rush-Yds-TDs,24-74-1,,,,,,
team,201112180crd,cle,Cmp-Att-Yd-TD-INT,18-31-226-1-0,,,,,,
team,201112180crd,crd,Cmp-Att-Yd-TD-INT,28-46-313-1-1,,,,,,
team,201112180crd,cle,Sacked-Yards,2-13,,,,,,
team,201112180crd,crd,Sacked-Yards,4-24,,,,,,
team,201112180crd,cle,Net Pass Yards,213,,,,,,
team,201112180crd,crd,Net Pass Yards,289,,,,,,
team,201112180crd,cle,Total Yards,333,,,,,,
team,201112180crd,crd,Total Yards,363,,,,,,
team,201112180crd,cle,Fumbles-Lost,1-1,,,,,,
team,201112180crd,crd,Fumbles-Lost,0-0,,,,,,
team,201112180crd,cle,Turnovers,1,,,,,,
team,201112180crd,crd,Turnovers,1,,,,,,
team,201112180crd,cle,Penalties-Yards,9-74,,,,,,
team,201112180crd,crd,Penalties-Yards,2-13,,,,,,
team,201112180crd,cle,Third Down Conv.,5-14,,,,,,
team,201112180crd,crd,Third Down Conv.,8-16,,,,,,
team,201112180crd,cle,Fourth Down Conv.,0-0,,,,,,
team,201112180crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201112180crd,cle,Time of Possession,31:22,,,,,,
team,201112180crd,crd,Time of Possession,32:42,,,,,,
player,201112180crd,cle,WallSe00,pass_cmp,18,,,,,
player,201112180crd,cle,WallSe00,pass_att,31,,,,,
player,201112180crd,cle,WallSe00,pass_yds,226,,,,,
player,201112180crd,cle,WallSe00,pass_td,1,,,,,
player,201112180crd,cle,WallSe00,pass_int,0,,,,,
player,201112180crd,cle,WallSe00,pass_sacked,2,,,,,
player,201112180crd,cle,WallSe00,pass_sacked_yds,13,,,,,
player,201112180crd,cle,WallSe00,pass_long,76,,,,,
player,201112180crd,cle,WallSe00,pass_rating,91.6,,,,,
player,201112180crd,cle,WallSe00,rush_att,3,,,,,
player,201112180crd,cle,WallSe00,rush_yds,21,,,,,
player,201112180crd,cle,WallSe00,rush_td,0,,,,,
player,201112180crd,cle,WallSe00,rush_long,15,,,,,
player,201112180crd,cle,WallSe00,targets,0,,,,,
player,201112180crd,cle,WallSe00,rec,0,,,,,
player,201112180crd,cle,WallSe00,rec_yds,0,,,,,
player,201112180crd,cle,WallSe00,rec_td,0,,,,,
player,201112180crd,cle,WallSe00,rec_long,0,,,,,
player,201112180crd,cle,WallSe00,fumbles,1,,,,,
player,201112180crd,cle,WallSe00,fumbles_lost,1,,,,,
player,201112180crd,cle,HillPe00,pass_cmp,0,,,,,
player,201112180crd,cle,HillPe00,pass_att,0,,,,,
player,201112180crd,cle,HillPe00,pass_yds,0,,,,,
player,201112180crd,cle,HillPe00,pass_td,0,,,,,
player,201112180crd,cle,HillPe00,pass_int,0,,,,,
player,201112180crd,cle,HillPe00,pass_sacked,0,,,,,
player,201112180crd,cle,HillPe00,pass_sacked_yds,0,,,,,
player,201112180crd,cle,HillPe00,pass_long,0,,,,,
player,201112180crd,cle,HillPe00,pass_rating,,,,,,
player,201112180crd,cle,HillPe00,rush_att,26,,,,,
player,201112180crd,cle,HillPe00,rush_yds,99,,,,,
player,201112180crd,cle,HillPe00,rush_td,1,,,,,
player,201112180crd,cle,HillPe00,rush_long,18,,,,,
player,201112180crd,cle,HillPe00,targets,3,,,,,
