game,2011,9,20111106,201111060pit,rav,"Baltimore Ravens",23,pit,"Pittsburgh Steelers",20
team,201111060pit,rav,First Downs,23,,,,,,
team,201111060pit,pit,First Downs,20,,,,,,
team,201111060pit,rav,Rush-Yds-TDs,27-67-1,,,,,,
team,201111060pit,pit,Rush-Yds-TDs,20-70-1,,,,,,
team,201111060pit,rav,Cmp-Att-Yd-TD-INT,28-47-300-1-0,,,,,,
team,201111060pit,pit,Cmp-Att-Yd-TD-INT,20-37-330-1-1,,,,,,
team,201111060pit,rav,Sacked-Yards,3-11,,,,,,
team,201111060pit,pit,Sacked-Yards,1-8,,,,,,
team,201111060pit,rav,Net Pass Yards,289,,,,,,
team,201111060pit,pit,Net Pass Yards,322,,,,,,
team,201111060pit,rav,Total Yards,356,,,,,,
team,201111060pit,pit,Total Yards,392,,,,,,
team,201111060pit,rav,Fumbles-Lost,2-1,,,,,,
team,201111060pit,pit,Fumbles-Lost,1-1,,,,,,
team,201111060pit,rav,Turnovers,1,,,,,,
team,201111060pit,pit,Turnovers,2,,,,,,
team,201111060pit,rav,Penalties-Yards,3-20,,,,,,
team,201111060pit,pit,Penalties-Yards,6-69,,,,,,
team,201111060pit,rav,Third Down Conv.,14-21,,,,,,
team,201111060pit,pit,Third Down Conv.,7-12,,,,,,
team,201111060pit,rav,Fourth Down Conv.,1-1,,,,,,
team,201111060pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201111060pit,rav,Time of Possession,33:59,,,,,,
team,201111060pit,pit,Time of Possession,26:01,,,,,,
player,201111060pit,rav,FlacJo00,pass_cmp,28,,,,,
player,201111060pit,rav,FlacJo00,pass_att,47,,,,,
player,201111060pit,rav,FlacJo00,pass_yds,300,,,,,
player,201111060pit,rav,FlacJo00,pass_td,1,,,,,
player,201111060pit,rav,FlacJo00,pass_int,0,,,,,
player,201111060pit,rav,FlacJo00,pass_sacked,3,,,,,
player,201111060pit,rav,FlacJo00,pass_sacked_yds,11,,,,,
player,201111060pit,rav,FlacJo00,pass_long,29,,,,,
player,201111060pit,rav,FlacJo00,pass_rating,85.4,,,,,
player,201111060pit,rav,FlacJo00,rush_att,0,,,,,
player,201111060pit,rav,FlacJo00,rush_yds,0,,,,,
