game,2011,14,20111211,201112110mia,phi,"Philadelphia Eagles",26,mia,"Miami Dolphins",10
team,201112110mia,phi,First Downs,18,,,,,,
team,201112110mia,mia,First Downs,11,,,,,,
team,201112110mia,phi,Rush-Yds-TDs,32-51-2,,,,,,
team,201112110mia,mia,Rush-Yds-TDs,26-109-0,,,,,,
team,201112110mia,phi,Cmp-Att-Yd-TD-INT,15-30-208-1-1,,,,,,
team,201112110mia,mia,Cmp-Att-Yd-TD-INT,17-29-155-1-1,,,,,,
team,201112110mia,phi,Sacked-Yards,4-20,,,,,,
team,201112110mia,mia,Sacked-Yards,9-60,,,,,,
team,201112110mia,phi,Net Pass Yards,188,,,,,,
team,201112110mia,mia,Net Pass Yards,95,,,,,,
team,201112110mia,phi,Total Yards,239,,,,,,
team,201112110mia,mia,Total Yards,204,,,,,,
team,201112110mia,phi,Fumbles-Lost,1-1,,,,,,
team,201112110mia,mia,Fumbles-Lost,3-2,,,,,,
team,201112110mia,phi,Turnovers,2,,,,,,
team,201112110mia,mia,Turnovers,3,,,,,,
team,201112110mia,phi,Penalties-Yards,7-69,,,,,,
team,201112110mia,mia,Penalties-Yards,7-81,,,,,,
team,201112110mia,phi,Third Down Conv.,4-15,,,,,,
team,201112110mia,mia,Third Down Conv.,3-15,,,,,,
team,201112110mia,phi,Fourth Down Conv.,0-0,,,,,,
team,201112110mia,mia,Fourth Down Conv.,0-3,,,,,,
team,201112110mia,phi,Time of Possession,31:21,,,,,,
team,201112110mia,mia,Time of Possession,28:39,,,,,,
player,201112110mia,phi,VickMi00,pass_cmp,15,,,,,
player,201112110mia,phi,VickMi00,pass_att,30,,,,,
player,201112110mia,phi,VickMi00,pass_yds,208,,,,,
player,201112110mia,phi,VickMi00,pass_td,1,,,,,
player,201112110mia,phi,VickMi00,pass_int,1,,,,,
player,201112110mia,phi,VickMi00,pass_sacked,4,,,,,
player,201112110mia,phi,VickMi00,pass_sacked_yds,20,,,,,
player,201112110mia,phi,VickMi00,pass_long,34,,,,,
player,201112110mia,phi,VickMi00,pass_rating,69.9,,,,,
player,201112110mia,phi,VickMi00,rush_att,2,,,,,
player,201112110mia,phi,VickMi00,rush_yds,9,,,,,
player,201112110mia,phi,VickMi00,rush_td,0,,,,,
player,201112110mia,phi,VickMi00,rush_long,5,,,,,
player,201112110mia,phi,VickMi00,targets,0,,,,,
player,201112110mia,phi,VickMi00,rec,0,,,,,
player,201112110mia,phi,VickMi00,rec_yds,0,,,,,
player,201112110mia,phi,VickMi00,rec_td,0,,,,,
player,201112110mia,phi,VickMi00,rec_long,0,,,,,
player,201112110mia,phi,VickMi00,fumbles,0,,,,,
player,201112110mia,phi,VickMi00,fumbles_lost,,,,,,
player,201112110mia,phi,McCoLe01,pass_cmp,0,,,,,
player,201112110mia,phi,McCoLe01,pass_att,0,,,,,
player,201112110mia,phi,McCoLe01,pass_yds,0,,,,,
player,201112110mia,phi,McCoLe01,pass_td,0,,,,,
player,201112110mia,phi,McCoLe01,pass_int,0,,,,,
player,201112110mia,phi,McCoLe01,pass_sacked,0,,,,,
player,201112110mia,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201112110mia,phi,McCoLe01,pass_long,0,,,,,
player,201112110mia,phi,McCoLe01,pass_rating,,,,,,
player,201112110mia,phi,McCoLe01,rush_att,27,,,,,
player,201112110mia,phi,McCoLe01,rush_yds,38,,,,,
player,201112110mia,phi,McCoLe01,rush_td,2,,,,,
player,201112110mia,phi,McCoLe01,rush_long,11,,,,,
player,201112110mia,phi,McCoLe01,targets,6,,,,,
player,201112110mia,phi,McCoLe01,rec,3,,,,,
player,201112110mia,phi,McCoLe01,rec_yds,33,,,,,
player,201112110mia,phi,McCoLe01,rec_td,0,,,,,
player,201112110mia,phi,McCoLe01,rec_long,26,,,,,
player,201112110mia,phi,McCoLe01,fumbles,0,,,,,
player,201112110mia,phi,McCoLe01,fumbles_lost,,,,,,
player,201112110mia,phi,BrowRo05,pass_cmp,0,,,,,
player,201112110mia,phi,BrowRo05,pass_att,0,,,,,
player,201112110mia,phi,BrowRo05,pass_yds,0,,,,,
player,201112110mia,phi,BrowRo05,pass_td,0,,,,,
player,201112110mia,phi,BrowRo05,pass_int,0,,,,,
player,201112110mia,phi,BrowRo05,pass_sacked,0,,,,,
player,201112110mia,phi,BrowRo05,pass_sacked_yds,0,,,,,
player,201112110mia,phi,BrowRo05,pass_long,0,,,,,
player,201112110mia,phi,BrowRo05,pass_rating,,,,,,
player,201112110mia,phi,BrowRo05,rush_att,3,,,,,
player,201112110mia,phi,BrowRo05,rush_yds,4,,,,,
player,201112110mia,phi,BrowRo05,rush_td,0,,,,,
