game,2011,8,20111030,201110300phi,dal,"Dallas Cowboys",7,phi,"Philadelphia Eagles",34
team,201110300phi,dal,First Downs,12,,,,,,
team,201110300phi,phi,First Downs,31,,,,,,
team,201110300phi,dal,Rush-Yds-TDs,10-85-0,,,,,,
team,201110300phi,phi,Rush-Yds-TDs,38-239-2,,,,,,
team,201110300phi,dal,Cmp-Att-Yd-TD-INT,18-35-203-1-1,,,,,,
team,201110300phi,phi,Cmp-Att-Yd-TD-INT,21-28-279-2-0,,,,,,
team,201110300phi,dal,Sacked-Yards,4-21,,,,,,
team,201110300phi,phi,Sacked-Yards,4-23,,,,,,
team,201110300phi,dal,Net Pass Yards,182,,,,,,
team,201110300phi,phi,Net Pass Yards,256,,,,,,
team,201110300phi,dal,Total Yards,267,,,,,,
team,201110300phi,phi,Total Yards,495,,,,,,
team,201110300phi,dal,Fumbles-Lost,0-0,,,,,,
team,201110300phi,phi,Fumbles-Lost,2-0,,,,,,
team,201110300phi,dal,Turnovers,1,,,,,,
team,201110300phi,phi,Turnovers,0,,,,,,
team,201110300phi,dal,Penalties-Yards,3-20,,,,,,
team,201110300phi,phi,Penalties-Yards,6-33,,,,,,
team,201110300phi,dal,Third Down Conv.,3-10,,,,,,
team,201110300phi,phi,Third Down Conv.,7-12,,,,,,
team,201110300phi,dal,Fourth Down Conv.,1-2,,,,,,
team,201110300phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201110300phi,dal,Time of Possession,17:51,,,,,,
team,201110300phi,phi,Time of Possession,42:09,,,,,,
player,201110300phi,dal,RomoTo00,pass_cmp,18,,,,,
player,201110300phi,dal,RomoTo00,pass_att,35,,,,,
player,201110300phi,dal,RomoTo00,pass_yds,203,,,,,
player,201110300phi,dal,RomoTo00,pass_td,1,,,,,
player,201110300phi,dal,RomoTo00,pass_int,1,,,,,
player,201110300phi,dal,RomoTo00,pass_sacked,4,,,,,
player,201110300phi,dal,RomoTo00,pass_sacked_yds,21,,,,,
player,201110300phi,dal,RomoTo00,pass_long,70,,,,,
player,201110300phi,dal,RomoTo00,pass_rating,66.7,,,,,
player,201110300phi,dal,RomoTo00,rush_att,1,,,,,
player,201110300phi,dal,RomoTo00,rush_yds,9,,,,,
player,201110300phi,dal,RomoTo00,rush_td,0,,,,,
player,201110300phi,dal,RomoTo00,rush_long,9,,,,,
player,201110300phi,dal,RomoTo00,targets,0,,,,,
player,201110300phi,dal,RomoTo00,rec,0,,,,,
player,201110300phi,dal,RomoTo00,rec_yds,0,,,,,
player,201110300phi,dal,RomoTo00,rec_td,0,,,,,
player,201110300phi,dal,RomoTo00,rec_long,0,,,,,
player,201110300phi,dal,RomoTo00,fumbles,0,,,,,
player,201110300phi,dal,RomoTo00,fumbles_lost,,,,,,
player,201110300phi,dal,MurrDe00,pass_cmp,0,,,,,
player,201110300phi,dal,MurrDe00,pass_att,0,,,,,
player,201110300phi,dal,MurrDe00,pass_yds,0,,,,,
player,201110300phi,dal,MurrDe00,pass_td,0,,,,,
player,201110300phi,dal,MurrDe00,pass_int,0,,,,,
player,201110300phi,dal,MurrDe00,pass_sacked,0,,,,,
player,201110300phi,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201110300phi,dal,MurrDe00,pass_long,0,,,,,
