game,2011,6,20111016,201110160det,sfo,"San Francisco 49ers",25,det,"Detroit Lions",19
team,201110160det,sfo,First Downs,14,,,,,,
team,201110160det,det,First Downs,21,,,,,,
team,201110160det,sfo,Rush-Yds-TDs,29-203-1,,,,,,
team,201110160det,det,Rush-Yds-TDs,18-66-0,,,,,,
team,201110160det,sfo,Cmp-Att-Yd-TD-INT,17-32-125-1-1,,,,,,
team,201110160det,det,Cmp-Att-Yd-TD-INT,28-50-293-2-0,,,,,,
team,201110160det,sfo,Sacked-Yards,2-14,,,,,,
team,201110160det,det,Sacked-Yards,5-49,,,,,,
team,201110160det,sfo,Net Pass Yards,111,,,,,,
team,201110160det,det,Net Pass Yards,244,,,,,,
team,201110160det,sfo,Total Yards,314,,,,,,
team,201110160det,det,Total Yards,310,,,,,,
team,201110160det,sfo,Fumbles-Lost,1-1,,,,,,
team,201110160det,det,Fumbles-Lost,2-0,,,,,,
team,201110160det,sfo,Turnovers,2,,,,,,
team,201110160det,det,Turnovers,0,,,,,,
team,201110160det,sfo,Penalties-Yards,15-120,,,,,,
team,201110160det,det,Penalties-Yards,6-54,,,,,,
team,201110160det,sfo,Third Down Conv.,2-14,,,,,,
team,201110160det,det,Third Down Conv.,2-15,,,,,,
team,201110160det,sfo,Fourth Down Conv.,1-1,,,,,,
team,201110160det,det,Fourth Down Conv.,1-2,,,,,,
team,201110160det,sfo,Time of Possession,29:39,,,,,,
team,201110160det,det,Time of Possession,30:21,,,,,,
player,201110160det,sfo,SmitAl03,pass_cmp,17,,,,,
player,201110160det,sfo,SmitAl03,pass_att,32,,,,,
player,201110160det,sfo,SmitAl03,pass_yds,125,,,,,
player,201110160det,sfo,SmitAl03,pass_td,1,,,,,
player,201110160det,sfo,SmitAl03,pass_int,1,,,,,
player,201110160det,sfo,SmitAl03,pass_sacked,2,,,,,
player,201110160det,sfo,SmitAl03,pass_sacked_yds,14,,,,,
player,201110160det,sfo,SmitAl03,pass_long,27,,,,,
player,201110160det,sfo,SmitAl03,pass_rating,60.0,,,,,
player,201110160det,sfo,SmitAl03,rush_att,2,,,,,
player,201110160det,sfo,SmitAl03,rush_yds,5,,,,,
player,201110160det,sfo,SmitAl03,rush_td,0,,,,,
