game,2011,15,20111218,201112180phi,nyj,"New York Jets",19,phi,"Philadelphia Eagles",45
team,201112180phi,nyj,First Downs,13,,,,,,
team,201112180phi,phi,First Downs,20,,,,,,
team,201112180phi,nyj,Rush-Yds-TDs,27-94-0,,,,,,
team,201112180phi,phi,Rush-Yds-TDs,33-160-4,,,,,,
team,201112180phi,nyj,Cmp-Att-Yd-TD-INT,16-29-177-2-2,,,,,,
team,201112180phi,phi,Cmp-Att-Yd-TD-INT,15-22-274-1-1,,,,,,
team,201112180phi,nyj,Sacked-Yards,4-30,,,,,,
team,201112180phi,phi,Sacked-Yards,3-14,,,,,,
team,201112180phi,nyj,Net Pass Yards,147,,,,,,
team,201112180phi,phi,Net Pass Yards,260,,,,,,
team,201112180phi,nyj,Total Yards,241,,,,,,
team,201112180phi,phi,Total Yards,420,,,,,,
team,201112180phi,nyj,Fumbles-Lost,2-2,,,,,,
team,201112180phi,phi,Fumbles-Lost,5-3,,,,,,
team,201112180phi,nyj,Turnovers,4,,,,,,
team,201112180phi,phi,Turnovers,4,,,,,,
team,201112180phi,nyj,Penalties-Yards,11-93,,,,,,
team,201112180phi,phi,Penalties-Yards,7-62,,,,,,
team,201112180phi,nyj,Third Down Conv.,3-13,,,,,,
team,201112180phi,phi,Third Down Conv.,5-10,,,,,,
team,201112180phi,nyj,Fourth Down Conv.,0-1,,,,,,
team,201112180phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201112180phi,nyj,Time of Possession,29:57,,,,,,
team,201112180phi,phi,Time of Possession,30:03,,,,,,
player,201112180phi,nyj,SancMa00,pass_cmp,15,,,,,
player,201112180phi,nyj,SancMa00,pass_att,26,,,,,
player,201112180phi,nyj,SancMa00,pass_yds,150,,,,,
player,201112180phi,nyj,SancMa00,pass_td,2,,,,,
player,201112180phi,nyj,SancMa00,pass_int,2,,,,,
player,201112180phi,nyj,SancMa00,pass_sacked,4,,,,,
player,201112180phi,nyj,SancMa00,pass_sacked_yds,30,,,,,
player,201112180phi,nyj,SancMa00,pass_long,41,,,,,
player,201112180phi,nyj,SancMa00,pass_rating,67.8,,,,,
player,201112180phi,nyj,SancMa00,rush_att,2,,,,,
player,201112180phi,nyj,SancMa00,rush_yds,3,,,,,
player,201112180phi,nyj,SancMa00,rush_td,0,,,,,
player,201112180phi,nyj,SancMa00,rush_long,2,,,,,
player,201112180phi,nyj,SancMa00,targets,0,,,,,
