game,2011,3,20110925,201109250cle,mia,"Miami Dolphins",16,cle,"Cleveland Browns",17
team,201109250cle,mia,First Downs,22,,,,,,
team,201109250cle,cle,First Downs,19,,,,,,
team,201109250cle,mia,Rush-Yds-TDs,38-138-0,,,,,,
team,201109250cle,cle,Rush-Yds-TDs,19-70-0,,,,,,
team,201109250cle,mia,Cmp-Att-Yd-TD-INT,19-29-255-1-1,,,,,,
team,201109250cle,cle,Cmp-Att-Yd-TD-INT,19-39-210-2-1,,,,,,
team,201109250cle,mia,Sacked-Yards,5-24,,,,,,
team,201109250cle,cle,Sacked-Yards,0-0,,,,,,
team,201109250cle,mia,Net Pass Yards,231,,,,,,
team,201109250cle,cle,Net Pass Yards,210,,,,,,
team,201109250cle,mia,Total Yards,369,,,,,,
team,201109250cle,cle,Total Yards,280,,,,,,
team,201109250cle,mia,Fumbles-Lost,2-1,,,,,,
team,201109250cle,cle,Fumbles-Lost,0-0,,,,,,
team,201109250cle,mia,Turnovers,2,,,,,,
team,201109250cle,cle,Turnovers,1,,,,,,
team,201109250cle,mia,Penalties-Yards,10-93,,,,,,
team,201109250cle,cle,Penalties-Yards,8-85,,,,,,
team,201109250cle,mia,Third Down Conv.,4-13,,,,,,
team,201109250cle,cle,Third Down Conv.,3-11,,,,,,
team,201109250cle,mia,Fourth Down Conv.,1-2,,,,,,
team,201109250cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201109250cle,mia,Time of Possession,37:51,,,,,,
team,201109250cle,cle,Time of Possession,22:09,,,,,,
player,201109250cle,mia,HennCh01,pass_cmp,19,,,,,
player,201109250cle,mia,HennCh01,pass_att,29,,,,,
player,201109250cle,mia,HennCh01,pass_yds,255,,,,,
player,201109250cle,mia,HennCh01,pass_td,1,,,,,
player,201109250cle,mia,HennCh01,pass_int,1,,,,,
player,201109250cle,mia,HennCh01,pass_sacked,5,,,,,
player,201109250cle,mia,HennCh01,pass_sacked_yds,24,,,,,
player,201109250cle,mia,HennCh01,pass_long,38,,,,,
player,201109250cle,mia,HennCh01,pass_rating,90.4,,,,,
player,201109250cle,mia,HennCh01,rush_att,4,,,,,
player,201109250cle,mia,HennCh01,rush_yds,26,,,,,
player,201109250cle,mia,HennCh01,rush_td,0,,,,,
player,201109250cle,mia,HennCh01,rush_long,11,,,,,
player,201109250cle,mia,HennCh01,targets,0,,,,,
player,201109250cle,mia,HennCh01,rec,0,,,,,
player,201109250cle,mia,HennCh01,rec_yds,0,,,,,
player,201109250cle,mia,HennCh01,rec_td,0,,,,,
player,201109250cle,mia,HennCh01,rec_long,0,,,,,
player,201109250cle,mia,HennCh01,fumbles,0,,,,,
player,201109250cle,mia,HennCh01,fumbles_lost,,,,,,
player,201109250cle,mia,ThomDa03,pass_cmp,0,,,,,
player,201109250cle,mia,ThomDa03,pass_att,0,,,,,
player,201109250cle,mia,ThomDa03,pass_yds,0,,,,,
player,201109250cle,mia,ThomDa03,pass_td,0,,,,,
