game,2011,7,20111023,201110230nyj,sdg,"San Diego Chargers",21,nyj,"New York Jets",27
team,201110230nyj,sdg,First Downs,16,,,,,,
team,201110230nyj,nyj,First Downs,25,,,,,,
team,201110230nyj,sdg,Rush-Yds-TDs,25-96-1,,,,,,
team,201110230nyj,nyj,Rush-Yds-TDs,31-162-0,,,,,,
team,201110230nyj,sdg,Cmp-Att-Yd-TD-INT,16-32-179-1-2,,,,,,
team,201110230nyj,nyj,Cmp-Att-Yd-TD-INT,18-33-173-3-1,,,,,,
team,201110230nyj,sdg,Sacked-Yards,1-7,,,,,,
team,201110230nyj,nyj,Sacked-Yards,2-17,,,,,,
team,201110230nyj,sdg,Net Pass Yards,172,,,,,,
team,201110230nyj,nyj,Net Pass Yards,156,,,,,,
team,201110230nyj,sdg,Total Yards,268,,,,,,
team,201110230nyj,nyj,Total Yards,318,,,,,,
team,201110230nyj,sdg,Fumbles-Lost,0-0,,,,,,
team,201110230nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201110230nyj,sdg,Turnovers,2,,,,,,
team,201110230nyj,nyj,Turnovers,2,,,,,,
team,201110230nyj,sdg,Penalties-Yards,13-95,,,,,,
team,201110230nyj,nyj,Penalties-Yards,8-60,,,,,,
team,201110230nyj,sdg,Third Down Conv.,7-14,,,,,,
team,201110230nyj,nyj,Third Down Conv.,8-13,,,,,,
team,201110230nyj,sdg,Fourth Down Conv.,0-1,,,,,,
team,201110230nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201110230nyj,sdg,Time of Possession,27:14,,,,,,
team,201110230nyj,nyj,Time of Possession,32:46,,,,,,
player,201110230nyj,sdg,RivePh00,pass_cmp,16,,,,,
player,201110230nyj,sdg,RivePh00,pass_att,32,,,,,
player,201110230nyj,sdg,RivePh00,pass_yds,179,,,,,
player,201110230nyj,sdg,RivePh00,pass_td,1,,,,,
player,201110230nyj,sdg,RivePh00,pass_int,2,,,,,
player,201110230nyj,sdg,RivePh00,pass_sacked,1,,,,,
player,201110230nyj,sdg,RivePh00,pass_sacked_yds,7,,,,,
player,201110230nyj,sdg,RivePh00,pass_long,30,,,,,
player,201110230nyj,sdg,RivePh00,pass_rating,51.4,,,,,
player,201110230nyj,sdg,RivePh00,rush_att,1,,,,,
player,201110230nyj,sdg,RivePh00,rush_yds,-1,,,,,
player,201110230nyj,sdg,RivePh00,rush_td,0,,,,,
player,201110230nyj,sdg,RivePh00,rush_long,-1,,,,,
player,201110230nyj,sdg,RivePh00,targets,0,,,,,
player,201110230nyj,sdg,RivePh00,rec,0,,,,,
player,201110230nyj,sdg,RivePh00,rec_yds,0,,,,,
player,201110230nyj,sdg,RivePh00,rec_td,0,,,,,
player,201110230nyj,sdg,RivePh00,rec_long,0,,,,,
player,201110230nyj,sdg,RivePh00,fumbles,0,,,,,
player,201110230nyj,sdg,RivePh00,fumbles_lost,,,,,,
player,201110230nyj,sdg,TolbMi00,pass_cmp,0,,,,,
player,201110230nyj,sdg,TolbMi00,pass_att,0,,,,,
player,201110230nyj,sdg,TolbMi00,pass_yds,0,,,,,
player,201110230nyj,sdg,TolbMi00,pass_td,0,,,,,
player,201110230nyj,sdg,TolbMi00,pass_int,0,,,,,
player,201110230nyj,sdg,TolbMi00,pass_sacked,0,,,,,
