game,2011,10,20111113,201111130sea,rav,"Baltimore Ravens",17,sea,"Seattle Seahawks",22
team,201111130sea,rav,First Downs,25,,,,,,
team,201111130sea,sea,First Downs,16,,,,,,
team,201111130sea,rav,Rush-Yds-TDs,12-75-0,,,,,,
team,201111130sea,sea,Rush-Yds-TDs,42-119-1,,,,,,
team,201111130sea,rav,Cmp-Att-Yd-TD-INT,30-53-256-2-1,,,,,,
team,201111130sea,sea,Cmp-Att-Yd-TD-INT,17-27-217-0-0,,,,,,
team,201111130sea,rav,Sacked-Yards,1-8,,,,,,
team,201111130sea,sea,Sacked-Yards,1-9,,,,,,
team,201111130sea,rav,Net Pass Yards,248,,,,,,
team,201111130sea,sea,Net Pass Yards,208,,,,,,
team,201111130sea,rav,Total Yards,323,,,,,,
team,201111130sea,sea,Total Yards,327,,,,,,
team,201111130sea,rav,Fumbles-Lost,2-2,,,,,,
team,201111130sea,sea,Fumbles-Lost,1-0,,,,,,
team,201111130sea,rav,Turnovers,3,,,,,,
team,201111130sea,sea,Turnovers,0,,,,,,
team,201111130sea,rav,Penalties-Yards,4-34,,,,,,
team,201111130sea,sea,Penalties-Yards,13-100,,,,,,
team,201111130sea,rav,Third Down Conv.,5-12,,,,,,
team,201111130sea,sea,Third Down Conv.,5-16,,,,,,
team,201111130sea,rav,Fourth Down Conv.,1-1,,,,,,
team,201111130sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201111130sea,rav,Time of Possession,24:59,,,,,,
team,201111130sea,sea,Time of Possession,35:01,,,,,,
player,201111130sea,rav,FlacJo00,pass_cmp,29,,,,,
player,201111130sea,rav,FlacJo00,pass_att,52,,,,,
player,201111130sea,rav,FlacJo00,pass_yds,255,,,,,
player,201111130sea,rav,FlacJo00,pass_td,1,,,,,
player,201111130sea,rav,FlacJo00,pass_int,1,,,,,
player,201111130sea,rav,FlacJo00,pass_sacked,1,,,,,
player,201111130sea,rav,FlacJo00,pass_sacked_yds,8,,,,,
player,201111130sea,rav,FlacJo00,pass_long,19,,,,,
player,201111130sea,rav,FlacJo00,pass_rating,67.4,,,,,
player,201111130sea,rav,FlacJo00,rush_att,2,,,,,
player,201111130sea,rav,FlacJo00,rush_yds,8,,,,,
player,201111130sea,rav,FlacJo00,rush_td,0,,,,,
player,201111130sea,rav,FlacJo00,rush_long,6,,,,,
player,201111130sea,rav,FlacJo00,targets,0,,,,,
player,201111130sea,rav,FlacJo00,rec,0,,,,,
player,201111130sea,rav,FlacJo00,rec_yds,0,,,,,
player,201111130sea,rav,FlacJo00,rec_td,0,,,,,
player,201111130sea,rav,FlacJo00,rec_long,0,,,,,
player,201111130sea,rav,FlacJo00,fumbles,0,,,,,
player,201111130sea,rav,FlacJo00,fumbles_lost,,,,,,
player,201111130sea,rav,RiceRa00,pass_cmp,1,,,,,
player,201111130sea,rav,RiceRa00,pass_att,1,,,,,
player,201111130sea,rav,RiceRa00,pass_yds,1,,,,,
player,201111130sea,rav,RiceRa00,pass_td,1,,,,,
player,201111130sea,rav,RiceRa00,pass_int,0,,,,,
player,201111130sea,rav,RiceRa00,pass_sacked,0,,,,,
player,201111130sea,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201111130sea,rav,RiceRa00,pass_long,1,,,,,
player,201111130sea,rav,RiceRa00,pass_rating,118.7,,,,,
player,201111130sea,rav,RiceRa00,rush_att,5,,,,,
