game,2011,9,20111106,201111060was,sfo,"San Francisco 49ers",19,was,"Washington Redskins",11
team,201111060was,sfo,First Downs,15,,,,,,
team,201111060was,was,First Downs,17,,,,,,
team,201111060was,sfo,Rush-Yds-TDs,32-138-0,,,,,,
team,201111060was,was,Rush-Yds-TDs,14-52-0,,,,,,
team,201111060was,sfo,Cmp-Att-Yd-TD-INT,17-24-200-1-0,,,,,,
team,201111060was,was,Cmp-Att-Yd-TD-INT,30-47-254-1-1,,,,,,
team,201111060was,sfo,Sacked-Yards,2-12,,,,,,
team,201111060was,was,Sacked-Yards,2-3,,,,,,
team,201111060was,sfo,Net Pass Yards,188,,,,,,
team,201111060was,was,Net Pass Yards,251,,,,,,
team,201111060was,sfo,Total Yards,326,,,,,,
team,201111060was,was,Total Yards,303,,,,,,
team,201111060was,sfo,Fumbles-Lost,1-1,,,,,,
team,201111060was,was,Fumbles-Lost,4-2,,,,,,
team,201111060was,sfo,Turnovers,1,,,,,,
team,201111060was,was,Turnovers,3,,,,,,
team,201111060was,sfo,Penalties-Yards,9-55,,,,,,
team,201111060was,was,Penalties-Yards,3-35,,,,,,
team,201111060was,sfo,Third Down Conv.,3-12,,,,,,
team,201111060was,was,Third Down Conv.,5-12,,,,,,
team,201111060was,sfo,Fourth Down Conv.,0-0,,,,,,
team,201111060was,was,Fourth Down Conv.,0-2,,,,,,
team,201111060was,sfo,Time of Possession,32:19,,,,,,
team,201111060was,was,Time of Possession,27:41,,,,,,
player,201111060was,sfo,SmitAl03,pass_cmp,17,,,,,
player,201111060was,sfo,SmitAl03,pass_att,24,,,,,
player,201111060was,sfo,SmitAl03,pass_yds,200,,,,,
player,201111060was,sfo,SmitAl03,pass_td,1,,,,,
player,201111060was,sfo,SmitAl03,pass_int,0,,,,,
player,201111060was,sfo,SmitAl03,pass_sacked,2,,,,,
player,201111060was,sfo,SmitAl03,pass_sacked_yds,12,,,,,
player,201111060was,sfo,SmitAl03,pass_long,30,,,,,
player,201111060was,sfo,SmitAl03,pass_rating,109.7,,,,,
player,201111060was,sfo,SmitAl03,rush_att,4,,,,,
player,201111060was,sfo,SmitAl03,rush_yds,9,,,,,
player,201111060was,sfo,SmitAl03,rush_td,0,,,,,
player,201111060was,sfo,SmitAl03,rush_long,8,,,,,
player,201111060was,sfo,SmitAl03,targets,0,,,,,
player,201111060was,sfo,SmitAl03,rec,0,,,,,
player,201111060was,sfo,SmitAl03,rec_yds,0,,,,,
player,201111060was,sfo,SmitAl03,rec_td,0,,,,,
player,201111060was,sfo,SmitAl03,rec_long,0,,,,,
player,201111060was,sfo,SmitAl03,fumbles,0,,,,,
player,201111060was,sfo,SmitAl03,fumbles_lost,,,,,,
player,201111060was,sfo,GoreFr00,pass_cmp,0,,,,,
player,201111060was,sfo,GoreFr00,pass_att,0,,,,,
player,201111060was,sfo,GoreFr00,pass_yds,0,,,,,
player,201111060was,sfo,GoreFr00,pass_td,0,,,,,
player,201111060was,sfo,GoreFr00,pass_int,0,,,,,
player,201111060was,sfo,GoreFr00,pass_sacked,0,,,,,
player,201111060was,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201111060was,sfo,GoreFr00,pass_long,0,,,,,
player,201111060was,sfo,GoreFr00,pass_rating,,,,,,
player,201111060was,sfo,GoreFr00,rush_att,19,,,,,
player,201111060was,sfo,GoreFr00,rush_yds,107,,,,,
player,201111060was,sfo,GoreFr00,rush_td,0,,,,,
player,201111060was,sfo,GoreFr00,rush_long,27,,,,,
player,201111060was,sfo,GoreFr00,targets,3,,,,,
player,201111060was,sfo,GoreFr00,rec,1,,,,,
player,201111060was,sfo,GoreFr00,rec_yds,7,,,,,
player,201111060was,sfo,GoreFr00,rec_td,0,,,,,
player,201111060was,sfo,GoreFr00,rec_long,7,,,,,
