game,2011,10,20111113,201111130clt,jax,"Jacksonville Jaguars",17,clt,"Indianapolis Colts",3
team,201111130clt,jax,First Downs,18,,,,,,
team,201111130clt,clt,First Downs,17,,,,,,
team,201111130clt,jax,Rush-Yds-TDs,41-141-1,,,,,,
team,201111130clt,clt,Rush-Yds-TDs,23-84-0,,,,,,
team,201111130clt,jax,Cmp-Att-Yd-TD-INT,14-21-118-1-1,,,,,,
team,201111130clt,clt,Cmp-Att-Yd-TD-INT,20-29-161-0-2,,,,,,
team,201111130clt,jax,Sacked-Yards,2-8,,,,,,
team,201111130clt,clt,Sacked-Yards,5-33,,,,,,
team,201111130clt,jax,Net Pass Yards,110,,,,,,
team,201111130clt,clt,Net Pass Yards,128,,,,,,
team,201111130clt,jax,Total Yards,251,,,,,,
team,201111130clt,clt,Total Yards,212,,,,,,
team,201111130clt,jax,Fumbles-Lost,0-0,,,,,,
team,201111130clt,clt,Fumbles-Lost,2-1,,,,,,
team,201111130clt,jax,Turnovers,1,,,,,,
team,201111130clt,clt,Turnovers,3,,,,,,
team,201111130clt,jax,Penalties-Yards,5-55,,,,,,
team,201111130clt,clt,Penalties-Yards,6-40,,,,,,
team,201111130clt,jax,Third Down Conv.,6-15,,,,,,
team,201111130clt,clt,Third Down Conv.,4-15,,,,,,
team,201111130clt,jax,Fourth Down Conv.,0-0,,,,,,
team,201111130clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201111130clt,jax,Time of Possession,35:21,,,,,,
team,201111130clt,clt,Time of Possession,24:39,,,,,,
player,201111130clt,jax,GabbBl00,pass_cmp,14,,,,,
player,201111130clt,jax,GabbBl00,pass_att,21,,,,,
player,201111130clt,jax,GabbBl00,pass_yds,118,,,,,
player,201111130clt,jax,GabbBl00,pass_td,1,,,,,
player,201111130clt,jax,GabbBl00,pass_int,1,,,,,
player,201111130clt,jax,GabbBl00,pass_sacked,2,,,,,
player,201111130clt,jax,GabbBl00,pass_sacked_yds,8,,,,,
