game,2011,13,20111204,201112040min,den,"Denver Broncos",35,min,"Minnesota Vikings",32
player,201112040min,den,ThomDe03,pass_long,0,,,,,
player,201112040min,den,ThomDe03,pass_rating,,,,,,
player,201112040min,den,ThomDe03,rush_att,0,,,,,
player,201112040min,den,ThomDe03,rush_yds,0,,,,,
player,201112040min,den,ThomDe03,rush_td,0,,,,,
player,201112040min,den,ThomDe03,rush_long,0,,,,,
player,201112040min,den,ThomDe03,targets,7,,,,,
player,201112040min,den,ThomDe03,rec,4,,,,,
player,201112040min,den,ThomDe03,rec_yds,144,,,,,
player,201112040min,den,ThomDe03,rec_td,2,,,,,
player,201112040min,den,ThomDe03,rec_long,42,,,,,
player,201112040min,den,ThomDe03,fumbles,0,,,,,
player,201112040min,den,ThomDe03,fumbles_lost,,,,,,
player,201112040min,den,DeckEr00,pass_cmp,0,,,,,
player,201112040min,den,DeckEr00,pass_att,0,,,,,
player,201112040min,den,DeckEr00,pass_yds,0,,,,,
player,201112040min,den,DeckEr00,pass_td,0,,,,,
player,201112040min,den,DeckEr00,pass_int,0,,,,,
player,201112040min,den,DeckEr00,pass_sacked,0,,,,,
player,201112040min,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201112040min,den,DeckEr00,pass_long,0,,,,,
player,201112040min,den,DeckEr00,pass_rating,,,,,,
player,201112040min,den,DeckEr00,rush_att,0,,,,,
player,201112040min,den,DeckEr00,rush_yds,0,,,,,
player,201112040min,den,DeckEr00,rush_td,0,,,,,
player,201112040min,den,DeckEr00,rush_long,0,,,,,
player,201112040min,den,DeckEr00,targets,4,,,,,
player,201112040min,den,DeckEr00,rec,2,,,,,
player,201112040min,den,DeckEr00,rec_yds,25,,,,,
player,201112040min,den,DeckEr00,rec_td,0,,,,,
player,201112040min,den,DeckEr00,rec_long,17,,,,,
player,201112040min,den,DeckEr00,fumbles,0,,,,,
player,201112040min,den,DeckEr00,fumbles_lost,,,,,,
player,201112040min,den,WillMa00,pass_cmp,0,,,,,
player,201112040min,den,WillMa00,pass_att,0,,,,,
player,201112040min,den,WillMa00,pass_yds,0,,,,,
player,201112040min,den,WillMa00,pass_td,0,,,,,
player,201112040min,den,WillMa00,pass_int,0,,,,,
player,201112040min,den,WillMa00,pass_sacked,0,,,,,
player,201112040min,den,WillMa00,pass_sacked_yds,0,,,,,
player,201112040min,den,WillMa00,pass_long,0,,,,,
player,201112040min,den,WillMa00,pass_rating,,,,,,
player,201112040min,den,WillMa00,rush_att,0,,,,,
player,201112040min,den,WillMa00,rush_yds,0,,,,,
player,201112040min,den,WillMa00,rush_td,0,,,,,
player,201112040min,den,WillMa00,rush_long,0,,,,,
player,201112040min,den,WillMa00,targets,1,,,,,
player,201112040min,den,WillMa00,rec,1,,,,,
player,201112040min,den,WillMa00,rec_yds,12,,,,,
player,201112040min,den,WillMa00,rec_td,0,,,,,
player,201112040min,den,WillMa00,rec_long,12,,,,,
player,201112040min,den,WillMa00,fumbles,1,,,,,
player,201112040min,den,WillMa00,fumbles_lost,0,,,,,
player,201112040min,den,RoyaEd00,pass_cmp,0,,,,,
player,201112040min,den,RoyaEd00,pass_att,0,,,,,
player,201112040min,den,RoyaEd00,pass_yds,0,,,,,
player,201112040min,den,RoyaEd00,pass_td,0,,,,,
player,201112040min,den,RoyaEd00,pass_int,0,,,,,
player,201112040min,den,RoyaEd00,pass_sacked,0,,,,,
player,201112040min,den,RoyaEd00,pass_sacked_yds,0,,,,,
player,201112040min,den,RoyaEd00,pass_long,0,,,,,
player,201112040min,den,RoyaEd00,pass_rating,,,,,,
player,201112040min,den,RoyaEd00,rush_att,0,,,,,
player,201112040min,den,RoyaEd00,rush_yds,0,,,,,
