game,2011,12,20111127,201111270sea,was,"Washington Redskins",23,sea,"Seattle Seahawks",17
team,201111270sea,was,First Downs,22,,,,,,
team,201111270sea,sea,First Downs,15,,,,,,
team,201111270sea,was,Rush-Yds-TDs,29-110-1,,,,,,
team,201111270sea,sea,Rush-Yds-TDs,30-124-0,,,,,,
team,201111270sea,was,Cmp-Att-Yd-TD-INT,26-35-314-2-2,,,,,,
team,201111270sea,sea,Cmp-Att-Yd-TD-INT,14-30-144-2-1,,,,,,
team,201111270sea,was,Sacked-Yards,1-8,,,,,,
team,201111270sea,sea,Sacked-Yards,2-18,,,,,,
team,201111270sea,was,Net Pass Yards,306,,,,,,
team,201111270sea,sea,Net Pass Yards,126,,,,,,
team,201111270sea,was,Total Yards,416,,,,,,
team,201111270sea,sea,Total Yards,250,,,,,,
team,201111270sea,was,Fumbles-Lost,1-0,,,,,,
team,201111270sea,sea,Fumbles-Lost,0-0,,,,,,
team,201111270sea,was,Turnovers,2,,,,,,
team,201111270sea,sea,Turnovers,1,,,,,,
team,201111270sea,was,Penalties-Yards,10-115,,,,,,
team,201111270sea,sea,Penalties-Yards,9-91,,,,,,
team,201111270sea,was,Third Down Conv.,3-10,,,,,,
team,201111270sea,sea,Third Down Conv.,6-16,,,,,,
team,201111270sea,was,Fourth Down Conv.,0-0,,,,,,
team,201111270sea,sea,Fourth Down Conv.,0-1,,,,,,
team,201111270sea,was,Time of Possession,33:20,,,,,,
team,201111270sea,sea,Time of Possession,26:40,,,,,,
player,201111270sea,was,GrosRe00,pass_cmp,26,,,,,
player,201111270sea,was,GrosRe00,pass_att,35,,,,,
player,201111270sea,was,GrosRe00,pass_yds,314,,,,,
player,201111270sea,was,GrosRe00,pass_td,2,,,,,
player,201111270sea,was,GrosRe00,pass_int,2,,,,,
player,201111270sea,was,GrosRe00,pass_sacked,1,,,,,
player,201111270sea,was,GrosRe00,pass_sacked_yds,8,,,,,
player,201111270sea,was,GrosRe00,pass_long,50,,,,,
player,201111270sea,was,GrosRe00,pass_rating,96.6,,,,,
player,201111270sea,was,GrosRe00,rush_att,5,,,,,
player,201111270sea,was,GrosRe00,rush_yds,-1,,,,,
player,201111270sea,was,GrosRe00,rush_td,0,,,,,
player,201111270sea,was,GrosRe00,rush_long,2,,,,,
player,201111270sea,was,GrosRe00,targets,0,,,,,
player,201111270sea,was,GrosRe00,rec,0,,,,,
player,201111270sea,was,GrosRe00,rec_yds,0,,,,,
player,201111270sea,was,GrosRe00,rec_td,0,,,,,
player,201111270sea,was,GrosRe00,rec_long,0,,,,,
player,201111270sea,was,GrosRe00,fumbles,1,,,,,
player,201111270sea,was,GrosRe00,fumbles_lost,0,,,,,
player,201111270sea,was,HeluRo00,pass_cmp,0,,,,,
player,201111270sea,was,HeluRo00,pass_att,0,,,,,
player,201111270sea,was,HeluRo00,pass_yds,0,,,,,
player,201111270sea,was,HeluRo00,pass_td,0,,,,,
player,201111270sea,was,HeluRo00,pass_int,0,,,,,
player,201111270sea,was,HeluRo00,pass_sacked,0,,,,,
player,201111270sea,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201111270sea,was,HeluRo00,pass_long,0,,,,,
player,201111270sea,was,HeluRo00,pass_rating,,,,,,
player,201111270sea,was,HeluRo00,rush_att,23,,,,,
player,201111270sea,was,HeluRo00,rush_yds,108,,,,,
player,201111270sea,was,HeluRo00,rush_td,1,,,,,
player,201111270sea,was,HeluRo00,rush_long,28,,,,,
player,201111270sea,was,HeluRo00,targets,7,,,,,
player,201111270sea,was,HeluRo00,rec,7,,,,,
player,201111270sea,was,HeluRo00,rec_yds,54,,,,,
player,201111270sea,was,HeluRo00,rec_td,0,,,,,
player,201111270sea,was,HeluRo00,rec_long,14,,,,,
player,201111270sea,was,HeluRo00,fumbles,0,,,,,
player,201111270sea,was,HeluRo00,fumbles_lost,,,,,,
player,201111270sea,was,RoysEv00,pass_cmp,0,,,,,
player,201111270sea,was,RoysEv00,pass_att,0,,,,,
player,201111270sea,was,RoysEv00,pass_yds,0,,,,,
player,201111270sea,was,RoysEv00,pass_td,0,,,,,
player,201111270sea,was,RoysEv00,pass_int,0,,,,,
player,201111270sea,was,RoysEv00,pass_sacked,0,,,,,
player,201111270sea,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201111270sea,was,RoysEv00,pass_long,0,,,,,
player,201111270sea,was,RoysEv00,pass_rating,,,,,,
player,201111270sea,was,RoysEv00,rush_att,1,,,,,
player,201111270sea,was,RoysEv00,rush_yds,3,,,,,
player,201111270sea,was,RoysEv00,rush_td,0,,,,,
player,201111270sea,was,RoysEv00,rush_long,3,,,,,
player,201111270sea,was,RoysEv00,targets,0,,,,,
player,201111270sea,was,RoysEv00,rec,0,,,,,
player,201111270sea,was,RoysEv00,rec_yds,0,,,,,
player,201111270sea,was,RoysEv00,rec_td,0,,,,,
player,201111270sea,was,RoysEv00,rec_long,0,,,,,
player,201111270sea,was,RoysEv00,fumbles,0,,,,,
player,201111270sea,was,RoysEv00,fumbles_lost,,,,,,
player,201111270sea,was,GaffJa00,pass_cmp,0,,,,,
player,201111270sea,was,GaffJa00,pass_att,0,,,,,
player,201111270sea,was,GaffJa00,pass_yds,0,,,,,
player,201111270sea,was,GaffJa00,pass_td,0,,,,,
player,201111270sea,was,GaffJa00,pass_int,0,,,,,
player,201111270sea,was,GaffJa00,pass_sacked,0,,,,,
player,201111270sea,was,GaffJa00,pass_sacked_yds,0,,,,,
player,201111270sea,was,GaffJa00,pass_long,0,,,,,
player,201111270sea,was,GaffJa00,pass_rating,,,,,,
player,201111270sea,was,GaffJa00,rush_att,0,,,,,
player,201111270sea,was,GaffJa00,rush_yds,0,,,,,
player,201111270sea,was,GaffJa00,rush_td,0,,,,,
player,201111270sea,was,GaffJa00,rush_long,0,,,,,
player,201111270sea,was,GaffJa00,targets,7,,,,,
player,201111270sea,was,GaffJa00,rec,5,,,,,
player,201111270sea,was,GaffJa00,rec_yds,72,,,,,
player,201111270sea,was,GaffJa00,rec_td,0,,,,,
player,201111270sea,was,GaffJa00,rec_long,18,,,,,
player,201111270sea,was,GaffJa00,fumbles,0,,,,,
player,201111270sea,was,GaffJa00,fumbles_lost,,,,,,
player,201111270sea,was,DaviFr01,pass_cmp,0,,,,,
player,201111270sea,was,DaviFr01,pass_att,0,,,,,
player,201111270sea,was,DaviFr01,pass_yds,0,,,,,
player,201111270sea,was,DaviFr01,pass_td,0,,,,,
player,201111270sea,was,DaviFr01,pass_int,0,,,,,
player,201111270sea,was,DaviFr01,pass_sacked,0,,,,,
player,201111270sea,was,DaviFr01,pass_sacked_yds,0,,,,,
player,201111270sea,was,DaviFr01,pass_long,0,,,,,
player,201111270sea,was,DaviFr01,pass_rating,,,,,,
player,201111270sea,was,DaviFr01,rush_att,0,,,,,
player,201111270sea,was,DaviFr01,rush_yds,0,,,,,
player,201111270sea,was,DaviFr01,rush_td,0,,,,,
player,201111270sea,was,DaviFr01,rush_long,0,,,,,
player,201111270sea,was,DaviFr01,targets,4,,,,,
player,201111270sea,was,DaviFr01,rec,4,,,,,
player,201111270sea,was,DaviFr01,rec_yds,58,,,,,
player,201111270sea,was,DaviFr01,rec_td,1,,,,,
player,201111270sea,was,DaviFr01,rec_long,31,,,,,
player,201111270sea,was,DaviFr01,fumbles,0,,,,,
player,201111270sea,was,DaviFr01,fumbles_lost,,,,,,
player,201111270sea,was,ArmsAn00,pass_cmp,0,,,,,
player,201111270sea,was,ArmsAn00,pass_att,0,,,,,
player,201111270sea,was,ArmsAn00,pass_yds,0,,,,,
player,201111270sea,was,ArmsAn00,pass_td,0,,,,,
player,201111270sea,was,ArmsAn00,pass_int,0,,,,,
player,201111270sea,was,ArmsAn00,pass_sacked,0,,,,,
player,201111270sea,was,ArmsAn00,pass_sacked_yds,0,,,,,
player,201111270sea,was,ArmsAn00,pass_long,0,,,,,
player,201111270sea,was,ArmsAn00,pass_rating,,,,,,
player,201111270sea,was,ArmsAn00,rush_att,0,,,,,
player,201111270sea,was,ArmsAn00,rush_yds,0,,,,,
player,201111270sea,was,ArmsAn00,rush_td,0,,,,,
player,201111270sea,was,ArmsAn00,rush_long,0,,,,,
player,201111270sea,was,ArmsAn00,targets,1,,,,,
player,201111270sea,was,ArmsAn00,rec,1,,,,,
player,201111270sea,was,ArmsAn00,rec_yds,50,,,,,
player,201111270sea,was,ArmsAn00,rec_td,1,,,,,
player,201111270sea,was,ArmsAn00,rec_long,50,,,,,
player,201111270sea,was,ArmsAn00,fumbles,0,,,,,
player,201111270sea,was,ArmsAn00,fumbles_lost,,,,,,
player,201111270sea,was,MossSa00,pass_cmp,0,,,,,
player,201111270sea,was,MossSa00,pass_att,0,,,,,
player,201111270sea,was,MossSa00,pass_yds,0,,,,,
player,201111270sea,was,MossSa00,pass_td,0,,,,,
player,201111270sea,was,MossSa00,pass_int,0,,,,,
player,201111270sea,was,MossSa00,pass_sacked,0,,,,,
player,201111270sea,was,MossSa00,pass_sacked_yds,0,,,,,
player,201111270sea,was,MossSa00,pass_long,0,,,,,
player,201111270sea,was,MossSa00,pass_rating,,,,,,
player,201111270sea,was,MossSa00,rush_att,0,,,,,
player,201111270sea,was,MossSa00,rush_yds,0,,,,,
player,201111270sea,was,MossSa00,rush_td,0,,,,,
player,201111270sea,was,MossSa00,rush_long,0,,,,,
player,201111270sea,was,MossSa00,targets,7,,,,,
player,201111270sea,was,MossSa00,rec,4,,,,,
player,201111270sea,was,MossSa00,rec_yds,29,,,,,
player,201111270sea,was,MossSa00,rec_td,0,,,,,
player,201111270sea,was,MossSa00,rec_long,13,,,,,
player,201111270sea,was,MossSa00,fumbles,0,,,,,
player,201111270sea,was,MossSa00,fumbles_lost,,,,,,
player,201111270sea,was,YounDa01,pass_cmp,0,,,,,
player,201111270sea,was,YounDa01,pass_att,0,,,,,
player,201111270sea,was,YounDa01,pass_yds,0,,,,,
player,201111270sea,was,YounDa01,pass_td,0,,,,,
player,201111270sea,was,YounDa01,pass_int,0,,,,,
player,201111270sea,was,YounDa01,pass_sacked,0,,,,,
player,201111270sea,was,YounDa01,pass_sacked_yds,0,,,,,
player,201111270sea,was,YounDa01,pass_long,0,,,,,
player,201111270sea,was,YounDa01,pass_rating,,,,,,
player,201111270sea,was,YounDa01,rush_att,0,,,,,
player,201111270sea,was,YounDa01,rush_yds,0,,,,,
player,201111270sea,was,YounDa01,rush_td,0,,,,,
player,201111270sea,was,YounDa01,rush_long,0,,,,,
player,201111270sea,was,YounDa01,targets,2,,,,,
player,201111270sea,was,YounDa01,rec,2,,,,,
player,201111270sea,was,YounDa01,rec_yds,22,,,,,
player,201111270sea,was,YounDa01,rec_td,0,,,,,
player,201111270sea,was,YounDa01,rec_long,21,,,,,
player,201111270sea,was,YounDa01,fumbles,0,,,,,
player,201111270sea,was,YounDa01,fumbles_lost,,,,,,
player,201111270sea,was,SellMi00,pass_cmp,0,,,,,
player,201111270sea,was,SellMi00,pass_att,0,,,,,
player,201111270sea,was,SellMi00,pass_yds,0,,,,,
player,201111270sea,was,SellMi00,pass_td,0,,,,,
player,201111270sea,was,SellMi00,pass_int,0,,,,,
player,201111270sea,was,SellMi00,pass_sacked,0,,,,,
player,201111270sea,was,SellMi00,pass_sacked_yds,0,,,,,
player,201111270sea,was,SellMi00,pass_long,0,,,,,
player,201111270sea,was,SellMi00,pass_rating,,,,,,
player,201111270sea,was,SellMi00,rush_att,0,,,,,
player,201111270sea,was,SellMi00,rush_yds,0,,,,,
player,201111270sea,was,SellMi00,rush_td,0,,,,,
player,201111270sea,was,SellMi00,rush_long,0,,,,,
player,201111270sea,was,SellMi00,targets,1,,,,,
player,201111270sea,was,SellMi00,rec,1,,,,,
player,201111270sea,was,SellMi00,rec_yds,15,,,,,
player,201111270sea,was,SellMi00,rec_td,0,,,,,
player,201111270sea,was,SellMi00,rec_long,15,,,,,
player,201111270sea,was,SellMi00,fumbles,0,,,,,
player,201111270sea,was,SellMi00,fumbles_lost,,,,,,
player,201111270sea,was,PaulLo00,pass_cmp,0,,,,,
player,201111270sea,was,PaulLo00,pass_att,0,,,,,
player,201111270sea,was,PaulLo00,pass_yds,0,,,,,
player,201111270sea,was,PaulLo00,pass_td,0,,,,,
player,201111270sea,was,PaulLo00,pass_int,0,,,,,
player,201111270sea,was,PaulLo00,pass_sacked,0,,,,,
player,201111270sea,was,PaulLo00,pass_sacked_yds,0,,,,,
player,201111270sea,was,PaulLo00,pass_long,0,,,,,
player,201111270sea,was,PaulLo00,pass_rating,,,,,,
player,201111270sea,was,PaulLo00,rush_att,0,,,,,
player,201111270sea,was,PaulLo00,rush_yds,0,,,,,
player,201111270sea,was,PaulLo00,rush_td,0,,,,,
player,201111270sea,was,PaulLo00,rush_long,0,,,,,
player,201111270sea,was,PaulLo00,targets,2,,,,,
player,201111270sea,was,PaulLo00,rec,2,,,,,
player,201111270sea,was,PaulLo00,rec_yds,14,,,,,
player,201111270sea,was,PaulLo00,rec_td,0,,,,,
player,201111270sea,was,PaulLo00,rec_long,11,,,,,
player,201111270sea,was,PaulLo00,fumbles,0,,,,,
player,201111270sea,was,PaulLo00,fumbles_lost,,,,,,
player,201111270sea,was,StalDo00,pass_cmp,0,,,,,
player,201111270sea,was,StalDo00,pass_att,0,,,,,
player,201111270sea,was,StalDo00,pass_yds,0,,,,,
player,201111270sea,was,StalDo00,pass_td,0,,,,,
player,201111270sea,was,StalDo00,pass_int,0,,,,,
player,201111270sea,was,StalDo00,pass_sacked,0,,,,,
player,201111270sea,was,StalDo00,pass_sacked_yds,0,,,,,
player,201111270sea,was,StalDo00,pass_long,0,,,,,
player,201111270sea,was,StalDo00,pass_rating,,,,,,
player,201111270sea,was,StalDo00,rush_att,0,,,,,
player,201111270sea,was,StalDo00,rush_yds,0,,,,,
player,201111270sea,was,StalDo00,rush_td,0,,,,,
player,201111270sea,was,StalDo00,rush_long,0,,,,,
player,201111270sea,was,StalDo00,targets,2,,,,,
player,201111270sea,was,StalDo00,rec,0,,,,,
player,201111270sea,was,StalDo00,rec_yds,0,,,,,
player,201111270sea,was,StalDo00,rec_td,0,,,,,
player,201111270sea,was,StalDo00,rec_long,0,,,,,
player,201111270sea,was,StalDo00,fumbles,0,,,,,
player,201111270sea,was,StalDo00,fumbles_lost,,,,,,
player,201111270sea,was,AustTe00,pass_cmp,0,,,,,
player,201111270sea,was,AustTe00,pass_att,0,,,,,
player,201111270sea,was,AustTe00,pass_yds,0,,,,,
player,201111270sea,was,AustTe00,pass_td,0,,,,,
player,201111270sea,was,AustTe00,pass_int,0,,,,,
player,201111270sea,was,AustTe00,pass_sacked,0,,,,,
player,201111270sea,was,AustTe00,pass_sacked_yds,0,,,,,
player,201111270sea,was,AustTe00,pass_long,0,,,,,
player,201111270sea,was,AustTe00,pass_rating,,,,,,
player,201111270sea,was,AustTe00,rush_att,0,,,,,
player,201111270sea,was,AustTe00,rush_yds,0,,,,,
player,201111270sea,was,AustTe00,rush_td,0,,,,,
player,201111270sea,was,AustTe00,rush_long,0,,,,,
player,201111270sea,was,AustTe00,targets,1,,,,,
player,201111270sea,was,AustTe00,rec,0,,,,,
player,201111270sea,was,AustTe00,rec_yds,0,,,,,
player,201111270sea,was,AustTe00,rec_td,0,,,,,
player,201111270sea,was,AustTe00,rec_long,0,,,,,
player,201111270sea,was,AustTe00,fumbles,0,,,,,
player,201111270sea,was,AustTe00,fumbles_lost,,,,,,
player,201111270sea,sea,JackTa00,pass_cmp,14,,,,,
player,201111270sea,sea,JackTa00,pass_att,30,,,,,
player,201111270sea,sea,JackTa00,pass_yds,144,,,,,
player,201111270sea,sea,JackTa00,pass_td,2,,,,,
player,201111270sea,sea,JackTa00,pass_int,1,,,,,
player,201111270sea,sea,JackTa00,pass_sacked,2,,,,,
player,201111270sea,sea,JackTa00,pass_sacked_yds,18,,,,,
player,201111270sea,sea,JackTa00,pass_long,24,,,,,
player,201111270sea,sea,JackTa00,pass_rating,69.3,,,,,
player,201111270sea,sea,JackTa00,rush_att,0,,,,,
player,201111270sea,sea,JackTa00,rush_yds,0,,,,,
player,201111270sea,sea,JackTa00,rush_td,0,,,,,
player,201111270sea,sea,JackTa00,rush_long,0,,,,,
player,201111270sea,sea,JackTa00,targets,0,,,,,
player,201111270sea,sea,JackTa00,rec,0,,,,,
player,201111270sea,sea,JackTa00,rec_yds,0,,,,,
player,201111270sea,sea,JackTa00,rec_td,0,,,,,
player,201111270sea,sea,JackTa00,rec_long,0,,,,,
player,201111270sea,sea,JackTa00,fumbles,0,,,,,
player,201111270sea,sea,JackTa00,fumbles_lost,,,,,,
player,201111270sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201111270sea,sea,LyncMa00,pass_att,0,,,,,
player,201111270sea,sea,LyncMa00,pass_yds,0,,,,,
player,201111270sea,sea,LyncMa00,pass_td,0,,,,,
player,201111270sea,sea,LyncMa00,pass_int,0,,,,,
player,201111270sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201111270sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201111270sea,sea,LyncMa00,pass_long,0,,,,,
player,201111270sea,sea,LyncMa00,pass_rating,,,,,,
