game,2011,1,20110911,201109110cle,cin,"Cincinnati Bengals",27,cle,"Cleveland Browns",17
team,201109110cle,cin,First Downs,17,,,,,,
team,201109110cle,cle,First Downs,17,,,,,,
team,201109110cle,cin,Rush-Yds-TDs,33-139-1,,,,,,
team,201109110cle,cle,Rush-Yds-TDs,26-83-0,,,,,,
team,201109110cle,cin,Cmp-Att-Yd-TD-INT,15-27-173-2-0,,,,,,
team,201109110cle,cle,Cmp-Att-Yd-TD-INT,19-40-213-2-1,,,,,,
team,201109110cle,cin,Sacked-Yards,4-18,,,,,,
team,201109110cle,cle,Sacked-Yards,2-11,,,,,,
team,201109110cle,cin,Net Pass Yards,155,,,,,,
team,201109110cle,cle,Net Pass Yards,202,,,,,,
team,201109110cle,cin,Total Yards,294,,,,,,
team,201109110cle,cle,Total Yards,285,,,,,,
team,201109110cle,cin,Fumbles-Lost,2-0,,,,,,
team,201109110cle,cle,Fumbles-Lost,1-0,,,,,,
team,201109110cle,cin,Turnovers,0,,,,,,
team,201109110cle,cle,Turnovers,1,,,,,,
team,201109110cle,cin,Penalties-Yards,3-22,,,,,,
team,201109110cle,cle,Penalties-Yards,11-72,,,,,,
team,201109110cle,cin,Third Down Conv.,7-17,,,,,,
team,201109110cle,cle,Third Down Conv.,4-15,,,,,,
team,201109110cle,cin,Fourth Down Conv.,0-0,,,,,,
team,201109110cle,cle,Fourth Down Conv.,1-2,,,,,,
team,201109110cle,cin,Time of Possession,30:23,,,,,,
team,201109110cle,cle,Time of Possession,29:37,,,,,,
player,201109110cle,cin,DaltAn00,pass_cmp,10,,,,,
player,201109110cle,cin,DaltAn00,pass_att,15,,,,,
player,201109110cle,cin,DaltAn00,pass_yds,81,,,,,
player,201109110cle,cin,DaltAn00,pass_td,1,,,,,
player,201109110cle,cin,DaltAn00,pass_int,0,,,,,
player,201109110cle,cin,DaltAn00,pass_sacked,3,,,,,
player,201109110cle,cin,DaltAn00,pass_sacked_yds,11,,,,,
player,201109110cle,cin,DaltAn00,pass_long,22,,,,,
player,201109110cle,cin,DaltAn00,pass_rating,102.4,,,,,
player,201109110cle,cin,DaltAn00,rush_att,0,,,,,
player,201109110cle,cin,DaltAn00,rush_yds,0,,,,,
player,201109110cle,cin,DaltAn00,rush_td,0,,,,,
player,201109110cle,cin,DaltAn00,rush_long,0,,,,,
player,201109110cle,cin,DaltAn00,targets,0,,,,,
player,201109110cle,cin,DaltAn00,rec,0,,,,,
player,201109110cle,cin,DaltAn00,rec_yds,0,,,,,
player,201109110cle,cin,DaltAn00,rec_td,0,,,,,
player,201109110cle,cin,DaltAn00,rec_long,0,,,,,
player,201109110cle,cin,DaltAn00,fumbles,1,,,,,
player,201109110cle,cin,DaltAn00,fumbles_lost,0,,,,,
player,201109110cle,cin,GradBr00,pass_cmp,5,,,,,
player,201109110cle,cin,GradBr00,pass_att,12,,,,,
player,201109110cle,cin,GradBr00,pass_yds,92,,,,,
player,201109110cle,cin,GradBr00,pass_td,1,,,,,
player,201109110cle,cin,GradBr00,pass_int,0,,,,,
player,201109110cle,cin,GradBr00,pass_sacked,1,,,,,
player,201109110cle,cin,GradBr00,pass_sacked_yds,7,,,,,
player,201109110cle,cin,GradBr00,pass_long,41,,,,,
player,201109110cle,cin,GradBr00,pass_rating,96.5,,,,,
player,201109110cle,cin,GradBr00,rush_att,2,,,,,
player,201109110cle,cin,GradBr00,rush_yds,0,,,,,
player,201109110cle,cin,GradBr00,rush_td,0,,,,,
player,201109110cle,cin,GradBr00,rush_long,0,,,,,
player,201109110cle,cin,GradBr00,targets,0,,,,,
player,201109110cle,cin,GradBr00,rec,0,,,,,
player,201109110cle,cin,GradBr00,rec_yds,0,,,,,
player,201109110cle,cin,GradBr00,rec_td,0,,,,,
player,201109110cle,cin,GradBr00,rec_long,0,,,,,
player,201109110cle,cin,GradBr00,fumbles,0,,,,,
player,201109110cle,cin,GradBr00,fumbles_lost,,,,,,
player,201109110cle,cin,BensCe00,pass_cmp,0,,,,,
player,201109110cle,cin,BensCe00,pass_att,0,,,,,
player,201109110cle,cin,BensCe00,pass_yds,0,,,,,
player,201109110cle,cin,BensCe00,pass_td,0,,,,,
player,201109110cle,cin,BensCe00,pass_int,0,,,,,
player,201109110cle,cin,BensCe00,pass_sacked,0,,,,,
player,201109110cle,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201109110cle,cin,BensCe00,pass_long,0,,,,,
player,201109110cle,cin,BensCe00,pass_rating,,,,,,
player,201109110cle,cin,BensCe00,rush_att,25,,,,,
player,201109110cle,cin,BensCe00,rush_yds,121,,,,,
player,201109110cle,cin,BensCe00,rush_td,1,,,,,
player,201109110cle,cin,BensCe00,rush_long,39,,,,,
