game,2011,7,20111023,201110230crd,pit,"Pittsburgh Steelers",32,crd,"Arizona Cardinals",20
team,201110230crd,pit,First Downs,26,,,,,,
team,201110230crd,crd,First Downs,23,,,,,,
team,201110230crd,pit,Rush-Yds-TDs,28-91-0,,,,,,
team,201110230crd,crd,Rush-Yds-TDs,19-73-1,,,,,,
team,201110230crd,pit,Cmp-Att-Yd-TD-INT,26-39-361-3-0,,,,,,
team,201110230crd,crd,Cmp-Att-Yd-TD-INT,18-34-272-2-1,,,,,,
team,201110230crd,pit,Sacked-Yards,2-7,,,,,,
team,201110230crd,crd,Sacked-Yards,2-15,,,,,,
team,201110230crd,pit,Net Pass Yards,354,,,,,,
team,201110230crd,crd,Net Pass Yards,257,,,,,,
team,201110230crd,pit,Total Yards,445,,,,,,
team,201110230crd,crd,Total Yards,330,,,,,,
team,201110230crd,pit,Fumbles-Lost,0-0,,,,,,
team,201110230crd,crd,Fumbles-Lost,0-0,,,,,,
team,201110230crd,pit,Turnovers,0,,,,,,
team,201110230crd,crd,Turnovers,1,,,,,,
team,201110230crd,pit,Penalties-Yards,9-69,,,,,,
team,201110230crd,crd,Penalties-Yards,9-74,,,,,,
team,201110230crd,pit,Third Down Conv.,6-12,,,,,,
team,201110230crd,crd,Third Down Conv.,3-8,,,,,,
team,201110230crd,pit,Fourth Down Conv.,0-0,,,,,,
team,201110230crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201110230crd,pit,Time of Possession,35:47,,,,,,
team,201110230crd,crd,Time of Possession,24:13,,,,,,
player,201110230crd,pit,RoetBe00,pass_cmp,26,,,,,
player,201110230crd,pit,RoetBe00,pass_att,39,,,,,
player,201110230crd,pit,RoetBe00,pass_yds,361,,,,,
player,201110230crd,pit,RoetBe00,pass_td,3,,,,,
player,201110230crd,pit,RoetBe00,pass_int,0,,,,,
player,201110230crd,pit,RoetBe00,pass_sacked,2,,,,,
player,201110230crd,pit,RoetBe00,pass_sacked_yds,7,,,,,
player,201110230crd,pit,RoetBe00,pass_long,95,,,,,
player,201110230crd,pit,RoetBe00,pass_rating,121.8,,,,,
player,201110230crd,pit,RoetBe00,rush_att,2,,,,,
player,201110230crd,pit,RoetBe00,rush_yds,-2,,,,,
player,201110230crd,pit,RoetBe00,rush_td,0,,,,,
player,201110230crd,pit,RoetBe00,rush_long,-1,,,,,
player,201110230crd,pit,RoetBe00,targets,0,,,,,
player,201110230crd,pit,RoetBe00,rec,0,,,,,
player,201110230crd,pit,RoetBe00,rec_yds,0,,,,,
player,201110230crd,pit,RoetBe00,rec_td,0,,,,,
player,201110230crd,pit,RoetBe00,rec_long,0,,,,,
player,201110230crd,pit,RoetBe00,fumbles,0,,,,,
player,201110230crd,pit,RoetBe00,fumbles_lost,,,,,,
player,201110230crd,pit,MendRa00,pass_cmp,0,,,,,
player,201110230crd,pit,MendRa00,pass_att,0,,,,,
player,201110230crd,pit,MendRa00,pass_yds,0,,,,,
player,201110230crd,pit,MendRa00,pass_td,0,,,,,
player,201110230crd,pit,MendRa00,pass_int,0,,,,,
player,201110230crd,pit,MendRa00,pass_sacked,0,,,,,
player,201110230crd,pit,MendRa00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,MendRa00,pass_long,0,,,,,
player,201110230crd,pit,MendRa00,pass_rating,,,,,,
player,201110230crd,pit,MendRa00,rush_att,13,,,,,
player,201110230crd,pit,MendRa00,rush_yds,32,,,,,
player,201110230crd,pit,MendRa00,rush_td,0,,,,,
player,201110230crd,pit,MendRa00,rush_long,10,,,,,
player,201110230crd,pit,MendRa00,targets,2,,,,,
player,201110230crd,pit,MendRa00,rec,1,,,,,
player,201110230crd,pit,MendRa00,rec_yds,5,,,,,
player,201110230crd,pit,MendRa00,rec_td,0,,,,,
player,201110230crd,pit,MendRa00,rec_long,5,,,,,
player,201110230crd,pit,MendRa00,fumbles,0,,,,,
player,201110230crd,pit,MendRa00,fumbles_lost,,,,,,
player,201110230crd,pit,RedmIs20,pass_cmp,0,,,,,
player,201110230crd,pit,RedmIs20,pass_att,0,,,,,
player,201110230crd,pit,RedmIs20,pass_yds,0,,,,,
player,201110230crd,pit,RedmIs20,pass_td,0,,,,,
player,201110230crd,pit,RedmIs20,pass_int,0,,,,,
player,201110230crd,pit,RedmIs20,pass_sacked,0,,,,,
player,201110230crd,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201110230crd,pit,RedmIs20,pass_long,0,,,,,
player,201110230crd,pit,RedmIs20,pass_rating,,,,,,
player,201110230crd,pit,RedmIs20,rush_att,6,,,,,
player,201110230crd,pit,RedmIs20,rush_yds,29,,,,,
player,201110230crd,pit,RedmIs20,rush_td,0,,,,,
player,201110230crd,pit,RedmIs20,rush_long,14,,,,,
player,201110230crd,pit,RedmIs20,targets,3,,,,,
player,201110230crd,pit,RedmIs20,rec,3,,,,,
player,201110230crd,pit,RedmIs20,rec_yds,10,,,,,
player,201110230crd,pit,RedmIs20,rec_td,0,,,,,
player,201110230crd,pit,RedmIs20,rec_long,10,,,,,
player,201110230crd,pit,RedmIs20,fumbles,0,,,,,
player,201110230crd,pit,RedmIs20,fumbles_lost,,,,,,
player,201110230crd,pit,MoorMe00,pass_cmp,0,,,,,
player,201110230crd,pit,MoorMe00,pass_att,0,,,,,
player,201110230crd,pit,MoorMe00,pass_yds,0,,,,,
player,201110230crd,pit,MoorMe00,pass_td,0,,,,,
player,201110230crd,pit,MoorMe00,pass_int,0,,,,,
player,201110230crd,pit,MoorMe00,pass_sacked,0,,,,,
player,201110230crd,pit,MoorMe00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,MoorMe00,pass_long,0,,,,,
player,201110230crd,pit,MoorMe00,pass_rating,,,,,,
player,201110230crd,pit,MoorMe00,rush_att,6,,,,,
player,201110230crd,pit,MoorMe00,rush_yds,26,,,,,
player,201110230crd,pit,MoorMe00,rush_td,0,,,,,
player,201110230crd,pit,MoorMe00,rush_long,9,,,,,
player,201110230crd,pit,MoorMe00,targets,0,,,,,
player,201110230crd,pit,MoorMe00,rec,0,,,,,
player,201110230crd,pit,MoorMe00,rec_yds,0,,,,,
player,201110230crd,pit,MoorMe00,rec_td,0,,,,,
player,201110230crd,pit,MoorMe00,rec_long,0,,,,,
player,201110230crd,pit,MoorMe00,fumbles,0,,,,,
player,201110230crd,pit,MoorMe00,fumbles_lost,,,,,,
player,201110230crd,pit,MillHe00,pass_cmp,0,,,,,
player,201110230crd,pit,MillHe00,pass_att,0,,,,,
player,201110230crd,pit,MillHe00,pass_yds,0,,,,,
player,201110230crd,pit,MillHe00,pass_td,0,,,,,
player,201110230crd,pit,MillHe00,pass_int,0,,,,,
player,201110230crd,pit,MillHe00,pass_sacked,0,,,,,
player,201110230crd,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201110230crd,pit,MillHe00,pass_long,0,,,,,
player,201110230crd,pit,MillHe00,pass_rating,,,,,,
player,201110230crd,pit,MillHe00,rush_att,1,,,,,
player,201110230crd,pit,MillHe00,rush_yds,6,,,,,
player,201110230crd,pit,MillHe00,rush_td,0,,,,,
