game,2011,8,20111030,201110300rav,crd,"Arizona Cardinals",27,rav,"Baltimore Ravens",30
team,201110300rav,crd,First Downs,17,,,,,,
team,201110300rav,rav,First Downs,30,,,,,,
team,201110300rav,crd,Rush-Yds-TDs,30-109-1,,,,,,
team,201110300rav,rav,Rush-Yds-TDs,26-107-3,,,,,,
team,201110300rav,crd,Cmp-Att-Yd-TD-INT,10-21-153-1-1,,,,,,
team,201110300rav,rav,Cmp-Att-Yd-TD-INT,31-51-336-0-1,,,,,,
team,201110300rav,crd,Sacked-Yards,6-55,,,,,,
team,201110300rav,rav,Sacked-Yards,3-38,,,,,,
team,201110300rav,crd,Net Pass Yards,98,,,,,,
team,201110300rav,rav,Net Pass Yards,298,,,,,,
team,201110300rav,crd,Total Yards,207,,,,,,
team,201110300rav,rav,Total Yards,405,,,,,,
team,201110300rav,crd,Fumbles-Lost,1-0,,,,,,
team,201110300rav,rav,Fumbles-Lost,2-1,,,,,,
team,201110300rav,crd,Turnovers,1,,,,,,
team,201110300rav,rav,Turnovers,2,,,,,,
team,201110300rav,crd,Penalties-Yards,12-92,,,,,,
team,201110300rav,rav,Penalties-Yards,11-99,,,,,,
team,201110300rav,crd,Third Down Conv.,2-11,,,,,,
team,201110300rav,rav,Third Down Conv.,4-11,,,,,,
team,201110300rav,crd,Fourth Down Conv.,1-1,,,,,,
team,201110300rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201110300rav,crd,Time of Possession,30:18,,,,,,
team,201110300rav,rav,Time of Possession,29:42,,,,,,
player,201110300rav,crd,KolbKe00,pass_cmp,10,,,,,
player,201110300rav,crd,KolbKe00,pass_att,21,,,,,
player,201110300rav,crd,KolbKe00,pass_yds,153,,,,,
player,201110300rav,crd,KolbKe00,pass_td,1,,,,,
player,201110300rav,crd,KolbKe00,pass_int,1,,,,,
player,201110300rav,crd,KolbKe00,pass_sacked,6,,,,,
player,201110300rav,crd,KolbKe00,pass_sacked_yds,55,,,,,
player,201110300rav,crd,KolbKe00,pass_long,66,,,,,
player,201110300rav,crd,KolbKe00,pass_rating,68.2,,,,,
player,201110300rav,crd,KolbKe00,rush_att,1,,,,,
player,201110300rav,crd,KolbKe00,rush_yds,5,,,,,
player,201110300rav,crd,KolbKe00,rush_td,0,,,,,
player,201110300rav,crd,KolbKe00,rush_long,5,,,,,
player,201110300rav,crd,KolbKe00,targets,0,,,,,
player,201110300rav,crd,KolbKe00,rec,0,,,,,
player,201110300rav,crd,KolbKe00,rec_yds,0,,,,,
player,201110300rav,crd,KolbKe00,rec_td,0,,,,,
player,201110300rav,crd,KolbKe00,rec_long,0,,,,,
player,201110300rav,crd,KolbKe00,fumbles,1,,,,,
player,201110300rav,crd,KolbKe00,fumbles_lost,0,,,,,
player,201110300rav,crd,WellCh00,pass_cmp,0,,,,,
player,201110300rav,crd,WellCh00,pass_att,0,,,,,
player,201110300rav,crd,WellCh00,pass_yds,0,,,,,
player,201110300rav,crd,WellCh00,pass_td,0,,,,,
player,201110300rav,crd,WellCh00,pass_int,0,,,,,
player,201110300rav,crd,WellCh00,pass_sacked,0,,,,,
player,201110300rav,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,WellCh00,pass_long,0,,,,,
player,201110300rav,crd,WellCh00,pass_rating,,,,,,
player,201110300rav,crd,WellCh00,rush_att,22,,,,,
player,201110300rav,crd,WellCh00,rush_yds,83,,,,,
player,201110300rav,crd,WellCh00,rush_td,1,,,,,
player,201110300rav,crd,WellCh00,rush_long,16,,,,,
player,201110300rav,crd,WellCh00,targets,0,,,,,
player,201110300rav,crd,WellCh00,rec,0,,,,,
player,201110300rav,crd,WellCh00,rec_yds,0,,,,,
player,201110300rav,crd,WellCh00,rec_td,0,,,,,
player,201110300rav,crd,WellCh00,rec_long,0,,,,,
player,201110300rav,crd,WellCh00,fumbles,0,,,,,
player,201110300rav,crd,WellCh00,fumbles_lost,,,,,,
player,201110300rav,crd,StepLa00,pass_cmp,0,,,,,
player,201110300rav,crd,StepLa00,pass_att,0,,,,,
player,201110300rav,crd,StepLa00,pass_yds,0,,,,,
player,201110300rav,crd,StepLa00,pass_td,0,,,,,
player,201110300rav,crd,StepLa00,pass_int,0,,,,,
player,201110300rav,crd,StepLa00,pass_sacked,0,,,,,
player,201110300rav,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201110300rav,crd,StepLa00,pass_long,0,,,,,
player,201110300rav,crd,StepLa00,pass_rating,,,,,,
player,201110300rav,crd,StepLa00,rush_att,5,,,,,
