game,2011,5,20111009,201110090nwe,nyj,"New York Jets",21,nwe,"New England Patriots",30
team,201110090nwe,nyj,First Downs,14,,,,,,
team,201110090nwe,nwe,First Downs,26,,,,,,
team,201110090nwe,nyj,Rush-Yds-TDs,25-97-1,,,,,,
team,201110090nwe,nwe,Rush-Yds-TDs,35-152-2,,,,,,
team,201110090nwe,nyj,Cmp-Att-Yd-TD-INT,16-26-166-2-0,,,,,,
team,201110090nwe,nwe,Cmp-Att-Yd-TD-INT,24-33-321-1-1,,,,,,
team,201110090nwe,nyj,Sacked-Yards,2-8,,,,,,
team,201110090nwe,nwe,Sacked-Yards,4-27,,,,,,
team,201110090nwe,nyj,Net Pass Yards,158,,,,,,
team,201110090nwe,nwe,Net Pass Yards,294,,,,,,
team,201110090nwe,nyj,Total Yards,255,,,,,,
team,201110090nwe,nwe,Total Yards,446,,,,,,
team,201110090nwe,nyj,Fumbles-Lost,0-0,,,,,,
team,201110090nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201110090nwe,nyj,Turnovers,0,,,,,,
team,201110090nwe,nwe,Turnovers,1,,,,,,
team,201110090nwe,nyj,Penalties-Yards,8-89,,,,,,
team,201110090nwe,nwe,Penalties-Yards,6-50,,,,,,
team,201110090nwe,nyj,Third Down Conv.,3-11,,,,,,
team,201110090nwe,nwe,Third Down Conv.,7-14,,,,,,
team,201110090nwe,nyj,Fourth Down Conv.,0-0,,,,,,
team,201110090nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201110090nwe,nyj,Time of Possession,26:05,,,,,,
team,201110090nwe,nwe,Time of Possession,33:55,,,,,,
player,201110090nwe,nyj,SancMa00,pass_cmp,16,,,,,
player,201110090nwe,nyj,SancMa00,pass_att,26,,,,,
player,201110090nwe,nyj,SancMa00,pass_yds,166,,,,,
player,201110090nwe,nyj,SancMa00,pass_td,2,,,,,
player,201110090nwe,nyj,SancMa00,pass_int,0,,,,,
player,201110090nwe,nyj,SancMa00,pass_sacked,2,,,,,
player,201110090nwe,nyj,SancMa00,pass_sacked_yds,8,,,,,
player,201110090nwe,nyj,SancMa00,pass_long,22,,,,,
