game,2011,14,20111208,201112080pit,cle,"Cleveland Browns",3,pit,"Pittsburgh Steelers",14
team,201112080pit,cle,First Downs,19,,,,,,
team,201112080pit,pit,First Downs,20,,,,,,
team,201112080pit,cle,Rush-Yds-TDs,30-98-0,,,,,,
team,201112080pit,pit,Rush-Yds-TDs,28-147-0,,,,,,
team,201112080pit,cle,Cmp-Att-Yd-TD-INT,19-36-222-0-2,,,,,,
team,201112080pit,pit,Cmp-Att-Yd-TD-INT,16-23-280-2-1,,,,,,
team,201112080pit,cle,Sacked-Yards,3-16,,,,,,
team,201112080pit,pit,Sacked-Yards,2-11,,,,,,
team,201112080pit,cle,Net Pass Yards,206,,,,,,
team,201112080pit,pit,Net Pass Yards,269,,,,,,
team,201112080pit,cle,Total Yards,304,,,,,,
team,201112080pit,pit,Total Yards,416,,,,,,
team,201112080pit,cle,Fumbles-Lost,2-0,,,,,,
team,201112080pit,pit,Fumbles-Lost,2-2,,,,,,
team,201112080pit,cle,Turnovers,2,,,,,,
team,201112080pit,pit,Turnovers,3,,,,,,
team,201112080pit,cle,Penalties-Yards,6-54,,,,,,
team,201112080pit,pit,Penalties-Yards,12-97,,,,,,
team,201112080pit,cle,Third Down Conv.,7-16,,,,,,
team,201112080pit,pit,Third Down Conv.,2-8,,,,,,
team,201112080pit,cle,Fourth Down Conv.,0-1,,,,,,
team,201112080pit,pit,Fourth Down Conv.,0-1,,,,,,
team,201112080pit,cle,Time of Possession,32:18,,,,,,
team,201112080pit,pit,Time of Possession,27:42,,,,,,
player,201112080pit,cle,McCoCo00,pass_cmp,18,,,,,
player,201112080pit,cle,McCoCo00,pass_att,35,,,,,
player,201112080pit,cle,McCoCo00,pass_yds,209,,,,,
player,201112080pit,cle,McCoCo00,pass_td,0,,,,,
player,201112080pit,cle,McCoCo00,pass_int,2,,,,,
player,201112080pit,cle,McCoCo00,pass_sacked,3,,,,,
player,201112080pit,cle,McCoCo00,pass_sacked_yds,16,,,,,
player,201112080pit,cle,McCoCo00,pass_long,33,,,,,
player,201112080pit,cle,McCoCo00,pass_rating,46.0,,,,,
player,201112080pit,cle,McCoCo00,rush_att,6,,,,,
player,201112080pit,cle,McCoCo00,rush_yds,15,,,,,
player,201112080pit,cle,McCoCo00,rush_td,0,,,,,
player,201112080pit,cle,McCoCo00,rush_long,5,,,,,
player,201112080pit,cle,McCoCo00,targets,0,,,,,
player,201112080pit,cle,McCoCo00,rec,0,,,,,
player,201112080pit,cle,McCoCo00,rec_yds,0,,,,,
player,201112080pit,cle,McCoCo00,rec_td,0,,,,,
player,201112080pit,cle,McCoCo00,rec_long,0,,,,,
player,201112080pit,cle,McCoCo00,fumbles,1,,,,,
player,201112080pit,cle,McCoCo00,fumbles_lost,0,,,,,
player,201112080pit,cle,WallSe00,pass_cmp,1,,,,,
player,201112080pit,cle,WallSe00,pass_att,1,,,,,
player,201112080pit,cle,WallSe00,pass_yds,13,,,,,
player,201112080pit,cle,WallSe00,pass_td,0,,,,,
player,201112080pit,cle,WallSe00,pass_int,0,,,,,
player,201112080pit,cle,WallSe00,pass_sacked,0,,,,,
player,201112080pit,cle,WallSe00,pass_sacked_yds,0,,,,,
player,201112080pit,cle,WallSe00,pass_long,13,,,,,
player,201112080pit,cle,WallSe00,pass_rating,118.7,,,,,
player,201112080pit,cle,WallSe00,rush_att,0,,,,,
player,201112080pit,cle,WallSe00,rush_yds,0,,,,,
player,201112080pit,cle,WallSe00,rush_td,0,,,,,
player,201112080pit,cle,WallSe00,rush_long,0,,,,,
player,201112080pit,cle,WallSe00,targets,0,,,,,
player,201112080pit,cle,WallSe00,rec,0,,,,,
player,201112080pit,cle,WallSe00,rec_yds,0,,,,,
player,201112080pit,cle,WallSe00,rec_td,0,,,,,
player,201112080pit,cle,WallSe00,rec_long,0,,,,,
player,201112080pit,cle,WallSe00,fumbles,0,,,,,
player,201112080pit,cle,WallSe00,fumbles_lost,,,,,,
player,201112080pit,cle,OgboCh00,pass_cmp,0,,,,,
player,201112080pit,cle,OgboCh00,pass_att,0,,,,,
player,201112080pit,cle,OgboCh00,pass_yds,0,,,,,
player,201112080pit,cle,OgboCh00,pass_td,0,,,,,
player,201112080pit,cle,OgboCh00,pass_int,0,,,,,
player,201112080pit,cle,OgboCh00,pass_sacked,0,,,,,
player,201112080pit,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201112080pit,cle,OgboCh00,pass_long,0,,,,,
player,201112080pit,cle,OgboCh00,pass_rating,,,,,,
player,201112080pit,cle,OgboCh00,rush_att,2,,,,,
player,201112080pit,cle,OgboCh00,rush_yds,31,,,,,
player,201112080pit,cle,OgboCh00,rush_td,0,,,,,
player,201112080pit,cle,OgboCh00,rush_long,28,,,,,
player,201112080pit,cle,OgboCh00,targets,2,,,,,
player,201112080pit,cle,OgboCh00,rec,0,,,,,
player,201112080pit,cle,OgboCh00,rec_yds,0,,,,,
player,201112080pit,cle,OgboCh00,rec_td,0,,,,,
player,201112080pit,cle,OgboCh00,rec_long,0,,,,,
player,201112080pit,cle,OgboCh00,fumbles,0,,,,,
player,201112080pit,cle,OgboCh00,fumbles_lost,,,,,,
player,201112080pit,cle,HillPe00,pass_cmp,0,,,,,
player,201112080pit,cle,HillPe00,pass_att,0,,,,,
player,201112080pit,cle,HillPe00,pass_yds,0,,,,,
player,201112080pit,cle,HillPe00,pass_td,0,,,,,
player,201112080pit,cle,HillPe00,pass_int,0,,,,,
player,201112080pit,cle,HillPe00,pass_sacked,0,,,,,
player,201112080pit,cle,HillPe00,pass_sacked_yds,0,,,,,
player,201112080pit,cle,HillPe00,pass_long,0,,,,,
player,201112080pit,cle,HillPe00,pass_rating,,,,,,
player,201112080pit,cle,HillPe00,rush_att,10,,,,,
player,201112080pit,cle,HillPe00,rush_yds,25,,,,,
player,201112080pit,cle,HillPe00,rush_td,0,,,,,
player,201112080pit,cle,HillPe00,rush_long,8,,,,,
player,201112080pit,cle,HillPe00,targets,1,,,,,
player,201112080pit,cle,HillPe00,rec,0,,,,,
player,201112080pit,cle,HillPe00,rec_yds,0,,,,,
player,201112080pit,cle,HillPe00,rec_td,0,,,,,
player,201112080pit,cle,HillPe00,rec_long,0,,,,,
player,201112080pit,cle,HillPe00,fumbles,0,,,,,
player,201112080pit,cle,HillPe00,fumbles_lost,,,,,,
player,201112080pit,cle,HardMo00,pass_cmp,0,,,,,
player,201112080pit,cle,HardMo00,pass_att,0,,,,,
player,201112080pit,cle,HardMo00,pass_yds,0,,,,,
player,201112080pit,cle,HardMo00,pass_td,0,,,,,
player,201112080pit,cle,HardMo00,pass_int,0,,,,,
player,201112080pit,cle,HardMo00,pass_sacked,0,,,,,
player,201112080pit,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201112080pit,cle,HardMo00,pass_long,0,,,,,
player,201112080pit,cle,HardMo00,pass_rating,,,,,,
player,201112080pit,cle,HardMo00,rush_att,11,,,,,
player,201112080pit,cle,HardMo00,rush_yds,24,,,,,
player,201112080pit,cle,HardMo00,rush_td,0,,,,,
player,201112080pit,cle,HardMo00,rush_long,5,,,,,
player,201112080pit,cle,HardMo00,targets,2,,,,,
player,201112080pit,cle,HardMo00,rec,2,,,,,
player,201112080pit,cle,HardMo00,rec_yds,9,,,,,
player,201112080pit,cle,HardMo00,rec_td,0,,,,,
player,201112080pit,cle,HardMo00,rec_long,5,,,,,
player,201112080pit,cle,HardMo00,fumbles,0,,,,,
player,201112080pit,cle,HardMo00,fumbles_lost,,,,,,
player,201112080pit,cle,CribJo01,pass_cmp,0,,,,,
player,201112080pit,cle,CribJo01,pass_att,0,,,,,
player,201112080pit,cle,CribJo01,pass_yds,0,,,,,
player,201112080pit,cle,CribJo01,pass_td,0,,,,,
player,201112080pit,cle,CribJo01,pass_int,0,,,,,
player,201112080pit,cle,CribJo01,pass_sacked,0,,,,,
player,201112080pit,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201112080pit,cle,CribJo01,pass_long,0,,,,,
player,201112080pit,cle,CribJo01,pass_rating,,,,,,
player,201112080pit,cle,CribJo01,rush_att,1,,,,,
player,201112080pit,cle,CribJo01,rush_yds,3,,,,,
player,201112080pit,cle,CribJo01,rush_td,0,,,,,
player,201112080pit,cle,CribJo01,rush_long,3,,,,,
player,201112080pit,cle,CribJo01,targets,2,,,,,
player,201112080pit,cle,CribJo01,rec,2,,,,,
player,201112080pit,cle,CribJo01,rec_yds,38,,,,,
player,201112080pit,cle,CribJo01,rec_td,0,,,,,
player,201112080pit,cle,CribJo01,rec_long,25,,,,,
player,201112080pit,cle,CribJo01,fumbles,0,,,,,
