game,2011,15,20111217,201112170tam,dal,"Dallas Cowboys",31,tam,"Tampa Bay Buccaneers",15
team,201112170tam,dal,First Downs,28,,,,,,
team,201112170tam,tam,First Downs,7,,,,,,
team,201112170tam,dal,Rush-Yds-TDs,37-160-1,,,,,,
team,201112170tam,tam,Rush-Yds-TDs,13-58-0,,,,,,
team,201112170tam,dal,Cmp-Att-Yd-TD-INT,23-30-249-3-0,,,,,,
team,201112170tam,tam,Cmp-Att-Yd-TD-INT,17-27-148-1-0,,,,,,
team,201112170tam,dal,Sacked-Yards,2-10,,,,,,
team,201112170tam,tam,Sacked-Yards,3-16,,,,,,
team,201112170tam,dal,Net Pass Yards,239,,,,,,
team,201112170tam,tam,Net Pass Yards,132,,,,,,
team,201112170tam,dal,Total Yards,399,,,,,,
team,201112170tam,tam,Total Yards,190,,,,,,
team,201112170tam,dal,Fumbles-Lost,2-1,,,,,,
team,201112170tam,tam,Fumbles-Lost,1-1,,,,,,
team,201112170tam,dal,Turnovers,1,,,,,,
team,201112170tam,tam,Turnovers,1,,,,,,
team,201112170tam,dal,Penalties-Yards,2-15,,,,,,
team,201112170tam,tam,Penalties-Yards,6-46,,,,,,
team,201112170tam,dal,Third Down Conv.,7-13,,,,,,
team,201112170tam,tam,Third Down Conv.,5-12,,,,,,
team,201112170tam,dal,Fourth Down Conv.,1-1,,,,,,
team,201112170tam,tam,Fourth Down Conv.,1-3,,,,,,
team,201112170tam,dal,Time of Possession,37:59,,,,,,
team,201112170tam,tam,Time of Possession,22:01,,,,,,
player,201112170tam,dal,RomoTo00,pass_cmp,23,,,,,
player,201112170tam,dal,RomoTo00,pass_att,30,,,,,
player,201112170tam,dal,RomoTo00,pass_yds,249,,,,,
player,201112170tam,dal,RomoTo00,pass_td,3,,,,,
player,201112170tam,dal,RomoTo00,pass_int,0,,,,,
player,201112170tam,dal,RomoTo00,pass_sacked,2,,,,,
player,201112170tam,dal,RomoTo00,pass_sacked_yds,10,,,,,
player,201112170tam,dal,RomoTo00,pass_long,28,,,,,
player,201112170tam,dal,RomoTo00,pass_rating,133.9,,,,,
player,201112170tam,dal,RomoTo00,rush_att,3,,,,,
player,201112170tam,dal,RomoTo00,rush_yds,-1,,,,,
player,201112170tam,dal,RomoTo00,rush_td,1,,,,,
player,201112170tam,dal,RomoTo00,rush_long,1,,,,,
player,201112170tam,dal,RomoTo00,targets,0,,,,,
player,201112170tam,dal,RomoTo00,rec,0,,,,,
player,201112170tam,dal,RomoTo00,rec_yds,0,,,,,
player,201112170tam,dal,RomoTo00,rec_td,0,,,,,
player,201112170tam,dal,RomoTo00,rec_long,0,,,,,
player,201112170tam,dal,RomoTo00,fumbles,1,,,,,
player,201112170tam,dal,RomoTo00,fumbles_lost,1,,,,,
player,201112170tam,dal,JoneFe00,pass_cmp,0,,,,,
player,201112170tam,dal,JoneFe00,pass_att,0,,,,,
player,201112170tam,dal,JoneFe00,pass_yds,0,,,,,
player,201112170tam,dal,JoneFe00,pass_td,0,,,,,
player,201112170tam,dal,JoneFe00,pass_int,0,,,,,
player,201112170tam,dal,JoneFe00,pass_sacked,0,,,,,
player,201112170tam,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,JoneFe00,pass_long,0,,,,,
player,201112170tam,dal,JoneFe00,pass_rating,,,,,,
player,201112170tam,dal,JoneFe00,rush_att,22,,,,,
player,201112170tam,dal,JoneFe00,rush_yds,108,,,,,
player,201112170tam,dal,JoneFe00,rush_td,0,,,,,
player,201112170tam,dal,JoneFe00,rush_long,38,,,,,
player,201112170tam,dal,JoneFe00,targets,4,,,,,
player,201112170tam,dal,JoneFe00,rec,3,,,,,
player,201112170tam,dal,JoneFe00,rec_yds,23,,,,,
player,201112170tam,dal,JoneFe00,rec_td,0,,,,,
player,201112170tam,dal,JoneFe00,rec_long,14,,,,,
player,201112170tam,dal,JoneFe00,fumbles,1,,,,,
player,201112170tam,dal,JoneFe00,fumbles_lost,0,,,,,
player,201112170tam,dal,MorrSa00,pass_cmp,0,,,,,
player,201112170tam,dal,MorrSa00,pass_att,0,,,,,
player,201112170tam,dal,MorrSa00,pass_yds,0,,,,,
player,201112170tam,dal,MorrSa00,pass_td,0,,,,,
player,201112170tam,dal,MorrSa00,pass_int,0,,,,,
player,201112170tam,dal,MorrSa00,pass_sacked,0,,,,,
player,201112170tam,dal,MorrSa00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,MorrSa00,pass_long,0,,,,,
player,201112170tam,dal,MorrSa00,pass_rating,,,,,,
player,201112170tam,dal,MorrSa00,rush_att,12,,,,,
player,201112170tam,dal,MorrSa00,rush_yds,53,,,,,
player,201112170tam,dal,MorrSa00,rush_td,0,,,,,
player,201112170tam,dal,MorrSa00,rush_long,15,,,,,
player,201112170tam,dal,MorrSa00,targets,2,,,,,
player,201112170tam,dal,MorrSa00,rec,0,,,,,
player,201112170tam,dal,MorrSa00,rec_yds,0,,,,,
player,201112170tam,dal,MorrSa00,rec_td,0,,,,,
player,201112170tam,dal,MorrSa00,rec_long,0,,,,,
player,201112170tam,dal,MorrSa00,fumbles,0,,,,,
player,201112170tam,dal,MorrSa00,fumbles_lost,,,,,,
player,201112170tam,dal,WittJa00,pass_cmp,0,,,,,
player,201112170tam,dal,WittJa00,pass_att,0,,,,,
player,201112170tam,dal,WittJa00,pass_yds,0,,,,,
player,201112170tam,dal,WittJa00,pass_td,0,,,,,
player,201112170tam,dal,WittJa00,pass_int,0,,,,,
player,201112170tam,dal,WittJa00,pass_sacked,0,,,,,
player,201112170tam,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201112170tam,dal,WittJa00,pass_long,0,,,,,
player,201112170tam,dal,WittJa00,pass_rating,,,,,,
player,201112170tam,dal,WittJa00,rush_att,0,,,,,
player,201112170tam,dal,WittJa00,rush_yds,0,,,,,
player,201112170tam,dal,WittJa00,rush_td,0,,,,,
player,201112170tam,dal,WittJa00,rush_long,0,,,,,
player,201112170tam,dal,WittJa00,targets,5,,,,,
player,201112170tam,dal,WittJa00,rec,4,,,,,
player,201112170tam,dal,WittJa00,rec_yds,77,,,,,
