game,2011,16,20111224,201112240cin,crd,"Arizona Cardinals",16,cin,"Cincinnati Bengals",23
team,201112240cin,crd,First Downs,17,,,,,,
team,201112240cin,cin,First Downs,21,,,,,,
team,201112240cin,crd,Rush-Yds-TDs,18-59-0,,,,,,
team,201112240cin,cin,Rush-Yds-TDs,34-165-0,,,,,,
team,201112240cin,crd,Cmp-Att-Yd-TD-INT,23-44-297-2-3,,,,,,
team,201112240cin,cin,Cmp-Att-Yd-TD-INT,18-31-154-2-0,,,,,,
team,201112240cin,crd,Sacked-Yards,5-40,,,,,,
team,201112240cin,cin,Sacked-Yards,2-18,,,,,,
team,201112240cin,crd,Net Pass Yards,257,,,,,,
team,201112240cin,cin,Net Pass Yards,136,,,,,,
team,201112240cin,crd,Total Yards,316,,,,,,
team,201112240cin,cin,Total Yards,301,,,,,,
team,201112240cin,crd,Fumbles-Lost,1-0,,,,,,
team,201112240cin,cin,Fumbles-Lost,2-2,,,,,,
team,201112240cin,crd,Turnovers,3,,,,,,
team,201112240cin,cin,Turnovers,2,,,,,,
team,201112240cin,crd,Penalties-Yards,6-87,,,,,,
team,201112240cin,cin,Penalties-Yards,6-47,,,,,,
team,201112240cin,crd,Third Down Conv.,4-14,,,,,,
team,201112240cin,cin,Third Down Conv.,5-14,,,,,,
team,201112240cin,crd,Fourth Down Conv.,1-2,,,,,,
team,201112240cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201112240cin,crd,Time of Possession,28:21,,,,,,
team,201112240cin,cin,Time of Possession,31:39,,,,,,
player,201112240cin,crd,SkelJo00,pass_cmp,23,,,,,
player,201112240cin,crd,SkelJo00,pass_att,44,,,,,
player,201112240cin,crd,SkelJo00,pass_yds,297,,,,,
player,201112240cin,crd,SkelJo00,pass_td,2,,,,,
player,201112240cin,crd,SkelJo00,pass_int,3,,,,,
player,201112240cin,crd,SkelJo00,pass_sacked,5,,,,,
player,201112240cin,crd,SkelJo00,pass_sacked_yds,40,,,,,
player,201112240cin,crd,SkelJo00,pass_long,39,,,,,
player,201112240cin,crd,SkelJo00,pass_rating,60.5,,,,,
player,201112240cin,crd,SkelJo00,rush_att,4,,,,,
player,201112240cin,crd,SkelJo00,rush_yds,6,,,,,
player,201112240cin,crd,SkelJo00,rush_td,0,,,,,
player,201112240cin,crd,SkelJo00,rush_long,4,,,,,
player,201112240cin,crd,SkelJo00,targets,0,,,,,
player,201112240cin,crd,SkelJo00,rec,0,,,,,
player,201112240cin,crd,SkelJo00,rec_yds,0,,,,,
player,201112240cin,crd,SkelJo00,rec_td,0,,,,,
player,201112240cin,crd,SkelJo00,rec_long,0,,,,,
player,201112240cin,crd,SkelJo00,fumbles,1,,,,,
player,201112240cin,crd,SkelJo00,fumbles_lost,0,,,,,
player,201112240cin,crd,WellCh00,pass_cmp,0,,,,,
player,201112240cin,crd,WellCh00,pass_att,0,,,,,
player,201112240cin,crd,WellCh00,pass_yds,0,,,,,
player,201112240cin,crd,WellCh00,pass_td,0,,,,,
player,201112240cin,crd,WellCh00,pass_int,0,,,,,
player,201112240cin,crd,WellCh00,pass_sacked,0,,,,,
player,201112240cin,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201112240cin,crd,WellCh00,pass_long,0,,,,,
player,201112240cin,crd,WellCh00,pass_rating,,,,,,
player,201112240cin,crd,WellCh00,rush_att,14,,,,,
player,201112240cin,crd,WellCh00,rush_yds,53,,,,,
player,201112240cin,crd,WellCh00,rush_td,0,,,,,
player,201112240cin,crd,WellCh00,rush_long,8,,,,,
player,201112240cin,crd,WellCh00,targets,1,,,,,
player,201112240cin,crd,WellCh00,rec,1,,,,,
player,201112240cin,crd,WellCh00,rec_yds,8,,,,,
player,201112240cin,crd,WellCh00,rec_td,0,,,,,
player,201112240cin,crd,WellCh00,rec_long,8,,,,,
player,201112240cin,crd,WellCh00,fumbles,0,,,,,
player,201112240cin,crd,WellCh00,fumbles_lost,,,,,,
player,201112240cin,crd,FitzLa00,pass_cmp,0,,,,,
player,201112240cin,crd,FitzLa00,pass_att,0,,,,,
player,201112240cin,crd,FitzLa00,pass_yds,0,,,,,
player,201112240cin,crd,FitzLa00,pass_td,0,,,,,
player,201112240cin,crd,FitzLa00,pass_int,0,,,,,
player,201112240cin,crd,FitzLa00,pass_sacked,0,,,,,
player,201112240cin,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201112240cin,crd,FitzLa00,pass_long,0,,,,,
player,201112240cin,crd,FitzLa00,pass_rating,,,,,,
player,201112240cin,crd,FitzLa00,rush_att,0,,,,,
player,201112240cin,crd,FitzLa00,rush_yds,0,,,,,
player,201112240cin,crd,FitzLa00,rush_td,0,,,,,
player,201112240cin,crd,FitzLa00,rush_long,0,,,,,
player,201112240cin,crd,FitzLa00,targets,11,,,,,
player,201112240cin,crd,FitzLa00,rec,6,,,,,
player,201112240cin,crd,FitzLa00,rec_yds,105,,,,,
player,201112240cin,crd,FitzLa00,rec_td,1,,,,,
player,201112240cin,crd,FitzLa00,rec_long,39,,,,,
player,201112240cin,crd,FitzLa00,fumbles,0,,,,,
player,201112240cin,crd,FitzLa00,fumbles_lost,,,,,,
player,201112240cin,crd,RobeAn00,pass_cmp,0,,,,,
player,201112240cin,crd,RobeAn00,pass_att,0,,,,,
player,201112240cin,crd,RobeAn00,pass_yds,0,,,,,
player,201112240cin,crd,RobeAn00,pass_td,0,,,,,
player,201112240cin,crd,RobeAn00,pass_int,0,,,,,
player,201112240cin,crd,RobeAn00,pass_sacked,0,,,,,
player,201112240cin,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201112240cin,crd,RobeAn00,pass_long,0,,,,,
player,201112240cin,crd,RobeAn00,pass_rating,,,,,,
player,201112240cin,crd,RobeAn00,rush_att,0,,,,,
player,201112240cin,crd,RobeAn00,rush_yds,0,,,,,
player,201112240cin,crd,RobeAn00,rush_td,0,,,,,
player,201112240cin,crd,RobeAn00,rush_long,0,,,,,
player,201112240cin,crd,RobeAn00,targets,10,,,,,
player,201112240cin,crd,RobeAn00,rec,6,,,,,
player,201112240cin,crd,RobeAn00,rec_yds,75,,,,,
player,201112240cin,crd,RobeAn00,rec_td,0,,,,,
player,201112240cin,crd,RobeAn00,rec_long,22,,,,,
player,201112240cin,crd,RobeAn00,fumbles,0,,,,,
player,201112240cin,crd,RobeAn00,fumbles_lost,,,,,,
player,201112240cin,crd,DoucEa00,pass_cmp,0,,,,,
player,201112240cin,crd,DoucEa00,pass_att,0,,,,,
player,201112240cin,crd,DoucEa00,pass_yds,0,,,,,
player,201112240cin,crd,DoucEa00,pass_td,0,,,,,
player,201112240cin,crd,DoucEa00,pass_int,0,,,,,
player,201112240cin,crd,DoucEa00,pass_sacked,0,,,,,
player,201112240cin,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201112240cin,crd,DoucEa00,pass_long,0,,,,,
player,201112240cin,crd,DoucEa00,pass_rating,,,,,,
player,201112240cin,crd,DoucEa00,rush_att,0,,,,,
player,201112240cin,crd,DoucEa00,rush_yds,0,,,,,
player,201112240cin,crd,DoucEa00,rush_td,0,,,,,
player,201112240cin,crd,DoucEa00,rush_long,0,,,,,
player,201112240cin,crd,DoucEa00,targets,6,,,,,
player,201112240cin,crd,DoucEa00,rec,2,,,,,
player,201112240cin,crd,DoucEa00,rec_yds,47,,,,,
player,201112240cin,crd,DoucEa00,rec_td,0,,,,,
player,201112240cin,crd,DoucEa00,rec_long,27,,,,,
player,201112240cin,crd,DoucEa00,fumbles,0,,,,,
player,201112240cin,crd,DoucEa00,fumbles_lost,,,,,,
player,201112240cin,crd,HeapTo00,pass_cmp,0,,,,,
player,201112240cin,crd,HeapTo00,pass_att,0,,,,,
player,201112240cin,crd,HeapTo00,pass_yds,0,,,,,
