game,2011,4,20111002,201110020gnb,den,"Denver Broncos",23,gnb,"Green Bay Packers",49
team,201110020gnb,den,First Downs,18,,,,,,
team,201110020gnb,gnb,First Downs,26,,,,,,
team,201110020gnb,den,Rush-Yds-TDs,23-119-0,,,,,,
team,201110020gnb,gnb,Rush-Yds-TDs,28-111-2,,,,,,
team,201110020gnb,den,Cmp-Att-Yd-TD-INT,22-32-273-3-3,,,,,,
team,201110020gnb,gnb,Cmp-Att-Yd-TD-INT,29-39-408-4-2,,,,,,
team,201110020gnb,den,Sacked-Yards,1-8,,,,,,
team,201110020gnb,gnb,Sacked-Yards,2-12,,,,,,
team,201110020gnb,den,Net Pass Yards,265,,,,,,
team,201110020gnb,gnb,Net Pass Yards,396,,,,,,
team,201110020gnb,den,Total Yards,384,,,,,,
team,201110020gnb,gnb,Total Yards,507,,,,,,
team,201110020gnb,den,Fumbles-Lost,1-1,,,,,,
team,201110020gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201110020gnb,den,Turnovers,4,,,,,,
team,201110020gnb,gnb,Turnovers,2,,,,,,
team,201110020gnb,den,Penalties-Yards,3-24,,,,,,
team,201110020gnb,gnb,Penalties-Yards,3-27,,,,,,
team,201110020gnb,den,Third Down Conv.,4-11,,,,,,
team,201110020gnb,gnb,Third Down Conv.,9-13,,,,,,
team,201110020gnb,den,Fourth Down Conv.,1-1,,,,,,
team,201110020gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201110020gnb,den,Time of Possession,26:59,,,,,,
team,201110020gnb,gnb,Time of Possession,33:01,,,,,,
player,201110020gnb,den,OrtoKy00,pass_cmp,22,,,,,
player,201110020gnb,den,OrtoKy00,pass_att,32,,,,,
player,201110020gnb,den,OrtoKy00,pass_yds,273,,,,,
player,201110020gnb,den,OrtoKy00,pass_td,3,,,,,
player,201110020gnb,den,OrtoKy00,pass_int,3,,,,,
player,201110020gnb,den,OrtoKy00,pass_sacked,1,,,,,
player,201110020gnb,den,OrtoKy00,pass_sacked_yds,8,,,,,
player,201110020gnb,den,OrtoKy00,pass_long,44,,,,,
player,201110020gnb,den,OrtoKy00,pass_rating,87.1,,,,,
player,201110020gnb,den,OrtoKy00,rush_att,2,,,,,
player,201110020gnb,den,OrtoKy00,rush_yds,7,,,,,
player,201110020gnb,den,OrtoKy00,rush_td,0,,,,,
player,201110020gnb,den,OrtoKy00,rush_long,8,,,,,
player,201110020gnb,den,OrtoKy00,targets,0,,,,,
player,201110020gnb,den,OrtoKy00,rec,0,,,,,
player,201110020gnb,den,OrtoKy00,rec_yds,0,,,,,
player,201110020gnb,den,OrtoKy00,rec_td,0,,,,,
player,201110020gnb,den,OrtoKy00,rec_long,0,,,,,
player,201110020gnb,den,OrtoKy00,fumbles,0,,,,,
player,201110020gnb,den,OrtoKy00,fumbles_lost,,,,,,
player,201110020gnb,den,McGaWi00,pass_cmp,0,,,,,
