game,2011,4,20111003,201110030tam,clt,"Indianapolis Colts",17,tam,"Tampa Bay Buccaneers",24
player,201110030tam,clt,PainCu00,rush_yds,0,,,,,
player,201110030tam,clt,PainCu00,rush_td,0,,,,,
player,201110030tam,clt,PainCu00,rush_long,0,,,,,
player,201110030tam,clt,PainCu00,targets,0,,,,,
player,201110030tam,clt,PainCu00,rec,0,,,,,
player,201110030tam,clt,PainCu00,rec_yds,0,,,,,
player,201110030tam,clt,PainCu00,rec_td,0,,,,,
player,201110030tam,clt,PainCu00,rec_long,0,,,,,
player,201110030tam,clt,PainCu00,fumbles,1,,,,,
player,201110030tam,clt,PainCu00,fumbles_lost,1,,,,,
player,201110030tam,clt,AddaJo00,pass_cmp,0,,,,,
player,201110030tam,clt,AddaJo00,pass_att,0,,,,,
player,201110030tam,clt,AddaJo00,pass_yds,0,,,,,
player,201110030tam,clt,AddaJo00,pass_td,0,,,,,
player,201110030tam,clt,AddaJo00,pass_int,0,,,,,
player,201110030tam,clt,AddaJo00,pass_sacked,0,,,,,
player,201110030tam,clt,AddaJo00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,AddaJo00,pass_long,0,,,,,
player,201110030tam,clt,AddaJo00,pass_rating,,,,,,
player,201110030tam,clt,AddaJo00,rush_att,11,,,,,
player,201110030tam,clt,AddaJo00,rush_yds,41,,,,,
player,201110030tam,clt,AddaJo00,rush_td,0,,,,,
player,201110030tam,clt,AddaJo00,rush_long,9,,,,,
player,201110030tam,clt,AddaJo00,targets,2,,,,,
player,201110030tam,clt,AddaJo00,rec,1,,,,,
player,201110030tam,clt,AddaJo00,rec_yds,7,,,,,
player,201110030tam,clt,AddaJo00,rec_td,0,,,,,
player,201110030tam,clt,AddaJo00,rec_long,7,,,,,
player,201110030tam,clt,AddaJo00,fumbles,0,,,,,
player,201110030tam,clt,AddaJo00,fumbles_lost,,,,,,
player,201110030tam,clt,CartDe01,pass_cmp,0,,,,,
player,201110030tam,clt,CartDe01,pass_att,0,,,,,
player,201110030tam,clt,CartDe01,pass_yds,0,,,,,
player,201110030tam,clt,CartDe01,pass_td,0,,,,,
player,201110030tam,clt,CartDe01,pass_int,0,,,,,
player,201110030tam,clt,CartDe01,pass_sacked,0,,,,,
player,201110030tam,clt,CartDe01,pass_sacked_yds,0,,,,,
player,201110030tam,clt,CartDe01,pass_long,0,,,,,
player,201110030tam,clt,CartDe01,pass_rating,,,,,,
player,201110030tam,clt,CartDe01,rush_att,7,,,,,
player,201110030tam,clt,CartDe01,rush_yds,21,,,,,
player,201110030tam,clt,CartDe01,rush_td,0,,,,,
player,201110030tam,clt,CartDe01,rush_long,13,,,,,
player,201110030tam,clt,CartDe01,targets,0,,,,,
player,201110030tam,clt,CartDe01,rec,0,,,,,
player,201110030tam,clt,CartDe01,rec_yds,0,,,,,
player,201110030tam,clt,CartDe01,rec_td,0,,,,,
player,201110030tam,clt,CartDe01,rec_long,0,,,,,
player,201110030tam,clt,CartDe01,fumbles,0,,,,,
player,201110030tam,clt,CartDe01,fumbles_lost,,,,,,
player,201110030tam,clt,GarcPi00,pass_cmp,0,,,,,
player,201110030tam,clt,GarcPi00,pass_att,0,,,,,
player,201110030tam,clt,GarcPi00,pass_yds,0,,,,,
player,201110030tam,clt,GarcPi00,pass_td,0,,,,,
player,201110030tam,clt,GarcPi00,pass_int,0,,,,,
player,201110030tam,clt,GarcPi00,pass_sacked,0,,,,,
player,201110030tam,clt,GarcPi00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,GarcPi00,pass_long,0,,,,,
player,201110030tam,clt,GarcPi00,pass_rating,,,,,,
player,201110030tam,clt,GarcPi00,rush_att,0,,,,,
player,201110030tam,clt,GarcPi00,rush_yds,0,,,,,
player,201110030tam,clt,GarcPi00,rush_td,0,,,,,
player,201110030tam,clt,GarcPi00,rush_long,0,,,,,
player,201110030tam,clt,GarcPi00,targets,8,,,,,
player,201110030tam,clt,GarcPi00,rec,2,,,,,
player,201110030tam,clt,GarcPi00,rec_yds,146,,,,,
player,201110030tam,clt,GarcPi00,rec_td,2,,,,,
player,201110030tam,clt,GarcPi00,rec_long,87,,,,,
player,201110030tam,clt,GarcPi00,fumbles,0,,,,,
player,201110030tam,clt,GarcPi00,fumbles_lost,,,,,,
player,201110030tam,clt,WaynRe00,pass_cmp,0,,,,,
player,201110030tam,clt,WaynRe00,pass_att,0,,,,,
player,201110030tam,clt,WaynRe00,pass_yds,0,,,,,
player,201110030tam,clt,WaynRe00,pass_td,0,,,,,
player,201110030tam,clt,WaynRe00,pass_int,0,,,,,
player,201110030tam,clt,WaynRe00,pass_sacked,0,,,,,
player,201110030tam,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,WaynRe00,pass_long,0,,,,,
player,201110030tam,clt,WaynRe00,pass_rating,,,,,,
player,201110030tam,clt,WaynRe00,rush_att,0,,,,,
player,201110030tam,clt,WaynRe00,rush_yds,0,,,,,
player,201110030tam,clt,WaynRe00,rush_td,0,,,,,
player,201110030tam,clt,WaynRe00,rush_long,0,,,,,
player,201110030tam,clt,WaynRe00,targets,8,,,,,
player,201110030tam,clt,WaynRe00,rec,4,,,,,
player,201110030tam,clt,WaynRe00,rec_yds,59,,,,,
player,201110030tam,clt,WaynRe00,rec_td,0,,,,,
player,201110030tam,clt,WaynRe00,rec_long,21,,,,,
player,201110030tam,clt,WaynRe00,fumbles,0,,,,,
player,201110030tam,clt,WaynRe00,fumbles_lost,,,,,,
player,201110030tam,clt,ClarDa00,pass_cmp,0,,,,,
player,201110030tam,clt,ClarDa00,pass_att,0,,,,,
player,201110030tam,clt,ClarDa00,pass_yds,0,,,,,
player,201110030tam,clt,ClarDa00,pass_td,0,,,,,
player,201110030tam,clt,ClarDa00,pass_int,0,,,,,
player,201110030tam,clt,ClarDa00,pass_sacked,0,,,,,
player,201110030tam,clt,ClarDa00,pass_sacked_yds,0,,,,,
player,201110030tam,clt,ClarDa00,pass_long,0,,,,,
player,201110030tam,clt,ClarDa00,pass_rating,,,,,,
player,201110030tam,clt,ClarDa00,rush_att,0,,,,,
player,201110030tam,clt,ClarDa00,rush_yds,0,,,,,
player,201110030tam,clt,ClarDa00,rush_td,0,,,,,
player,201110030tam,clt,ClarDa00,rush_long,0,,,,,
player,201110030tam,clt,ClarDa00,targets,4,,,,,
player,201110030tam,clt,ClarDa00,rec,3,,,,,
player,201110030tam,clt,ClarDa00,rec_yds,46,,,,,
