game,2011,12,20111127,201111270kan,pit,"Pittsburgh Steelers",13,kan,"Kansas City Chiefs",9
team,201111270kan,pit,First Downs,18,,,,,,
team,201111270kan,kan,First Downs,15,,,,,,
team,201111270kan,pit,Rush-Yds-TDs,28-108-0,,,,,,
team,201111270kan,kan,Rush-Yds-TDs,34-90-0,,,,,,
team,201111270kan,pit,Cmp-Att-Yd-TD-INT,21-31-193-1-1,,,,,,
team,201111270kan,kan,Cmp-Att-Yd-TD-INT,18-28-167-0-3,,,,,,
team,201111270kan,pit,Sacked-Yards,1-11,,,,,,
team,201111270kan,kan,Sacked-Yards,1-5,,,,,,
team,201111270kan,pit,Net Pass Yards,182,,,,,,
team,201111270kan,kan,Net Pass Yards,162,,,,,,
team,201111270kan,pit,Total Yards,290,,,,,,
team,201111270kan,kan,Total Yards,252,,,,,,
team,201111270kan,pit,Fumbles-Lost,1-1,,,,,,
team,201111270kan,kan,Fumbles-Lost,1-1,,,,,,
team,201111270kan,pit,Turnovers,2,,,,,,
team,201111270kan,kan,Turnovers,4,,,,,,
team,201111270kan,pit,Penalties-Yards,6-50,,,,,,
team,201111270kan,kan,Penalties-Yards,4-20,,,,,,
team,201111270kan,pit,Third Down Conv.,3-11,,,,,,
team,201111270kan,kan,Third Down Conv.,6-15,,,,,,
team,201111270kan,pit,Fourth Down Conv.,1-1,,,,,,
team,201111270kan,kan,Fourth Down Conv.,2-2,,,,,,
team,201111270kan,pit,Time of Possession,33:30,,,,,,
team,201111270kan,kan,Time of Possession,26:30,,,,,,
player,201111270kan,pit,RoetBe00,pass_cmp,21,,,,,
player,201111270kan,pit,RoetBe00,pass_att,31,,,,,
player,201111270kan,pit,RoetBe00,pass_yds,193,,,,,
player,201111270kan,pit,RoetBe00,pass_td,1,,,,,
player,201111270kan,pit,RoetBe00,pass_int,1,,,,,
player,201111270kan,pit,RoetBe00,pass_sacked,1,,,,,
player,201111270kan,pit,RoetBe00,pass_sacked_yds,11,,,,,
player,201111270kan,pit,RoetBe00,pass_long,34,,,,,
player,201111270kan,pit,RoetBe00,pass_rating,81.8,,,,,
player,201111270kan,pit,RoetBe00,rush_att,4,,,,,
player,201111270kan,pit,RoetBe00,rush_yds,8,,,,,
player,201111270kan,pit,RoetBe00,rush_td,0,,,,,
player,201111270kan,pit,RoetBe00,rush_long,7,,,,,
player,201111270kan,pit,RoetBe00,targets,0,,,,,
player,201111270kan,pit,RoetBe00,rec,0,,,,,
player,201111270kan,pit,RoetBe00,rec_yds,0,,,,,
player,201111270kan,pit,RoetBe00,rec_td,0,,,,,
player,201111270kan,pit,RoetBe00,rec_long,0,,,,,
