game,2011,1,20110911,201109110rav,pit,"Pittsburgh Steelers",7,rav,"Baltimore Ravens",35
team,201109110rav,pit,First Downs,20,,,,,,
team,201109110rav,rav,First Downs,17,,,,,,
team,201109110rav,pit,Rush-Yds-TDs,16-66-0,,,,,,
team,201109110rav,rav,Rush-Yds-TDs,31-170-1,,,,,,
team,201109110rav,pit,Cmp-Att-Yd-TD-INT,22-41-280-1-3,,,,,,
team,201109110rav,rav,Cmp-Att-Yd-TD-INT,17-29-224-3-0,,,,,,
team,201109110rav,pit,Sacked-Yards,4-34,,,,,,
team,201109110rav,rav,Sacked-Yards,1-9,,,,,,
team,201109110rav,pit,Net Pass Yards,246,,,,,,
team,201109110rav,rav,Net Pass Yards,215,,,,,,
team,201109110rav,pit,Total Yards,312,,,,,,
team,201109110rav,rav,Total Yards,385,,,,,,
team,201109110rav,pit,Fumbles-Lost,4-4,,,,,,
team,201109110rav,rav,Fumbles-Lost,0-0,,,,,,
team,201109110rav,pit,Turnovers,7,,,,,,
team,201109110rav,rav,Turnovers,0,,,,,,
team,201109110rav,pit,Penalties-Yards,6-53,,,,,,
team,201109110rav,rav,Penalties-Yards,7-75,,,,,,
team,201109110rav,pit,Third Down Conv.,3-9,,,,,,
team,201109110rav,rav,Third Down Conv.,7-16,,,,,,
team,201109110rav,pit,Fourth Down Conv.,0-1,,,,,,
team,201109110rav,rav,Fourth Down Conv.,0-1,,,,,,
team,201109110rav,pit,Time of Possession,27:29,,,,,,
team,201109110rav,rav,Time of Possession,32:31,,,,,,
player,201109110rav,pit,RoetBe00,pass_cmp,22,,,,,
player,201109110rav,pit,RoetBe00,pass_att,41,,,,,
player,201109110rav,pit,RoetBe00,pass_yds,280,,,,,
player,201109110rav,pit,RoetBe00,pass_td,1,,,,,
player,201109110rav,pit,RoetBe00,pass_int,3,,,,,
player,201109110rav,pit,RoetBe00,pass_sacked,4,,,,,
player,201109110rav,pit,RoetBe00,pass_sacked_yds,34,,,,,
player,201109110rav,pit,RoetBe00,pass_long,31,,,,,
player,201109110rav,pit,RoetBe00,pass_rating,52.9,,,,,
player,201109110rav,pit,RoetBe00,rush_att,1,,,,,
player,201109110rav,pit,RoetBe00,rush_yds,9,,,,,
