game,2011,2,20110918,201109180nyj,jax,"Jacksonville Jaguars",3,nyj,"New York Jets",32
team,201109180nyj,jax,First Downs,11,,,,,,
team,201109180nyj,nyj,First Downs,15,,,,,,
team,201109180nyj,jax,Rush-Yds-TDs,27-112-0,,,,,,
team,201109180nyj,nyj,Rush-Yds-TDs,32-101-1,,,,,,
team,201109180nyj,jax,Cmp-Att-Yd-TD-INT,11-25-111-0-4,,,,,,
team,201109180nyj,nyj,Cmp-Att-Yd-TD-INT,17-24-182-2-2,,,,,,
team,201109180nyj,jax,Sacked-Yards,2-20,,,,,,
team,201109180nyj,nyj,Sacked-Yards,1-0,,,,,,
team,201109180nyj,jax,Net Pass Yards,91,,,,,,
team,201109180nyj,nyj,Net Pass Yards,182,,,,,,
team,201109180nyj,jax,Total Yards,203,,,,,,
team,201109180nyj,nyj,Total Yards,283,,,,,,
team,201109180nyj,jax,Fumbles-Lost,0-0,,,,,,
team,201109180nyj,nyj,Fumbles-Lost,0-0,,,,,,
team,201109180nyj,jax,Turnovers,4,,,,,,
team,201109180nyj,nyj,Turnovers,2,,,,,,
team,201109180nyj,jax,Penalties-Yards,4-50,,,,,,
team,201109180nyj,nyj,Penalties-Yards,7-60,,,,,,
team,201109180nyj,jax,Third Down Conv.,3-12,,,,,,
team,201109180nyj,nyj,Third Down Conv.,3-12,,,,,,
team,201109180nyj,jax,Fourth Down Conv.,0-1,,,,,,
team,201109180nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201109180nyj,jax,Time of Possession,26:37,,,,,,
team,201109180nyj,nyj,Time of Possession,33:23,,,,,,
player,201109180nyj,jax,McCoLu00,pass_cmp,6,,,,,
player,201109180nyj,jax,McCoLu00,pass_att,19,,,,,
player,201109180nyj,jax,McCoLu00,pass_yds,59,,,,,
player,201109180nyj,jax,McCoLu00,pass_td,0,,,,,
player,201109180nyj,jax,McCoLu00,pass_int,4,,,,,
player,201109180nyj,jax,McCoLu00,pass_sacked,1,,,,,
player,201109180nyj,jax,McCoLu00,pass_sacked_yds,10,,,,,
player,201109180nyj,jax,McCoLu00,pass_long,25,,,,,
player,201109180nyj,jax,McCoLu00,pass_rating,1.8,,,,,
player,201109180nyj,jax,McCoLu00,rush_att,1,,,,,
player,201109180nyj,jax,McCoLu00,rush_yds,4,,,,,
player,201109180nyj,jax,McCoLu00,rush_td,0,,,,,
player,201109180nyj,jax,McCoLu00,rush_long,4,,,,,
player,201109180nyj,jax,McCoLu00,targets,0,,,,,
player,201109180nyj,jax,McCoLu00,rec,0,,,,,
player,201109180nyj,jax,McCoLu00,rec_yds,0,,,,,
player,201109180nyj,jax,McCoLu00,rec_td,0,,,,,
player,201109180nyj,jax,McCoLu00,rec_long,0,,,,,
player,201109180nyj,jax,McCoLu00,fumbles,0,,,,,
player,201109180nyj,jax,McCoLu00,fumbles_lost,,,,,,
player,201109180nyj,jax,GabbBl00,pass_cmp,5,,,,,
player,201109180nyj,jax,GabbBl00,pass_att,6,,,,,
player,201109180nyj,jax,GabbBl00,pass_yds,52,,,,,
player,201109180nyj,jax,GabbBl00,pass_td,0,,,,,
player,201109180nyj,jax,GabbBl00,pass_int,0,,,,,
player,201109180nyj,jax,GabbBl00,pass_sacked,1,,,,,
player,201109180nyj,jax,GabbBl00,pass_sacked_yds,10,,,,,
player,201109180nyj,jax,GabbBl00,pass_long,14,,,,,
player,201109180nyj,jax,GabbBl00,pass_rating,102.8,,,,,
player,201109180nyj,jax,GabbBl00,rush_att,1,,,,,
player,201109180nyj,jax,GabbBl00,rush_yds,1,,,,,
player,201109180nyj,jax,GabbBl00,rush_td,0,,,,,
player,201109180nyj,jax,GabbBl00,rush_long,1,,,,,
player,201109180nyj,jax,GabbBl00,targets,0,,,,,
player,201109180nyj,jax,GabbBl00,rec,0,,,,,
player,201109180nyj,jax,GabbBl00,rec_yds,0,,,,,
player,201109180nyj,jax,GabbBl00,rec_td,0,,,,,
player,201109180nyj,jax,GabbBl00,rec_long,0,,,,,
player,201109180nyj,jax,GabbBl00,fumbles,0,,,,,
player,201109180nyj,jax,GabbBl00,fumbles_lost,,,,,,
player,201109180nyj,jax,DrewMa00,pass_cmp,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_att,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_yds,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_td,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_int,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_sacked,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_long,0,,,,,
player,201109180nyj,jax,DrewMa00,pass_rating,,,,,,
player,201109180nyj,jax,DrewMa00,rush_att,18,,,,,
player,201109180nyj,jax,DrewMa00,rush_yds,88,,,,,
player,201109180nyj,jax,DrewMa00,rush_td,0,,,,,
player,201109180nyj,jax,DrewMa00,rush_long,16,,,,,
player,201109180nyj,jax,DrewMa00,targets,4,,,,,
player,201109180nyj,jax,DrewMa00,rec,3,,,,,
player,201109180nyj,jax,DrewMa00,rec_yds,19,,,,,
player,201109180nyj,jax,DrewMa00,rec_td,0,,,,,
player,201109180nyj,jax,DrewMa00,rec_long,11,,,,,
player,201109180nyj,jax,DrewMa00,fumbles,0,,,,,
player,201109180nyj,jax,DrewMa00,fumbles_lost,,,,,,
player,201109180nyj,jax,KariDe00,pass_cmp,0,,,,,
player,201109180nyj,jax,KariDe00,pass_att,0,,,,,
player,201109180nyj,jax,KariDe00,pass_yds,0,,,,,
player,201109180nyj,jax,KariDe00,pass_td,0,,,,,
player,201109180nyj,jax,KariDe00,pass_int,0,,,,,
player,201109180nyj,jax,KariDe00,pass_sacked,0,,,,,
player,201109180nyj,jax,KariDe00,pass_sacked_yds,0,,,,,
player,201109180nyj,jax,KariDe00,pass_long,0,,,,,
player,201109180nyj,jax,KariDe00,pass_rating,,,,,,
player,201109180nyj,jax,KariDe00,rush_att,6,,,,,
player,201109180nyj,jax,KariDe00,rush_yds,15,,,,,
player,201109180nyj,jax,KariDe00,rush_td,0,,,,,
player,201109180nyj,jax,KariDe00,rush_long,5,,,,,
