game,2011,17,20120101,201201010jax,clt,"Indianapolis Colts",13,jax,"Jacksonville Jaguars",19
team,201201010jax,clt,First Downs,19,,,,,,
team,201201010jax,jax,First Downs,15,,,,,,
team,201201010jax,clt,Rush-Yds-TDs,22-56-0,,,,,,
team,201201010jax,jax,Rush-Yds-TDs,35-190-0,,,,,,
team,201201010jax,clt,Cmp-Att-Yd-TD-INT,27-40-264-1-2,,,,,,
team,201201010jax,jax,Cmp-Att-Yd-TD-INT,11-19-92-1-0,,,,,,
team,201201010jax,clt,Sacked-Yards,3-22,,,,,,
team,201201010jax,jax,Sacked-Yards,3-21,,,,,,
team,201201010jax,clt,Net Pass Yards,242,,,,,,
team,201201010jax,jax,Net Pass Yards,71,,,,,,
team,201201010jax,clt,Total Yards,298,,,,,,
team,201201010jax,jax,Total Yards,261,,,,,,
team,201201010jax,clt,Fumbles-Lost,2-1,,,,,,
team,201201010jax,jax,Fumbles-Lost,1-1,,,,,,
team,201201010jax,clt,Turnovers,3,,,,,,
team,201201010jax,jax,Turnovers,1,,,,,,
team,201201010jax,clt,Penalties-Yards,4-40,,,,,,
team,201201010jax,jax,Penalties-Yards,1-10,,,,,,
team,201201010jax,clt,Third Down Conv.,6-14,,,,,,
team,201201010jax,jax,Third Down Conv.,5-13,,,,,,
team,201201010jax,clt,Fourth Down Conv.,0-1,,,,,,
team,201201010jax,jax,Fourth Down Conv.,0-1,,,,,,
team,201201010jax,clt,Time of Possession,29:12,,,,,,
team,201201010jax,jax,Time of Possession,30:48,,,,,,
player,201201010jax,clt,OrloDa00,pass_cmp,27,,,,,
player,201201010jax,clt,OrloDa00,pass_att,40,,,,,
player,201201010jax,clt,OrloDa00,pass_yds,264,,,,,
player,201201010jax,clt,OrloDa00,pass_td,1,,,,,
player,201201010jax,clt,OrloDa00,pass_int,2,,,,,
player,201201010jax,clt,OrloDa00,pass_sacked,3,,,,,
player,201201010jax,clt,OrloDa00,pass_sacked_yds,22,,,,,
player,201201010jax,clt,OrloDa00,pass_long,21,,,,,
player,201201010jax,clt,OrloDa00,pass_rating,73.3,,,,,
player,201201010jax,clt,OrloDa00,rush_att,1,,,,,
player,201201010jax,clt,OrloDa00,rush_yds,7,,,,,
player,201201010jax,clt,OrloDa00,rush_td,0,,,,,
player,201201010jax,clt,OrloDa00,rush_long,7,,,,,
player,201201010jax,clt,OrloDa00,targets,0,,,,,
player,201201010jax,clt,OrloDa00,rec,0,,,,,
player,201201010jax,clt,OrloDa00,rec_yds,0,,,,,
player,201201010jax,clt,OrloDa00,rec_td,0,,,,,
player,201201010jax,clt,OrloDa00,rec_long,0,,,,,
player,201201010jax,clt,OrloDa00,fumbles,2,,,,,
player,201201010jax,clt,OrloDa00,fumbles_lost,1,,,,,
player,201201010jax,clt,BrowDo00,pass_cmp,0,,,,,
