game,2011,7,20111023,201110230cle,sea,"Seattle Seahawks",3,cle,"Cleveland Browns",6
team,201110230cle,sea,First Downs,9,,,,,,
team,201110230cle,cle,First Downs,20,,,,,,
team,201110230cle,sea,Rush-Yds-TDs,16-68-0,,,,,,
team,201110230cle,cle,Rush-Yds-TDs,45-139-0,,,,,,
team,201110230cle,sea,Cmp-Att-Yd-TD-INT,12-30-97-0-1,,,,,,
team,201110230cle,cle,Cmp-Att-Yd-TD-INT,20-35-178-0-1,,,,,,
team,201110230cle,sea,Sacked-Yards,4-28,,,,,,
team,201110230cle,cle,Sacked-Yards,4-19,,,,,,
team,201110230cle,sea,Net Pass Yards,69,,,,,,
team,201110230cle,cle,Net Pass Yards,159,,,,,,
team,201110230cle,sea,Total Yards,137,,,,,,
team,201110230cle,cle,Total Yards,298,,,,,,
team,201110230cle,sea,Fumbles-Lost,2-1,,,,,,
team,201110230cle,cle,Fumbles-Lost,1-0,,,,,,
team,201110230cle,sea,Turnovers,2,,,,,,
team,201110230cle,cle,Turnovers,1,,,,,,
team,201110230cle,sea,Penalties-Yards,8-68,,,,,,
team,201110230cle,cle,Penalties-Yards,7-48,,,,,,
team,201110230cle,sea,Third Down Conv.,2-12,,,,,,
team,201110230cle,cle,Third Down Conv.,12-24,,,,,,
team,201110230cle,sea,Fourth Down Conv.,0-1,,,,,,
team,201110230cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201110230cle,sea,Time of Possession,17:04,,,,,,
team,201110230cle,cle,Time of Possession,42:56,,,,,,
player,201110230cle,sea,WhitCh02,pass_cmp,12,,,,,
player,201110230cle,sea,WhitCh02,pass_att,30,,,,,
player,201110230cle,sea,WhitCh02,pass_yds,97,,,,,
player,201110230cle,sea,WhitCh02,pass_td,0,,,,,
player,201110230cle,sea,WhitCh02,pass_int,1,,,,,
player,201110230cle,sea,WhitCh02,pass_sacked,4,,,,,
player,201110230cle,sea,WhitCh02,pass_sacked_yds,28,,,,,
player,201110230cle,sea,WhitCh02,pass_long,38,,,,,
player,201110230cle,sea,WhitCh02,pass_rating,35.0,,,,,
player,201110230cle,sea,WhitCh02,rush_att,1,,,,,
player,201110230cle,sea,WhitCh02,rush_yds,6,,,,,
player,201110230cle,sea,WhitCh02,rush_td,0,,,,,
player,201110230cle,sea,WhitCh02,rush_long,6,,,,,
player,201110230cle,sea,WhitCh02,targets,0,,,,,
player,201110230cle,sea,WhitCh02,rec,0,,,,,
player,201110230cle,sea,WhitCh02,rec_yds,0,,,,,
player,201110230cle,sea,WhitCh02,rec_td,0,,,,,
player,201110230cle,sea,WhitCh02,rec_long,0,,,,,
player,201110230cle,sea,WhitCh02,fumbles,2,,,,,
player,201110230cle,sea,WhitCh02,fumbles_lost,1,,,,,
player,201110230cle,sea,WashLe00,pass_cmp,0,,,,,
player,201110230cle,sea,WashLe00,pass_att,0,,,,,
player,201110230cle,sea,WashLe00,pass_yds,0,,,,,
player,201110230cle,sea,WashLe00,pass_td,0,,,,,
player,201110230cle,sea,WashLe00,pass_int,0,,,,,
player,201110230cle,sea,WashLe00,pass_sacked,0,,,,,
player,201110230cle,sea,WashLe00,pass_sacked_yds,0,,,,,
player,201110230cle,sea,WashLe00,pass_long,0,,,,,
player,201110230cle,sea,WashLe00,pass_rating,,,,,,
player,201110230cle,sea,WashLe00,rush_att,7,,,,,
player,201110230cle,sea,WashLe00,rush_yds,39,,,,,
player,201110230cle,sea,WashLe00,rush_td,0,,,,,
player,201110230cle,sea,WashLe00,rush_long,11,,,,,
player,201110230cle,sea,WashLe00,targets,4,,,,,
player,201110230cle,sea,WashLe00,rec,4,,,,,
player,201110230cle,sea,WashLe00,rec_yds,10,,,,,
player,201110230cle,sea,WashLe00,rec_td,0,,,,,
player,201110230cle,sea,WashLe00,rec_long,5,,,,,
player,201110230cle,sea,WashLe00,fumbles,0,,,,,
player,201110230cle,sea,WashLe00,fumbles_lost,,,,,,
player,201110230cle,sea,ForsJu00,pass_cmp,0,,,,,
player,201110230cle,sea,ForsJu00,pass_att,0,,,,,
player,201110230cle,sea,ForsJu00,pass_yds,0,,,,,
player,201110230cle,sea,ForsJu00,pass_td,0,,,,,
player,201110230cle,sea,ForsJu00,pass_int,0,,,,,
player,201110230cle,sea,ForsJu00,pass_sacked,0,,,,,
player,201110230cle,sea,ForsJu00,pass_sacked_yds,0,,,,,
player,201110230cle,sea,ForsJu00,pass_long,0,,,,,
player,201110230cle,sea,ForsJu00,pass_rating,,,,,,
player,201110230cle,sea,ForsJu00,rush_att,8,,,,,
player,201110230cle,sea,ForsJu00,rush_yds,23,,,,,
player,201110230cle,sea,ForsJu00,rush_td,0,,,,,
player,201110230cle,sea,ForsJu00,rush_long,8,,,,,
player,201110230cle,sea,ForsJu00,targets,1,,,,,
player,201110230cle,sea,ForsJu00,rec,0,,,,,
player,201110230cle,sea,ForsJu00,rec_yds,0,,,,,
player,201110230cle,sea,ForsJu00,rec_td,0,,,,,
player,201110230cle,sea,ForsJu00,rec_long,0,,,,,
player,201110230cle,sea,ForsJu00,fumbles,0,,,,,
player,201110230cle,sea,ForsJu00,fumbles_lost,,,,,,
player,201110230cle,sea,RiceSi01,pass_cmp,0,,,,,
player,201110230cle,sea,RiceSi01,pass_att,0,,,,,
player,201110230cle,sea,RiceSi01,pass_yds,0,,,,,
player,201110230cle,sea,RiceSi01,pass_td,0,,,,,
player,201110230cle,sea,RiceSi01,pass_int,0,,,,,
player,201110230cle,sea,RiceSi01,pass_sacked,0,,,,,
player,201110230cle,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201110230cle,sea,RiceSi01,pass_long,0,,,,,
player,201110230cle,sea,RiceSi01,pass_rating,,,,,,
player,201110230cle,sea,RiceSi01,rush_att,0,,,,,
player,201110230cle,sea,RiceSi01,rush_yds,0,,,,,
player,201110230cle,sea,RiceSi01,rush_td,0,,,,,
player,201110230cle,sea,RiceSi01,rush_long,0,,,,,
player,201110230cle,sea,RiceSi01,targets,5,,,,,
player,201110230cle,sea,RiceSi01,rec,2,,,,,
