game,2011,1,20110911,201109110chi,atl,"Atlanta Falcons",12,chi,"Chicago Bears",30
team,201109110chi,atl,First Downs,25,,,,,,
team,201109110chi,chi,First Downs,17,,,,,,
team,201109110chi,atl,Rush-Yds-TDs,14-110-0,,,,,,
team,201109110chi,chi,Rush-Yds-TDs,27-88-0,,,,,,
team,201109110chi,atl,Cmp-Att-Yd-TD-INT,31-47-319-0-1,,,,,,
team,201109110chi,chi,Cmp-Att-Yd-TD-INT,22-32-312-2-1,,,,,,
team,201109110chi,atl,Sacked-Yards,5-43,,,,,,
team,201109110chi,chi,Sacked-Yards,5-23,,,,,,
team,201109110chi,atl,Net Pass Yards,276,,,,,,
team,201109110chi,chi,Net Pass Yards,289,,,,,,
team,201109110chi,atl,Total Yards,386,,,,,,
team,201109110chi,chi,Total Yards,377,,,,,,
team,201109110chi,atl,Fumbles-Lost,2-2,,,,,,
team,201109110chi,chi,Fumbles-Lost,3-0,,,,,,
team,201109110chi,atl,Turnovers,3,,,,,,
team,201109110chi,chi,Turnovers,1,,,,,,
team,201109110chi,atl,Penalties-Yards,9-65,,,,,,
team,201109110chi,chi,Penalties-Yards,8-56,,,,,,
team,201109110chi,atl,Third Down Conv.,4-13,,,,,,
team,201109110chi,chi,Third Down Conv.,6-16,,,,,,
team,201109110chi,atl,Fourth Down Conv.,0-1,,,,,,
team,201109110chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201109110chi,atl,Time of Possession,26:41,,,,,,
team,201109110chi,chi,Time of Possession,33:19,,,,,,
player,201109110chi,atl,RyanMa00,pass_cmp,31,,,,,
player,201109110chi,atl,RyanMa00,pass_att,47,,,,,
player,201109110chi,atl,RyanMa00,pass_yds,319,,,,,
player,201109110chi,atl,RyanMa00,pass_td,0,,,,,
player,201109110chi,atl,RyanMa00,pass_int,1,,,,,
player,201109110chi,atl,RyanMa00,pass_sacked,5,,,,,
player,201109110chi,atl,RyanMa00,pass_sacked_yds,43,,,,,
player,201109110chi,atl,RyanMa00,pass_long,32,,,,,
player,201109110chi,atl,RyanMa00,pass_rating,76.5,,,,,
player,201109110chi,atl,RyanMa00,rush_att,0,,,,,
player,201109110chi,atl,RyanMa00,rush_yds,0,,,,,
player,201109110chi,atl,RyanMa00,rush_td,0,,,,,
player,201109110chi,atl,RyanMa00,rush_long,0,,,,,
player,201109110chi,atl,RyanMa00,targets,0,,,,,
player,201109110chi,atl,RyanMa00,rec,0,,,,,
player,201109110chi,atl,RyanMa00,rec_yds,0,,,,,
player,201109110chi,atl,RyanMa00,rec_td,0,,,,,
player,201109110chi,atl,RyanMa00,rec_long,0,,,,,
player,201109110chi,atl,RyanMa00,fumbles,1,,,,,
player,201109110chi,atl,RyanMa00,fumbles_lost,1,,,,,
player,201109110chi,atl,TurnMi00,pass_cmp,0,,,,,
player,201109110chi,atl,TurnMi00,pass_att,0,,,,,
player,201109110chi,atl,TurnMi00,pass_yds,0,,,,,
player,201109110chi,atl,TurnMi00,pass_td,0,,,,,
player,201109110chi,atl,TurnMi00,pass_int,0,,,,,
player,201109110chi,atl,TurnMi00,pass_sacked,0,,,,,
player,201109110chi,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201109110chi,atl,TurnMi00,pass_long,0,,,,,
player,201109110chi,atl,TurnMi00,pass_rating,,,,,,
player,201109110chi,atl,TurnMi00,rush_att,10,,,,,
player,201109110chi,atl,TurnMi00,rush_yds,100,,,,,
player,201109110chi,atl,TurnMi00,rush_td,0,,,,,
player,201109110chi,atl,TurnMi00,rush_long,53,,,,,
player,201109110chi,atl,TurnMi00,targets,4,,,,,
player,201109110chi,atl,TurnMi00,rec,3,,,,,
player,201109110chi,atl,TurnMi00,rec_yds,40,,,,,
player,201109110chi,atl,TurnMi00,rec_td,0,,,,,
player,201109110chi,atl,TurnMi00,rec_long,20,,,,,
player,201109110chi,atl,TurnMi00,fumbles,1,,,,,
player,201109110chi,atl,TurnMi00,fumbles_lost,1,,,,,
player,201109110chi,atl,SnelJa00,pass_cmp,0,,,,,
player,201109110chi,atl,SnelJa00,pass_att,0,,,,,
player,201109110chi,atl,SnelJa00,pass_yds,0,,,,,
player,201109110chi,atl,SnelJa00,pass_td,0,,,,,
player,201109110chi,atl,SnelJa00,pass_int,0,,,,,
player,201109110chi,atl,SnelJa00,pass_sacked,0,,,,,
player,201109110chi,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201109110chi,atl,SnelJa00,pass_long,0,,,,,
player,201109110chi,atl,SnelJa00,pass_rating,,,,,,
player,201109110chi,atl,SnelJa00,rush_att,2,,,,,
player,201109110chi,atl,SnelJa00,rush_yds,10,,,,,
player,201109110chi,atl,SnelJa00,rush_td,0,,,,,
player,201109110chi,atl,SnelJa00,rush_long,9,,,,,
player,201109110chi,atl,SnelJa00,targets,7,,,,,
player,201109110chi,atl,SnelJa00,rec,5,,,,,
player,201109110chi,atl,SnelJa00,rec_yds,32,,,,,
